feature,Anthropic,OpenAI,Gemini,Qwen,cross_family_var,grad_Anthropic,grad_OpenAI,grad_Gemini,grad_Qwen,avg_grad,sign_consistent
Client investment objectives and risk tolerance (investment profile),0.038120609730219746,0.046256500346999636,0.028680557449013596,0.05130953674882444,7.348579680530586e-05,-0.019711595732267696,-0.027816947553979697,-0.003394907264925702,-0.028821437557086604,-0.019936222027064923,True
Client time horizon/age suitability,0.03816378751149255,0.04581188442525273,0.01854617369862845,0.035124818010132564,9.906645693372826e-05,-0.0255126882381923,-0.0311072001428278,-0.0100930395385186,-0.002133604233856501,-0.0172116330383488,True
"Position size/concentration relative to portfolio, net worth, or guidelines",0.05843820259097091,0.06484794742694029,0.05568174880299548,0.04109141890078436,7.567895888903916e-05,0.003027622042969101,0.011960333370296602,0.0172582292531255,0.03444462073598491,0.016672701350594028,True
Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),0.02285993729646676,0.02095295116394722,0.04889691369055209,0.0176743515976257,0.00015468210470918922,0.0209273252573939,0.021370383604946,0.0011356047031010966,0.011118790127450002,0.01363802592322275,True
Applicability of governing suitability/best-interest regulatory framework (Reg BI / FINRA 2111),0.032938779678521615,0.028341348086404556,0.03079114317708225,0.040647744748043446,2.1236146971137407e-05,0.015660770875832498,0.0199367376440925,-0.0006275347981201974,0.010970304018287198,0.011485069435022999,False
Client investment experience/sophistication as suitability factor,0.01752056074517995,0.01676539074325323,0.016077130346226987,0.02248123346354871,6.3386964988599356e-06,-0.0123686008423648,-0.0112425802823193,-0.0091491025121393,-0.004181198135180798,-0.009235370443001049,True
Existence of a recommendation as trigger for suitability/best-interest obligations,0.005069104445583572,0.009048411932553692,0.011256799055310997,0.0004461440407903068,1.6952528998249844e-05,0.0093933369230958,0.0065994719078985,0.0129373899992218,0.0013384321223709,0.007567157738146749,True
Client liquidity/income needs affecting suitability,0.010704278940635187,0.013173222976604282,0.010786096701935992,0.016377448324961384,5.344742160540143e-06,-0.0082457140507371,-0.014257150715649501,0.0025875403626657006,-0.002709737632230501,-0.005656265508987851,False
Applicable standard determined by timing of recommendation relative to Reg BI compliance date,0.005724929722859216,0.009495948996248962,0.005806454370828133,0.004147041732428463,3.8558620594556515e-06,0.0101812701288882,0.004699540640549899,0.0050252406837406,0.0015376464262337,0.0053609244698530996,True
Alignment of product with client's investment profile (risk tolerance/objectives),0.08601166590953653,0.09473791492394974,0.10849486858780498,0.10905467803039724,9.419744366896191e-05,0.0033266988939903014,-0.01130768206944291,-0.007108265822238405,-0.0057147011023133965,-0.005200987525001102,False
Alignment of product lockup/time horizon with client's investment horizon/liquidity needs,0.037927814314431284,0.03039858862838982,0.033231806036541384,0.0460075720532692,3.493199375311611e-05,-0.014224718761124203,-0.0048402050540367995,-0.004631985187226403,0.005112796555501599,-0.0046460281117214515,False
Affordability of investment/potential loss relative to client's net worth,0.012331932297661479,0.015490745385356613,0.013921472425076294,0.022161267117279268,1.3998328456586394e-05,-0.0075482238081168995,-0.0027534226436382973,0.0043683686326947,-0.0115930834287678,-0.004381590311957074,False
Advisor compensation/commission conflict of interest,0.042993462302988984,0.03938687120883301,0.03824174233752154,0.04093031827382176,3.1728059234588453e-06,0.003399059943786198,0.002619323526348298,-0.005068012670165295,-0.015752149072904696,-0.003700444568233874,False
Adequacy of disclosure and client's informed consent/understanding,0.011328154075834063,0.013485726889500154,0.013321712386823954,0.015650686076617605,2.3407340981318175e-06,-0.0016837378824462994,-0.0032745441057746,-0.002529204397844001,-0.005156800382949,-0.003161071692253475,True
Client's overall investment/financial profile as suitability basis,0.011599073264265701,0.018499362764792752,0.014039188937918163,0.013025721559063631,6.6552812369958284e-06,0.0035524505588244992,-0.0015892925697277988,0.012192956092609302,-0.0018862368075872986,0.003067469318529676,False
Client initiated/solicited the transaction (unsolicited),0.007020238432836201,0.0072137509237411,0.007738487817964455,0.003361455986336251,3.0133719376368904e-06,0.0045385791336143,0.0017180033787706998,0.0066897088382327,-0.0007594785456720998,0.0030467032012364,False
Cost-benefit analysis weighing product benefits against costs,0.007890698632121147,0.008146008384289246,0.008312879812753228,0.009969169386772118,6.661573727741904e-07,0.0023391589629167993,0.0022446107530330996,0.0026090199001099004,0.0048727939818881995,0.0030163958994869995,True
Client vulnerability/diminished capacity requiring heightened care,0.007201141459191104,0.0065298502696080575,0.00691572276302808,0.00679337569494297,5.823004049182756e-08,-0.0021362053485060005,-0.0044206691347588,-0.0017479630632136998,-0.0036860518546611007,-0.0029977223502849005,True
Client reliance/dependence on investment income,0.0037341526014694868,0.003794078545912119,0.0012211788031312476,0.0033171695932974507,1.1083084929377188e-06,-0.0064040059053934,-0.0006597476769789005,-0.0001867989221744999,-0.0039272449432838,-0.00279444936195765,True
Elder/vulnerable-adult financial exploitation concern,0.00856921239362789,0.0034656760898934143,0.006372875112689841,0.002755208704420809,5.419793716173412e-06,0.0065084419143544,0.0013113138523569998,0.0027614969981432994,0.0005416916240776003,0.002780736097233075,True
"Applicability of annuity/product-replacement suitability regulations (FINRA 2330, state/NAIC)",0.0032184785874519797,0.0037380419638823516,0.003265020819738904,0.00019153532911770287,1.98014182156155e-06,0.0016520781988957002,0.0052899866929168,0.0028986462056031998,0.0003824091778202,0.0025557800688089747,True
Client financial situation/income as suitability factor,0.004264930911866695,0.004035939921146955,0.0018933997699258553,0.004742143323070339,1.194304368281111e-06,-0.007643231899021699,-0.0017228089344477997,-0.00010890330390660001,0.0003190098766788002,-0.0022889835651743245,False
Actual outcome/loss corroborating unsuitability,0.004562540136874032,0.0030415486543835424,0.000672805399973441,0.0028338028588262426,1.922249807989073e-06,-0.0041719299704759,-0.004976371076994401,-0.0001923224863451,0.0005789535766989001,-0.0021904174892791247,False
Redundant tax deferral of annuity within tax-qualified account,0.007214142845176537,0.005450098355450276,0.0073680525808626175,0.0050768543386414105,1.0481870137911196e-06,0.0054470831127968,0.0007779545862472001,-0.0012076649430918995,0.0035273311097256,0.002136175966419425,False
Reasonable basis / investment thesis supports recommendation,0.01371424518129393,0.016374744244280294,0.013688609696447657,0.005561242959346352,1.6484473537561597e-05,0.007374624081188099,0.011309281050633,-0.009038265960773,-0.0014760883382563,0.00204238770819795,False
Consideration of reasonable alternatives,0.022578719242716264,0.02279692122105788,0.021021259268916646,0.014563473462007356,1.1210193343482954e-05,0.0020814514039538996,0.0030692199933208993,0.006966203315359,-0.0040117087734756005,0.0020262914847895496,False
Adequacy of firm supervisory system (FINRA Rule 3110),0.009814141181490309,0.003297631787521112,0.004719900203429722,0.002682075928205441,7.864814052554764e-06,0.0043366215998728,0.00036831110715039974,0.0004756590558634001,0.0026790891655621,0.0019649202321121747,True
Advisor's de facto control/discretionary authority over account,0.002419614408543069,0.002854828727615573,0.0021632635898671585,0.0016586799784009919,1.8736170273087687e-07,0.004355224785786,0.0004092214858564,0.001357304532757,0.0017230662210113998,0.0019612042563526997,True
Adequacy of documented rationale/justification for the recommendation,0.004447207870732631,0.006076961207155483,0.0025210634081501287,0.0033697041357520848,1.7638114887122058e-06,-0.0016156007374133001,0.00027636251196699966,-0.0028027990037806,-0.0035459037274572997,-0.0019219852391710501,False
Fact/degree of concentration in single position,1.2773839177364941e-05,0.00195760297712716,0.0008342751901135762,0.0010825566264027163,4.806796976156878e-07,-3.832151753209427e-05,-0.0030784091114346,-0.0019225344179296998,-0.0022886702727891,-0.0018319838299213735,True
Client's need for principal/capital preservation,0.002886335935444175,0.00361194838450555,0.001696120255950653,0.005261155831402713,1.6676661002179759e-06,-0.0043475813912616,-0.0049431972410300005,0.0010880530518739,0.0009649226278314002,-0.0018094507381465753,False
Reverse churning (fees without commensurate trading/services),0.0052417160046030085,0.0029972046508589412,0.005349138633559528,0.002547602590483972,1.6181223499225492e-06,0.0036916840506458996,-0.0009573505153823002,0.0054133378840375,-0.0011378828660160004,0.0017524471383212749,False
Advisor's documentation of risk warnings/discussions with client,0.002436269625823435,0.0029463272428893405,0.0037742478490550764,0.0020936305154955646,4.002978074611189e-07,0.0012632568027808998,0.0002550044867355001,0.0020562937606042,0.0030606083750543,0.001658790856293725,True
Share class economics incompatible with holding period/trading frequency,0.001356962012047986,0.0005659767984801745,0.0025519452233428628,0.0009589013944343145,5.530214813834643e-07,0.0010910553640222,-0.0006452592423897,0.0057131827832464,0.00026857639280229993,0.0016068888244203,False
Signed risk disclosure/acknowledgment obtained,0.0015350801776136554,0.0016156669259560557,0.001994167049414423,0.0016448101310787585,3.0966098050467784e-08,-0.00176710228401,-0.0015231802953890997,-0.0007623854901670998,-0.0022496283835117996,-0.0015755741132694998,True
Account-type recommendation triggers best-interest/suitability obligation,0.0014091005576986203,0.0015107941036592541,0.0027672409851848324,0.0007655480042522117,5.256170119875971e-07,0.0020774961215290003,0.0035924973528966,0.0005893954784193002,1.7799366562000138e-06,0.0015652922223752751,True
Cost/fee consideration in suitability analysis,0.00438986459867843,0.005383391422089674,0.00400720558447628,0.004694818822101605,2.54209512376939e-07,0.0025347073128757997,0.0041891096738385005,0.00036026556405630017,-0.0008292856187756001,0.00156369923299875,False
Adequacy of advisor's due diligence and inquiry,0.0038486229396027557,0.003950893522930455,0.004724886339663388,0.0030232395027418794,3.6342271596721624e-07,0.0029605564832626,0.0019955141716641,0.0005193709390945,0.0007714931181010999,0.0015617336780305749,True
