case_id,model,model_cutoff,arm,date_filed,caption,court_level,prediction,refused,finish,error,temp_dropped,latency_s,in_tokens,out_tokens,served_by,ts
cl_2015_ca5_state_of_texas_v._usa,openai/gpt-5,2024-09-30,pre_cutoff,2015-11-25,State of Texas v. USA,circuit,"1. Outcome — Affirmed. The Fifth Circuit affirmed the district court’s nationwide preliminary injunction; Texas and the plaintiff States prevailed at this stage.

2. Reasoning — The court held the States had standing based on the concrete costs (e.g., driver’s license expenses) traceable to DAPA/expanded DACA. The guidance was reviewable and not committed to unreviewable enforcement discretion because it conferred “lawful presence” and eligibility for benefits with legal consequences. On the merits, the States were likely to succeed because DHS adopted a substantive policy that required notice-and-comment under the APA and likely exceeded its statutory authority under the INA. The balance of equities and public interest supported maintaining the injunction.",0,stop,,0,20.28,226,1261,OpenAI,2026-08-07T09:53:14
cl_2014_ca2_city_of_pontiac_v._ubs_ag,openai/gpt-5,2024-09-30,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,circuit,"1. Outcome — Affirmed in full; UBS prevailed. The Second Circuit upheld dismissal of all §10(b)/Rule 10b‑5 claims.

2. Reasoning — Two principal grounds:
- Extraterritoriality: Applying Morrison, the court rejected plaintiffs’ “listing theory,” holding §10(b) does not reach purchases on foreign exchanges merely because the issuer’s shares are also listed in the U.S.; only domestic exchange trades or other domestic transactions qualify. Thus, claims based on foreign purchases were barred.
- Failure to state a claim for the domestic purchasers: The remaining allegations (e.g., statements about risk management/compliance and nondisclosure of alleged tax‑evasion misconduct) were nonactionable puffery/opinions, and there is no freestanding duty to disclose uncharged wrongdoing; plaintiffs also failed to plead a strong inference of scienter.",0,stop,,0,27.69,218,1451,OpenAI,2026-08-07T09:53:22
cl_2015_ca9_steve_harris_v._amgen_inc.,openai/gpt-5,2024-09-30,pre_cutoff,2015-05-26,"Steve Harris v. Amgen, Inc.",circuit,"1. Outcome — Reversed and remanded; the plan participants (Harris and others) prevailed at the pleading stage.

2. Reasoning — Applying Fifth Third Bancorp v. Dudenhoeffer, the Ninth Circuit rejected any presumption of prudence and held the complaint plausibly alleged that Amgen’s ESOP fiduciaries breached their ERISA duty by continuing to offer and purchase Amgen stock despite inside knowledge that it was artificially inflated. The court concluded plaintiffs adequately pleaded that fiduciaries had alternative, lawful actions available (e.g., making corrective disclosures, halting further purchases, or removing the stock fund) consistent with the securities laws, so dismissal for failure to state a claim was improper.",0,stop,,0,32.25,228,2144,OpenAI,2026-08-07T09:53:26
cl_2014_ca9_john_loos_v._immersion_corporation,openai/gpt-5,2024-09-30,pre_cutoff,2014-09-11,John Loos v. Immersion Corporation,circuit,"1. Outcome — Affirmed in part, reversed in part, and remanded. The Ninth Circuit affirmed dismissal of the complaint in favor of Immersion, but reversed the denial of leave to amend and remanded to allow Loos to replead.
2. Reasoning — Loss causation: an announcement of an internal investigation, standing alone, is not a “corrective disclosure” under Dura because it does not reveal the falsity of prior statements, only the possibility of wrongdoing. However, because Immersion later announced a restatement and related findings that could constitute a corrective disclosure, denying leave to amend was an abuse of discretion.",0,stop,,0,43.72,228,2770,OpenAI,2026-08-07T09:53:38
cl_2017_iowa_amended_september_5_2017_state_of_i,openai/gpt-5,2024-09-30,pre_cutoff,2017-06-23,"Amended September 5, 2017 State of Iowa v. Eddie Tipton",state,"Outcome: Affirmed; the State prevailed.

Reasoning: The court held the evidence was sufficient to prove Tipton rigged the Hot Lotto draw and then attempted to obtain the prize through a sham claim, supporting the jury’s verdicts for the charged offenses. It rejected his appellate challenges (including evidentiary objections and venue), concluding the challenged evidence—such as proof of his access/manipulation of the lottery computer system and the circumstances of the attempted claim—was properly admitted to show identity and intent, and that Polk County was a proper venue because the claim was presented to the Iowa Lottery there.",0,stop,,0,44.34,237,2659,OpenAI,2026-08-07T09:53:38
cl_2014_ca2_sec_v._contorinis,openai/gpt-5,2024-09-30,pre_cutoff,2014-02-18,SEC v. Contorinis,circuit,"1. Outcome — Affirmed. The SEC prevailed; the judgment requiring Contorinis to disgorge the fund’s trading profits (plus related relief) was upheld.

2. Reasoning — The court held that in an SEC civil enforcement action, disgorgement may include profits that a defendant caused third parties to realize, even if the defendant did not personally receive them. Because Contorinis controlled the insider‑trading transactions that generated the gains for the fund, those profits were causally connected to his violations and could be disgorged. The court distinguished criminal forfeiture (which is limited to property the defendant “obtained”) from equitable disgorgement, which can reach third‑party gains to deprive the wrongdoer of the fruits of his misconduct and deter violations.",0,stop,,0,45.39,217,2944,OpenAI,2026-08-07T09:53:39
cl_2018_ca9_united_states_v._jonathan_turner,openai/gpt-5,2024-09-30,pre_cutoff,2018-07-27,United States v. Jonathan Turner,circuit,UNKNOWN,0,stop,,0,19.58,226,1184,OpenAI,2026-08-07T09:53:41
cl_2017_pa_villani_v._seibert_appeal_of_seiber,openai/gpt-5,2024-09-30,pre_cutoff,2017-04-26,Villani v. Seibert Appeal of: Seibert,state,"1. Outcome — Affirmed; Villani prevailed. The court upheld reinstatement of Villani’s Dragonetti Act claim and remanded for further proceedings.

2. Reasoning — The court held that the Dragonetti Act creates a substantive tort that the General Assembly may impose on “any person,” including attorneys, who initiate or continue civil proceedings without probable cause and for an improper purpose. Applying the Act to lawyers does not impermissibly intrude on the Supreme Court’s exclusive authority to regulate attorney discipline, so Seibert was not immune from suit on separation‑of‑powers or privilege grounds.",0,stop,,0,47.97,223,2914,OpenAI,2026-08-07T09:53:42
cl_2015_ca9_northstar_financial_advisors_v._sch,openai/gpt-5,2024-09-30,pre_cutoff,2015-04-28,Northstar Financial Advisors v. Schwab Investments,circuit,"1. Outcome — Reversed in part, affirmed in part, and remanded; Northstar (the plaintiffs) partially prevailed because several claims were reinstated.

2. Reasoning — The panel held that a mutual fund’s “fundamental” investment objectives and policies, as set out in the registration/prospectus and approved by a shareholder vote, operate as enforceable contractual terms under applicable trust/corporate law, giving shareholders a direct claim when the fund deviates without the required vote. It further held that shareholders have an implied private right of action under Investment Company Act § 13(a) to enforce the requirement of shareholder approval before departing from fundamental policies. By contrast, the court affirmed dismissal of claims under ICA §§ 34(b) and 36(a), concluding those provisions do not create implied private rights of action.",0,stop,,0,50.13,229,2983,OpenAI,2026-08-07T09:53:44
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,openai/gpt-5,2024-09-30,pre_cutoff,2018-02-23,Jaclyn Santomenno v. Transamerica Life Ins. Co.,circuit,"1. Outcome — Affirmed. Judgment for Transamerica; plaintiffs lost.

2. Reasoning — The court held Transamerica was not acting as an ERISA fiduciary with respect to the challenged conduct. Setting and collecting its compensation pursuant to arm’s‑length contracts and offering/altering a menu of investment options for plans did not involve discretionary authority or control over plan assets or plan administration in the relevant sense. Without fiduciary status, the breach and §406 prohibited‑transaction claims failed; in any event, the compensation fell within the §408(b)(2) service‑provider exemption.",0,stop,,0,39.13,233,2451,OpenAI,2026-08-07T09:53:53
