model,model_family,global_feature,appearances,mean_importance,frequency
anthropic/claude-haiku-4.5,anthropic,AML/SAR filing obligations,3,8.0,0.030927835051546393
anthropic/claude-haiku-4.5,anthropic,Abandonment of previously suitable diversified portfolio,6,7.833333333333333,0.061855670103092786
anthropic/claude-haiku-4.5,anthropic,Absence of advisor conflicts of interest / self-dealing / compensation incentives,38,9.763157894736842,0.3917525773195876
anthropic/claude-haiku-4.5,anthropic,Absence of advisor discretionary control over the account,3,7.666666666666667,0.030927835051546393
anthropic/claude-haiku-4.5,anthropic,Absence of changed circumstances justifying the transaction,4,16.25,0.041237113402061855
anthropic/claude-haiku-4.5,anthropic,"Absence of complex, illiquid, or high-commission products",2,20.0,0.020618556701030927
anthropic/claude-haiku-4.5,anthropic,Absence of demonstrable client benefit from the transaction/replacement,3,10.666666666666666,0.030927835051546393
anthropic/claude-haiku-4.5,anthropic,Absence of documented alternatives analysis,18,13.88888888888889,0.18556701030927836
anthropic/claude-haiku-4.5,anthropic,Absence of documented client authorization or request for the strategy,6,11.333333333333334,0.061855670103092786
anthropic/claude-haiku-4.5,anthropic,Absence of documented cost-benefit/break-even analysis,3,13.666666666666666,0.030927835051546393
anthropic/claude-haiku-4.5,anthropic,Absence of documented diversification/risk analysis,3,18.333333333333332,0.030927835051546393
anthropic/claude-haiku-4.5,anthropic,Absence of documented exception process in supervisory procedures,4,3.25,0.041237113402061855
anthropic/claude-haiku-4.5,anthropic,Absence of documented suitability analysis / KYC,25,10.16,0.25773195876288657
anthropic/claude-haiku-4.5,anthropic,Absence of due diligence / eligibility verification / supervisory review,1,10.0,0.010309278350515464
anthropic/claude-haiku-4.5,anthropic,Absence of evidence of third-party coercion,1,4.0,0.010309278350515464
anthropic/claude-haiku-4.5,anthropic,Absence of excessive trading / quantitative suitability concerns,4,11.0,0.041237113402061855
anthropic/claude-haiku-4.5,anthropic,Absence of internal firm limits on illiquid/concentrated allocations,3,11.333333333333334,0.030927835051546393
anthropic/claude-haiku-4.5,anthropic,Absence of living-benefit riders offsetting cost/illiquidity,2,4.5,0.020618556701030927
anthropic/claude-haiku-4.5,anthropic,Absence of material nonpublic information / insider misconduct,3,7.666666666666667,0.030927835051546393
anthropic/claude-haiku-4.5,anthropic,Absence of realized customer harm or complaint,5,6.0,0.05154639175257732
anthropic/claude-haiku-4.5,anthropic,Absence of required cost/compensation/conflict/product disclosures,4,19.25,0.041237113402061855
anthropic/claude-haiku-4.5,anthropic,Absence of required regulatory disclosure documents (Form CRS/ADV/rollover comparison),3,5.666666666666667,0.030927835051546393
anthropic/claude-haiku-4.5,anthropic,"Absence of risk-mitigation measures (stop-loss, hedging, diversification)",2,10.5,0.020618556701030927
anthropic/claude-haiku-4.5,anthropic,Absence of signed product/concentration-specific risk acknowledgment,7,11.428571428571429,0.07216494845360824
anthropic/claude-haiku-4.5,anthropic,"Absence of trading, rebalancing, or discretionary portfolio activity over holding period (dormant portfolio)",2,21.0,0.020618556701030927
anthropic/claude-haiku-4.5,anthropic,Absence of trusted contact/family member from the recommendation meeting,3,10.333333333333334,0.030927835051546393
