case_id,model,model_cutoff,arm,date_filed,caption,court_level,prediction,refused,finish,error,temp_dropped,latency_s,in_tokens,out_tokens,served_by,ts
cl_2014_ca9_john_loos_v._immersion_corporation,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2014-09-11,John Loos v. Immersion Corporation,circuit,"**1. THE OUTCOME**
The Ninth Circuit **affirmed** the district court’s dismissal of the complaint. The defendant, Immersion Corporation, prevailed.

**2. THE REASONING**
The case turned on whether the plaintiff adequately pleaded ""loss causation"" in a securities fraud claim under Section 10(b) of the Securities Exchange Act. Specifically, the court had to decide whether a company's announcement of an internal investigation into its accounting practices constitutes a ""corrective disclosure"" that reveals the truth of a prior misrepresentation to the market. 

The Ninth Circuit held that the mere announcement of an internal investigation, standing alone, does not qualify as a corrective disclosure. The court reasoned that such an announcement only alerts the market to a *potential* problem or the *risk* of fraud, rather than actually revealing that prior financial statements were false or that fraudulent conduct occurred. Because the subsequent drop in stock price was based on market speculation about what the investigation might eventually uncover—rather than the revelation of the actual truth—the plaintiff failed to adequately plead loss causation.",0,stop,,0,6.83,232,705,Google,2026-08-07T10:26:48
cl_2014_ca2_sec_v._contorinis,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2014-02-18,SEC v. Contorinis,circuit,"**1. THE OUTCOME**
The Second Circuit affirmed the district court’s judgment in favor of the SEC, upholding the disgorgement order against the defendant. 

**2. THE REASONING**
The principal legal question was whether an insider trader can be required to disgorge illicit profits that were realized by a third party—in this case, the hedge fund the defendant managed—rather than by the defendant personally. 

The Second Circuit held that a defendant can be ordered to disgorge third-party profits if the defendant had control over the trades and directed the illegal gains to that third party. The court reasoned that the primary purpose of disgorgement is to deprive wrongdoers of their unjust enrichment and deter securities law violations. Because Contorinis executed the trades and directly caused the fund to receive the illicit profits (which also indirectly benefited him through his compensation structure), holding him liable for the full amount of the illegal profits properly served the equitable and deterrent purposes of disgorgement, regardless of whether he personally pocketed the entire sum.",0,stop,,0,7.53,218,681,Google,2026-08-07T10:26:49
cl_2014_ca2_city_of_pontiac_v._ubs_ag,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,circuit,"**1. THE OUTCOME**
The Second Circuit **affirmed** the district court's dismissal of the complaint. The prevailing party was the defendant, **UBS AG**.

**2. THE REASONING**
The court's decision turned on two principal legal issues regarding securities fraud:
*   **Extraterritoriality (The ""Listing Theory""):** Applying the Supreme Court's decision in *Morrison v. National Australia Bank*, the Second Circuit held that Section 10(b) of the Securities Exchange Act does not apply to foreign plaintiffs purchasing shares of a foreign issuer on a foreign exchange (""foreign-squared"" claims) simply because those shares are cross-listed on a U.S. exchange. The court explicitly rejected the ""listing theory,"" requiring the actual transaction to occur on a domestic exchange or involve a domestic transaction.
*   **Corporate Puffery:** The court held that UBS's general statements regarding its ""highly disciplined"" risk management, strict compliance programs, and commitment to protecting its reputation were non-actionable ""puffery."" The court reasoned that these were broad, qualitative statements of corporate optimism that a reasonable investor would not rely upon as a concrete guarantee against the company's subsequent massive losses in mortgage-backed securities or its involvement in a tax evasion scandal.",0,stop,,0,12.31,219,1355,Google,2026-08-07T10:26:54
cl_2017_iowa_amended_september_5_2017_state_of_i,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2017-06-23,"Amended September 5, 2017 State of Iowa v. Eddie Tipton",state,"**1. THE OUTCOME**
The Iowa Supreme Court reversed Tipton’s convictions and remanded the case for dismissal of the charges. Tipton prevailed. 

**2. THE REASONING**
Tipton was convicted of fraudulent practice and ongoing criminal conduct for rigging a Multi-State Lottery Association random number generator to win a $16.5 million Iowa Hot Lotto jackpot. The Court reversed both convictions on the following grounds:
*   **Fraudulent Practice:** The charge was barred by the three-year statute of limitations. The State argued the crime was a continuing offense that lasted until Tipton's associates attempted to claim the prize in December 2011. However, the Court held the offense was completed in December 2010 when Tipton actually manipulated the lottery equipment and purchased the rigged ticket. Because he was not charged until January 2015, the statute of limitations had expired.
*   **Ongoing Criminal Conduct:** The Court held there was insufficient evidence to support this charge. The statute requires proof of ""continuing"" criminal activity or an ongoing ""enterprise."" Because the evidence at this specific trial only established a single, isolated criminal act (the rigging of one specific lottery draw), it did not meet the statutory definition for ongoing criminal conduct.",0,stop,,0,12.67,241,1423,Google,2026-08-07T10:26:54
cl_2015_ca5_state_of_texas_v._usa,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2015-11-25,State of Texas v. USA,circuit,"**1. THE OUTCOME**
**Affirmed.** The State of Texas (and the coalition of plaintiff states) prevailed. The Fifth Circuit upheld the district court's preliminary injunction halting the implementation of the Deferred Action for Parents of Americans and Lawful Permanent Residents (DAPA) program.

**2. THE REASONING**
The court's decision turned on standing and the Administrative Procedure Act (APA):
*   **Standing:** The court held that Texas had Article III standing because it would suffer a concrete and particularized financial injury from having to subsidize state driver's licenses for DAPA beneficiaries. 
*   **APA Procedural Violation:** The court determined that DAPA was a substantive (legislative) rule rather than a mere general statement of policy, because it severely restricted agency discretion and established substantive rights. Therefore, the Department of Homeland Security violated the APA by failing to use notice-and-comment rulemaking.
*   **APA Substantive Violation:** The court also held that DAPA was manifestly contrary to the Immigration and Nationality Act (INA). The court reasoned that the INA's intricate and comprehensive statutory scheme did not grant the executive branch the authority to confer ""lawful presence"" and work authorization on millions of undocumented immigrants without congressional approval.",0,stop,,0,12.84,230,1336,Google,2026-08-07T10:26:54
cl_2017_pa_villani_v._seibert_appeal_of_seiber,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2017-04-26,Villani v. Seibert Appeal of: Seibert,state,"**1. THE OUTCOME**
The order of the lower court was affirmed (and the case remanded for further proceedings). Villani (the plaintiff) prevailed.

**2. THE REASONING**
The legal question was whether the Dragonetti Act (Pennsylvania's statutory cause of action for wrongful use of civil proceedings) was unconstitutional as applied to attorneys. Seibert argued that the Act violated the separation of powers by infringing upon the Pennsylvania Supreme Court's exclusive authority to regulate the conduct of attorneys under Article V, Section 10(c) of the Pennsylvania Constitution. 

The Pennsylvania Supreme Court rejected this argument and upheld the statute. The Court reasoned that the Dragonetti Act does not impermissibly encroach on the Court's power to govern attorney discipline or procedural rules. Instead, it is a substantive tort cause of action designed to compensate victims for the harm caused by frivolous and malicious litigation, which falls squarely within the General Assembly's traditional legislative authority to define substantive law.",0,stop,,0,14.69,222,1823,Google,2026-08-07T10:26:56
cl_2015_ca9_steve_harris_v._amgen_inc.,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2015-05-26,"Steve Harris v. Amgen, Inc.",circuit,"**1. THE OUTCOME**

The Ninth Circuit **reversed** the district court’s dismissal of the complaint and **remanded** the case. The plaintiffs (Amgen employees/plan participants) prevailed at this stage. 

*(Note: The U.S. Supreme Court later summarily reversed this specific Ninth Circuit decision in 2016).*

**2. THE REASONING**

This was an ERISA ""stock drop"" case on remand from the Supreme Court, requiring the Ninth Circuit to apply the new pleading standard established in *Fifth Third Bancorp v. Dudenhoeffer* (2014). Under *Dudenhoeffer*, plaintiffs alleging a breach of the fiduciary duty of prudence based on inside information must plausibly allege an alternative action the fiduciaries could have taken that would be consistent with securities laws and that a prudent fiduciary would not have viewed as more likely to harm the fund than to help it.

The Ninth Circuit held that the plaintiffs successfully met this standard. The court reasoned that the complaint plausibly alleged the fiduciaries knew Amgen's stock was artificially inflated due to concealed safety issues with its drugs and illegal off-label marketing. The court concluded that the fiduciaries could have taken alternative actions—specifically, removing the Amgen Common Stock Fund from the list of available investment options—without violating insider trading laws. Furthermore, the court found the plaintiffs sufficiently alleged that a prudent fiduciary in the same circumstances would not have concluded that stopping further purchases of the stock would do more harm than good to the plan.",0,stop,,0,15.09,233,1600,Google,2026-08-07T10:26:57
cl_2015_ca9_northstar_financial_advisors_v._sch,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2015-04-28,Northstar Financial Advisors v. Schwab Investments,circuit,"**1. THE OUTCOME**
The Ninth Circuit reversed the district court’s dismissal and remanded the case. The plaintiff (Northstar Financial Advisors) prevailed.

**2. THE REASONING**
The case turned on whether a mutual fund's shareholders could bring state-law claims against the fund for deviating from the investment objectives stated in its regulatory filings. 

The Ninth Circuit held that, under Massachusetts law (where the Schwab trust was organized), a mutual fund’s prospectus and Statement of Additional Information (SAI) can form a binding contract between the fund and its shareholders. Therefore, Northstar stated a valid breach of contract claim by alleging that Schwab violated its fundamental investment policies by investing heavily in risky, non-agency mortgage-backed securities instead of tracking its stated benchmark bond index. 

Furthermore, the court revived the plaintiff's breach of fiduciary duty claim, holding that it could be brought as a direct action rather than a derivative action. The court reasoned that the shareholders suffered a direct, independent injury when the fund unilaterally changed its fundamental investment strategy without obtaining the required shareholder vote.",0,stop,,0,16.47,232,1852,Google,2026-08-07T10:26:58
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2018-02-23,Jaclyn Santomenno v. Transamerica Life Ins. Co.,circuit,"**1. THE OUTCOME**
The Ninth Circuit **affirmed** the district court’s dismissal of the plaintiffs' claims. The defendant, Transamerica Life Insurance Co., prevailed.

**2. THE REASONING**
The case turned on whether Transamerica was acting as an ERISA fiduciary when it charged and collected fees from the plaintiffs' employer-sponsored 401(k) retirement plans. 

The Ninth Circuit held that Transamerica was not an ERISA fiduciary with respect to its compensation. The court reasoned that the fee arrangements were negotiated at arm's length with the plan sponsors *before* Transamerica entered into the service agreements and assumed any fiduciary role. Furthermore, Transamerica's act of simply withdrawing its pre-negotiated fees from the plans' investment accounts did not constitute the ""discretionary authority or control"" over plan assets required to trigger fiduciary duties under ERISA. Because Transamerica was not acting as a fiduciary regarding the fees, the plaintiffs' claims for breach of fiduciary duty and prohibited transactions failed as a matter of law.",0,stop,,0,10.37,238,1031,Google,2026-08-07T10:26:59
cl_2018_ca9_united_states_v._jonathan_turner,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2018-07-27,United States v. Jonathan Turner,circuit,UNKNOWN,0,stop,,0,12.37,230,1266,Google,2026-08-07T10:27:01
cl_2018_ca9_ussec_v._e._andrew_schooler,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2018-09-26,Ussec v. E. Andrew Schooler,circuit,"**1. THE OUTCOME**
The Ninth Circuit **affirmed** the district court's judgment. The Securities and Exchange Commission (SEC) prevailed. 

**2. THE REASONING**
The principal legal question was whether the general partnership interests in raw land that Schooler sold to investors constituted ""investment contracts"" (and thus securities) subject to SEC regulation under the *Howey* test. 

While general partnership interests are typically not considered securities because partners possess control over the enterprise, the Ninth Circuit applied the *Williamson* exception. The court reasoned that the investors were inexperienced in raw land investment and were so entirely dependent on Schooler's unique entrepreneurial and managerial expertise that they were practically unable to exercise meaningful partnership powers. Consequently, the interests were securities. The court also affirmed the district court's disgorgement order, finding that it reasonably approximated Schooler's ill-gotten gains.",0,stop,,0,10.97,233,1119,Google,2026-08-07T10:27:05
cl_2018_cadc_phh_corporation_v._cfpb,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2018-01-31,PHH Corp. v. Consumer Financial Protection Bureau,circuit,"**1. THE OUTCOME**
The D.C. Circuit (sitting *en banc*) vacated the CFPB’s $109 million enforcement order against PHH and remanded the case. PHH prevailed on the statutory and due process grounds (escaping the fine), while the CFPB prevailed on the constitutional challenge to its agency structure. 

**2. THE REASONING**
The court's decision turned on two main issues:
*   **Constitutional Structure:** The *en banc* majority held that the CFPB’s structure—headed by a single director removable by the President only for cause—did not violate the separation of powers. The court reasoned that under Supreme Court precedent (specifically *Humphrey's Executor*), Congress may provide for-cause removal protections to the heads of independent agencies that wield financial regulatory and enforcement powers. *(Note: This constitutional holding was later abrogated by the Supreme Court in Seila Law LLC v. CFPB in 2020).*
*   **Statutory Interpretation and Due Process:** Despite upholding the agency's constitutionality, the *en banc* court reinstated the earlier three-judge panel's statutory rulings in favor of PHH. The court held that the CFPB had misinterpreted the Real Estate Settlement Procedures Act (RESPA) regarding captive reinsurance arrangements, that the CFPB violated PHH's due process rights by retroactively applying this new interpretation to past conduct, and that the CFPB's administrative enforcement actions are bound by RESPA's three-year statute of limitations. Because of these statutory and due process violations, the CFPB's enforcement order was vacated.",0,stop,,0,10.73,236,1236,Google,2026-08-07T10:27:05
cl_2018_illappct_vt_investment_corp._v._west_columbi,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2018-08-24,V&T Investment Corp. v. West Columbia Condominium Ass'n,state,UNKNOWN,0,stop,,0,11.2,229,1141,Google,2026-08-07T10:27:06
cl_2019_ca3_jennifer_sweda_v._university_of_pen,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2019-05-02,Jennifer Sweda v. University of Pennsylvania,circuit,"**1. THE OUTCOME**
The Third Circuit reversed in part, affirmed in part, and remanded. The plaintiffs (Sweda and other plan participants) largely prevailed, as the court reinstated their core ERISA breach of fiduciary duty claims, though it affirmed the dismissal of their prohibited transaction claims.

**2. THE REASONING**
The case turned on the pleading standards for an ERISA breach of fiduciary duty claim regarding a university 403(b) retirement plan. 

The Third Circuit held that the plaintiffs plausibly alleged that the University of Pennsylvania breached its fiduciary duties by paying excessive recordkeeping fees, failing to use its size to negotiate lower fees, and retaining expensive retail-class shares when identical, cheaper institutional-class shares were available. The court ruled that at the motion to dismiss stage, plaintiffs are not required to rule out every lawful explanation for the fiduciaries' conduct. Furthermore, the court held that a fiduciary cannot shield itself from liability for retaining imprudent investment options simply by pointing to the fact that the plan also offered a mix of other, prudent options. 

However, the court affirmed the dismissal of the plaintiffs' prohibited transaction claims under ERISA § 406(a)(1). The court reasoned that routine payments to service providers for standard recordkeeping services do not constitute prohibited transactions absent specific allegations of self-dealing or an intent to improperly benefit a party in interest.",0,stop,,0,11.22,231,1053,Google,2026-08-07T10:27:07
cl_2019_ca9_ussec_v._hui_feng,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2019-08-23,Ussec v. Hui Feng,circuit,"**1. THE OUTCOME**
The Ninth Circuit **affirmed** the district court’s judgment. The **SEC prevailed**.

**2. THE REASONING**
The court held that Feng, an immigration attorney, acted as an unregistered broker in violation of the Securities Exchange Act because he received transaction-based compensation (commissions) for successfully soliciting his clients to purchase securities in EB-5 immigrant investor regional centers. The court emphasized that receiving transaction-based compensation is the hallmark of acting as a broker. 

Additionally, the court affirmed Feng's liability for securities fraud under Section 10(b) of the Exchange Act and Section 17(a) of the Securities Act. The court reasoned that Feng breached his fiduciary duty to his clients by intentionally failing to disclose that he was receiving these commissions from the regional centers, which constituted a material conflict of interest. The court also upheld the district court's remedies, including the order of disgorgement of his ill-gotten commissions.",0,stop,,0,9.85,230,1063,Google,2026-08-07T10:27:08
cl_2019_cadc_donald_trump_v._mazars_usa_llp,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2019-10-11,"Donald Trump v. Mazars USA, LLP",circuit,"**1. THE OUTCOME**
Affirmed. The House Oversight Committee prevailed. 

**2. THE REASONING**
The D.C. Circuit held that the House Oversight Committee's subpoena to Mazars USA for President Trump's financial records was valid and enforceable because it served a ""legitimate legislative purpose."" The court reasoned that the requested documents were relevant to potential legislation concerning government ethics, financial disclosures, and conflicts of interest. Consequently, the subpoena fell squarely within Congress's broad investigative powers under Article I of the Constitution. The court rejected the President's arguments that the Committee was impermissibly attempting to exercise law enforcement powers or seeking to expose his private finances merely for the sake of exposure. 

*(Note: This D.C. Circuit decision was later vacated and remanded by the U.S. Supreme Court in 2020, which established a new separation-of-powers test for congressional subpoenas targeting a sitting president's personal papers.)*",0,stop,,0,9.21,235,878,Google,2026-08-07T10:27:08
cl_2019_ca9_alexander_acosta_v._city_national_c,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2019-04-23,Alexander Acosta v. City National Corporation,circuit,"**1. THE OUTCOME**
The Ninth Circuit **affirmed** the district court's judgment. The prevailing party was the plaintiff, Alexander Acosta (Secretary of the Department of Labor). 

**2. THE REASONING**
The case turned on whether ERISA’s ""reasonable compensation"" exemption under Section 408(b)(2) can be used as a defense against claims of fiduciary self-dealing under Section 406(b). City National Corporation, acting as a fiduciary for its own employee retirement plan, had compensated itself and its affiliates out of plan assets and argued that the transactions were exempt because the compensation was reasonable. 

The Ninth Circuit held that the Section 408(b)(2) exemption does not apply to fiduciary self-dealing. Applying *Chevron* deference, the court upheld a long-standing Department of Labor regulation which interprets the Section 408(b)(2) safe harbor as applying only to ""party-in-interest"" transactions prohibited by Section 406(a), and explicitly excluding self-dealing transactions prohibited by Section 406(b). Because the statute was ambiguous and the agency's interpretation was reasonable, City National could not rely on the exemption to excuse its self-dealing.",0,stop,,0,17.39,231,2005,Google,2026-08-07T10:27:14
cl_2019_cadc_the_robare_group_ltd._v._sec,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2019-04-30,"The Robare Group, LTD. v. SEC",circuit,"**1. THE OUTCOME**
The D.C. Circuit granted the petition for review in part, denied it in part, and remanded the case to the SEC. The petitioners (The Robare Group) prevailed in defeating the SEC’s finding of a Section 206(1) violation (which requires scienter), while the SEC prevailed in upholding the Section 206(2) and Section 207 violations (which require only negligence and willfulness, respectively). 

**2. THE REASONING**
The case turned on whether investment advisers who failed to adequately disclose conflicts of interest regarding revenue-sharing payments (12b-1 fees) acted with scienter, negligence, or willfulness when they stated in their Form ADV that they ""may"" receive such compensation when they actually *were* receiving it. 

The court held:
*   **No Scienter (Section 206(1)):** The SEC lacked substantial evidence to find that the advisers acted with scienter (intent to deceive or severe recklessness). The advisers had repeatedly engaged and relied upon independent compliance consultants to draft and review their Form ADV disclosures. This reliance on professionals negated a finding of severe recklessness.
*   **Negligence and Willfulness Upheld (Sections 206(2) and 207):** The court upheld the SEC's findings of negligence and willful omission. Even with compliance consultants, the advisers had an independent fiduciary duty to ensure their clients were fully informed of conflicts of interest, making the inadequate disclosures negligent. Furthermore, ""willfully"" under Section 207 only requires that the adviser intentionally committed the act of filing the misleading Form ADV, not that they acted with a culpable state of mind or knew they were violating the law. 

Because the court vacated the most serious violation (the Section 206(1) fraud charge), it remanded the case for the SEC to reassess the appropriate sanctions.",0,stop,,0,13.93,236,1595,Google,2026-08-07T10:27:15
cl_2019_dcd_state_of_new_york_v._united_states_,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2019-03-28,State of New York v. United States Department of Labor,district,"**1. THE OUTCOME**
The court granted summary judgment in favor of the plaintiff States, vacating the core provisions of the Department of Labor’s (DOL) Association Health Plan (AHP) Final Rule and remanding the matter to the agency. 

**2. THE REASONING**
The case turned on whether the DOL’s Final Rule—which expanded the ability of small businesses and sole proprietors to band together to buy health insurance—was a valid interpretation of the term ""employer"" under the Employee Retirement Income Security Act (ERISA). 

Applying the *Chevron* framework, the court held that the DOL's interpretation was unreasonable and contrary to law. ERISA was designed to regulate genuine employment-based benefit plans, not commercial insurance arrangements. The court found that the Final Rule stretched the definition of ""employer"" beyond what the statute could bear by relaxing the ""commonality of interest"" requirement for associations and by allowing ""working owners"" (sole proprietors with no employees) to qualify as both employers and employees. The court concluded that the rule was an invalid end-run around the Affordable Care Act (ACA), unlawfully allowing associations to bypass the ACA's strict consumer protections and essential health benefit requirements for the individual and small-group markets.",0,stop,,0,10.52,238,1088,Google,2026-08-07T10:27:15
cl_2019_dcd_taylor_v._federal_aviation_administ,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2019-08-09,Taylor v. Federal Aviation Administration,district,UNKNOWN,0,stop,,0,10.62,236,1009,Google,2026-08-07T10:27:16
cl_2020_ca11_united_states_v._gerti_muho,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2020-10-22,United States v. Gerti Muho,circuit,UNKNOWN,0,stop,,0,10.63,232,1051,Google,2026-08-07T10:27:18
cl_2019_calctapp_j.b.b._investment_partners_v._fair,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2019-07-02,J.B.B. Investment Partners v. Fair,state,"**1. THE OUTCOME**
The court **affirmed** the trial court's judgment in favor of the plaintiffs (J.B.B. Investment Partners). 

**2. THE REASONING**
The court held that its prior 2014 appellate decision in this same dispute—which ruled that the defendant's printed name on an email did not meet the strict signature requirements necessary for the summary enforcement of a settlement under Code of Civil Procedure section 664.6—did not establish the ""law of the case"" that no contract existed at all. 

The court reasoned that while Section 664.6 requires strict compliance with formal signature requirements to utilize its expedited enforcement procedure, an agreement that fails this test can still be enforced through a standard breach of contract action. Under ordinary contract principles, the trial court correctly found that the defendant's emails, communications, and conduct demonstrated a clear intent to be bound by the settlement terms, making him liable for breach of contract.",0,stop,,0,14.03,224,1518,Google,2026-08-07T10:27:19
cl_2020_ca2_united_states_v._kosinski,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2020-09-22,United States v. Kosinski,circuit,"**1. THE OUTCOME**
The Second Circuit **affirmed** the defendant's conviction. The Government prevailed.

**2. THE REASONING**
The court held that the defendant could be convicted of insider trading under the ""misappropriation theory"" because he breached a fiduciary-like duty of trust and confidence. Kosinski, a doctor serving as a principal investigator for a pharmaceutical company's clinical trial, traded on material nonpublic information regarding negative results in the trial. 

The court reasoned that the explicit Confidentiality Disclosure Agreement (CDA) and Clinical Study Agreement (CSA) that Kosinski signed with the company created a qualifying fiduciary-like relationship. By expressly agreeing to keep the trial information confidential and not use it for his own benefit, Kosinski assumed a duty of trust. When he secretly traded on the confidential information to avoid losses and make a profit, he misappropriated the information in violation of Section 10(b) of the Securities Exchange Act.",0,stop,,0,9.02,229,957,Google,2026-08-07T10:27:23
cl_2020_ca3_jeffrey_norman_v._david_elkin,google/gemini-3.1-pro-preview,2025-01-31,pre_cutoff,2020-05-29,Jeffrey Norman v. David Elkin,circuit,UNKNOWN,0,stop,,0,7.53,230,648,Google,2026-08-07T10:27:24
