case_id,qid,work,arm,date_filed,jurisdiction,model,condition,trunc_n,n_prefix_tokens,n_suffix_tokens,logp_sum,logp_per_token,p_geomean,min_token_logprob,n_tokens_below_1e3,first_break_index,align_warning
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-70B-Instruct,raw,10,13,10,-34.013614,-3.401361,0.03332786,-7.093609,2,7,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-70B-Instruct,raw,25,13,11,-34.703486,-3.154862,0.04264427,-7.093609,2,7,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-70B-Instruct,raw,50,13,11,-34.703486,-3.154862,0.04264427,-7.093609,2,7,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-70B-Instruct,raw,full,13,11,-34.703486,-3.154862,0.04264427,-7.093609,2,7,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-70B-Instruct,raw,10,13,10,-44.340033,-4.434003,0.01186689,-9.226164,2,2,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-70B-Instruct,raw,25,13,11,-45.299844,-4.118168,0.01627431,-9.226164,2,2,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-70B-Instruct,raw,50,13,11,-45.299844,-4.118168,0.01627431,-9.226164,2,2,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-70B-Instruct,raw,full,13,11,-45.299844,-4.118168,0.01627431,-9.226164,2,2,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-70B-Instruct,raw,10,13,10,-18.413494,-1.841349,0.15860326,-5.513807,0,6,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-70B-Instruct,raw,25,13,11,-18.977328,-1.725212,0.17813534,-5.513807,0,6,
