topic,content_type,primary_name,all_names,professions,ages,dollars
structured_products_unsuitable,adversarial,Derek,"['Derek Halloran', 'Patricia Engel', 'Patricia', 'Monte Carlo', 'Patricia', 'Patricia', 'Derek', 'Monte Carlo', 'Derek', 'Patricia']",['retired'],[58],"['$175,000', '$620,000', '$42,000', '$620,000', '$94,500,', '$80,500', '$175,000', '$21,200', '$59,300']"
unsuitable_income_investor,adversarial,Corinne,"['Corinne Bassett', 'Harold Tremaine', 'Harold', 'Harold', 'Harold', 'Harold', 'Harold', 'Harold']","['widow', 'widower']","[74, 74]","['$2,100', '$1,400', '$385,000', '$231,000', '$96,250', '$57,750', '$13,100', '$12,800']"
alternative_investments_unsuitable,adversarial,Margaret,"['Margaret Huang', 'Derek Paulson', 'Margaret', 'Margaret', 'Margaret', 'Margaret']",[],[52],"['$340,000', '$2.1', '$900,000', '$135,000', '$200,000']"
senior_investor_exploitation,adversarial,Harold,"['Harold Zimmerman', 'Cynthia Rowe', 'Kevin Marsh', 'Harold', 'Kevin', 'Kevin', 'Kevin', 'Harold', 'Kevin', 'Kevin', 'Harold', 'Kevin', 'Cynthia Rowe', 'Patricia', 'Kevin']","['engineer', 'retired']","[79, 51]","['$72,000,', '$34,000,', '$1.4', '$950,000', '$450,000', '$150,000', '$120,000', '$100,000', '$80,000']"
failure_to_know_customer,adversarial,Margaret,"['Margaret Ellison', 'Craig Dalton', 'Dalton', 'Ellison', 'Ellison', 'Dalton', 'Dalton', 'Ellison', 'Sandra Cho', 'Cho', 'Ellison', 'Ellison', 'Dalton', 'Ellison', 'Ellison']","['schoolteacher', 'teacher', 'attorney', 'retired']",[71],"['$420,000', '$38,000,', '$480,000,', '$420,000', '$1,680', '$390,000', '$150,000', '$150,000', '$23,000']"
overconcentration_single_stock,adversarial,James,"['James Whitfield', 'Rebecca Torres', 'Whitfield', 'Whitfield', 'Whitfield', 'Whitfield', 'Whitfield', 'Whitfield', 'Whitfield', 'Whitfield']","['engineer', 'manager']",[52],"['$2.7', '$60', '$3.3', '$600,000', '$285,000,', '$400,000', '$60', '$22', '$3.1', '$1.14']"
unsuitable_income_investor,adversarial,Margaret,"['Margaret Dalton', 'Kevin Marsh', 'Kevin', 'Margaret', 'Kevin', 'Margaret', 'Margaret', 'Kevin', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[71],"['$620,000', '$2,800,', '$1,950', '$2,000', '$496,000', '$124,000', '$2,300', '$86,300,', '$62,000']"
failure_to_know_customer,adversarial,Gerald,"['Gerald Fonseca', 'Lisa Cheng', 'Gerald', 'Lisa', 'Gerald', 'Gerald', 'Lisa', 'Thomas Beale', 'Thomas', 'Thomas', 'Gerald', 'Gerald', 'Thomas', 'Thomas', 'Gerald', 'Gerald', 'Thomas', 'Gerald', 'Thomas', 'Gerald', 'Gerald', 'Gerald', 'Gerald']",['manager'],[54],"['$115,000', '$340,000', '$190,000,', '$150,000', '$200,000', '$200,000', '$190,000', '$170,000,']"
speculative_for_conservative_investor,adversarial,Margaret,"['Margaret Thornton', 'David Kessler', 'Kessler', 'Margaret', 'Kessler', 'Margaret', 'Kessler', 'Margaret', 'Kessler']","['schoolteacher', 'teacher', 'retired']",[72],"['$410,000', '$1,400', '$82,000', '$29,500', '$52,500']"
illiquid_investments,adversarial,Carlos,"['Carlos', 'Elena Gutierrez', 'Rachel Yamamoto', 'Rachel', 'Tom Fielding']",['manager'],[58],"['$285,000', '$1.8', '$600,000', '$550,000', '$95,000', '$2.5', '$360,000']"
excessive_churning,adversarial,Margaret,"['Margaret Holloway', 'Daniel Reeves', 'Daniel Reeves', 'Margaret', 'Daniel']",[],[62],"['$320,000', '$55,000,', '$4,200', '$18,700']"
lack_of_diversification,adversarial,Trevor,"['Trevor Dunn', 'Cynthia Park', 'Trevor', 'Trevor', 'Cynthia', 'Cynthia', 'Trevor', 'Cynthia', 'Trevor', 'Trevor']",['engineer'],[44],"['$2.8', '$1.1', '$400,000', '$200,000', '$1.1', '$1.1', '$600,000', '$1.1', '$550,000']"
junk_bonds_conservative_investor,adversarial,Margaret,"['Margaret Holloway', 'Derek Simmons', 'Margaret', 'Morningstar', 'Margaret', 'Derek', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[71],"['$420,000', '$38,000', '$450,000,', '$63,000', '$54,000']"
overconcentration_single_stock,adversarial,Thomas,"['Thomas Keane', 'Rachel Voss', 'Thomas', 'Thomas', 'Rachel', 'Rachel', 'Thomas', 'Rachel', 'Thomas', 'Thomas']",['engineer'],[52],"['$285,000', '$2.1', '$800,000', '$1.3', '$650,000', '$340,000', '$900,000', '$990,000', '$800,000', '$200,000', '$450,000', '$650,000', '$376,000']"
