dataset,case_id,model_family,model,features_found,total_features,coverage
standard,2,anthropic,anthropic/claude-opus-4.8,8,15,0.5333333333333333
standard,2,openai,openai/gpt-5.4-mini,7,15,0.4666666666666667
standard,2,anthropic,anthropic/claude-haiku-4.5,8,15,0.5333333333333333
standard,2,openai,openai/gpt-5.4,8,15,0.5333333333333333
standard,2,openai,openai/gpt-5.5,10,15,0.6666666666666666
standard,2,google,google/gemini-3.1-flash-lite,5,15,0.3333333333333333
standard,2,google,google/gemini-3.1-pro-preview,5,15,0.3333333333333333
standard,2,google,google/gemini-3.5-flash,5,15,0.3333333333333333
standard,2,qwen,qwen/qwen3.6-35b-a3b,6,15,0.4
standard,2,anthropic,anthropic/claude-sonnet-4.6,11,15,0.7333333333333333
standard,2,qwen,qwen/qwen3.5-397b-a17b,6,15,0.4
standard,2,qwen,qwen/qwen3.5-9b,4,15,0.26666666666666666
standard,2,gold,gold,6,15,0.4
standard,4,anthropic,anthropic/claude-opus-4.8,8,10,0.8
standard,4,openai,openai/gpt-5.4-mini,6,10,0.6
standard,4,anthropic,anthropic/claude-sonnet-4.6,8,10,0.8
standard,4,google,google/gemini-3.1-pro-preview,5,10,0.5
standard,4,openai,openai/gpt-5.4,8,10,0.8
standard,4,openai,openai/gpt-5.5,9,10,0.9
standard,4,google,google/gemini-3.1-flash-lite,4,10,0.4
standard,4,google,google/gemini-3.5-flash,5,10,0.5
standard,4,qwen,qwen/qwen3.6-35b-a3b,5,10,0.5
standard,4,qwen,qwen/qwen3.5-397b-a17b,4,10,0.4
standard,4,anthropic,anthropic/claude-haiku-4.5,8,10,0.8
standard,4,gold,gold,6,10,0.6
standard,7,anthropic,anthropic/claude-opus-4.8,9,14,0.6428571428571429
standard,7,anthropic,anthropic/claude-haiku-4.5,9,14,0.6428571428571429
standard,7,openai,openai/gpt-5.4-mini,6,14,0.42857142857142855
standard,7,openai,openai/gpt-5.4,9,14,0.6428571428571429
standard,7,google,google/gemini-3.1-flash-lite,5,14,0.35714285714285715
standard,7,google,google/gemini-3.1-pro-preview,7,14,0.5
standard,7,google,google/gemini-3.5-flash,6,14,0.42857142857142855
standard,7,qwen,qwen/qwen3.6-35b-a3b,6,14,0.42857142857142855
standard,7,openai,openai/gpt-5.5,10,14,0.7142857142857143
standard,7,anthropic,anthropic/claude-sonnet-4.6,11,14,0.7857142857142857
standard,7,qwen,qwen/qwen3.5-9b,4,14,0.2857142857142857
standard,7,qwen,qwen/qwen3.5-397b-a17b,6,14,0.42857142857142855
standard,7,gold,gold,7,14,0.5
standard,1,google,google/gemini-3.1-pro-preview,4,12,0.3333333333333333
standard,1,openai,openai/gpt-5.4-mini,6,12,0.5
standard,1,google,google/gemini-3.1-flash-lite,6,12,0.5
standard,1,google,google/gemini-3.5-flash,5,12,0.4166666666666667
