concept,case,split_type,gold_engaged,named,missing,read_model,read_role,named_features,regex,read_cmd,coding,note
Conflicts of Interest,conversations:40,2v2,Y,Ope;Qwe,Ant;Gem,claude-opus-4.8,one_of_2_missing,Adequacy of conflict-of-interest disclosure/mitigation || Advisor compensation/commission conflict of interest || Misleading statement about advisor compensation/conflict alignment,conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc,"python read_case.py conversations:40 claude-opus-4.8 --feature ""conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc""",absent,"pretty confusingly written -- if conflict of interest was present, it was not made clear"
Conflicts of Interest,standard:76,2v2,Y,Ant;Ope,Gem;Qwe,gemini-3.1-pro-preview,one_of_2_missing,Advisor compensation/commission conflict of interest,conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc,"python read_case.py standard:76 gemini-3.1-pro-preview --feature ""conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc""",present,"""demonstrates excessive trading designed to enrich the advisor at the customer's expense, violating the obligation not to place the broker's interests ahead of the customer's"""
Conflicts of Interest,redflags:38,2v2,Y,Ant;Qwe,Ope;Gem,gpt-5.5,one_of_2_missing,Adequacy of conflict-of-interest disclosure/mitigation || Advisor's personal/emotional tie to the issuer,conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc,"python read_case.py redflags:38 gpt-5.5 --feature ""conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc""",borderline,"""The facts also raise conflict and supervision concerns because Liddell previously worked for the bank, claimed to have “inside knowledge,” and placed many other client households into similarly concentrated positions."" - potential conflict of interest due to advisor's prior employment is too similar to conflict of interest"
Conflicts of Interest,conversations:38,3v1_lone_miss,Y,Ope;Gem;Qwe,Ant,claude-opus-4.8,lone_misser,Advisor compensation/commission conflict of interest || Advisor prioritized own interests over client's best interest,conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc,"python read_case.py conversations:38 claude-opus-4.8 --feature ""conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc""",borderline,"USE: ""The frequency and the fact that each new fund is functionally equivalent to the prior one strongly suggests the switches serve the advisor's compensation rather than the client's interest"""
Conflicts of Interest,standard:65,3v1_lone_miss,Y,Ant;Ope;Gem,Qwe,qwen3.5-397b-a17b,lone_misser,Adequacy of conflict-of-interest disclosure/mitigation || Advisor compensation/commission conflict of interest || Firm-created incentive structure encouraging problematic conduct,conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc,"python read_case.py standard:65 qwen3.5-397b-a17b --feature ""conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc""",present,"""He also violated the Disclosure Obligation by failing to reveal material conflicts of interest, specifically the sales contest and enhanced compensation grid, which incentivized the recommendation over the client's welfare."""
Conflicts of Interest,standard:43,1v3_lone_name,Y,Ant,Ope;Gem;Qwe,claude-opus-4.8,lone_namer,Advisor compensation/commission conflict of interest,conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc,"python read_case.py standard:43 claude-opus-4.8 --feature ""conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc""",borderline,"feature is encompassed by a subset feature: Conflict of interest due to adviser's transition to dually registered firm and potential for recurring, asset-based compensation"
Conflicts of Interest,standard:47,1v3_lone_name,Y,Ant,Ope;Gem;Qwe,claude-opus-4.8,lone_namer,Advisor compensation/commission conflict of interest,conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc,"python read_case.py standard:47 claude-opus-4.8 --feature ""conflict|interest|self-deal|undisclos|compensat|commission|issuer|coerc""",borderline,"feature is encompassed by a subset feature: Potential conflict of interest due to high commissions associated with variable annuities"
Regulatory Requirements,standard:19,2v2,Y,Ope;Qwe,Ant;Gem,claude-opus-4.8,one_of_2_missing,Accredited investor / private-placement eligibility requirement || Applicability of governing suitability/best-interest regulatory framew,finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities,"python read_case.py standard:19 claude-opus-4.8 --feature ""finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities""",present,USE: mentions Reg BI multiple times
Regulatory Requirements,adversarial:99,2v2,Y,Ant;Ope,Gem;Qwe,gemini-3.1-pro-preview,one_of_2_missing,Applicability of Investment Advisers Act fiduciary duty to advisory ac || Applicability of governing suitability/best-interest regulatory framew || Applicable standard determined by timing of recommendation relative to,finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities,"python read_case.py adversarial:99 gemini-3.1-pro-preview --feature ""finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities""",present,"feature is encompassed by a subset feature: Regulation Best Interest (Reg BI) requires consideration of costs, risks, and rewards"
Regulatory Requirements,standard:22,2v2,Y,Ant;Gem,Ope;Qwe,gpt-5.5,one_of_2_missing,Applicability of DOL fiduciary duty / PTE 2020-02 to retirement accoun || Applicability of Investment Advisers Act fiduciary duty to advisory ac,finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities,"python read_case.py standard:22 gpt-5.5 --feature ""finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities""",,
Regulatory Requirements,adversarial:13,3v1_lone_miss,Y,Ant;Ope;Gem,Qwe,qwen3.5-397b-a17b,lone_misser,Applicability of governing suitability/best-interest regulatory framew || Applicable standard determined by timing of recommendation relative to,finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities,"python read_case.py adversarial:13 qwen3.5-397b-a17b --feature ""finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities""",,
Regulatory Requirements,adversarial:73,3v1_lone_miss,Y,Ant;Ope;Gem,Qwe,qwen3.5-397b-a17b,lone_misser,Applicability of annuity/product-replacement suitability regulations ( || Applicability of governing suitability/best-interest regulatory framew || Applicable standard determined by timing of recommendation relative to,finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities,"python read_case.py adversarial:73 qwen3.5-397b-a17b --feature ""finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities""",,
Regulatory Requirements,adversarial:94,1v3_lone_name,Y,Ant,Ope;Gem;Qwe,claude-opus-4.8,lone_namer,Applicability of annuity/product-replacement suitability regulations (,finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities,"python read_case.py adversarial:94 claude-opus-4.8 --feature ""finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities""",,
Regulatory Requirements,adversarial:8,1v3_lone_name,Y,Ope,Ant;Gem;Qwe,gpt-5.5,lone_namer,Applicability of governing suitability/best-interest regulatory framew,finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities,"python read_case.py adversarial:8 gpt-5.5 --feature ""finra|regulat|rule|guidance|requirement|registrat|margin|scrutiny|securities""",,
Advisor Conduct,adversarial:53,2v2,Y,Ope;Qwe,Ant;Gem,claude-opus-4.8,one_of_2_missing,Reasonable-basis requirement independent of stated risk tolerance,advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct,"python read_case.py adversarial:53 claude-opus-4.8 --feature ""advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct""",,
Advisor Conduct,standard:9,2v2,Y,Ant;Ope,Gem;Qwe,gemini-3.1-pro-preview,one_of_2_missing,Adequacy of advisor's due diligence and inquiry || Consideration of reasonable alternatives,advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct,"python read_case.py standard:9 gemini-3.1-pro-preview --feature ""advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct""",,
Advisor Conduct,standard:35,2v2,Y,Ant;Ope,Gem;Qwe,gemini-3.1-pro-preview,one_of_2_missing,Consideration of reasonable alternatives,advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct,"python read_case.py standard:35 gemini-3.1-pro-preview --feature ""advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct""",,
Advisor Conduct,standard:68,3v1_lone_miss,Y,Ant;Gem;Qwe,Ope,gpt-5.5,lone_misser,Advisor overrode/manipulated client's stated risk profile/KYC data || Advisor's misleading/promissory statements about returns || Reasonable basis / investment thesis supports recommendation,advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct,"python read_case.py standard:68 gpt-5.5 --feature ""advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct""",,
Advisor Conduct,standard:33,3v1_lone_miss,Y,Ant;Ope;Gem,Qwe,qwen3.5-397b-a17b,lone_misser,Consideration of reasonable alternatives || Reasonable basis / investment thesis supports recommendation,advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct,"python read_case.py standard:33 qwen3.5-397b-a17b --feature ""advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct""",,
Advisor Conduct,standard:25,1v3_lone_name,Y,Ant,Ope;Gem;Qwe,claude-opus-4.8,lone_namer,Adequacy of documented rationale/justification for the recommendation || Reasonable basis / investment thesis supports recommendation,advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct,"python read_case.py standard:25 claude-opus-4.8 --feature ""advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct""",,
Advisor Conduct,standard:6,1v3_lone_name,Y,Ope,Ant;Gem;Qwe,gpt-5.5,lone_namer,Reasonable basis / investment thesis supports recommendation,advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct,"python read_case.py standard:6 gpt-5.5 --feature ""advisor|churn|excessive|trading|misrepresent|mislead|switch|execution|conduct""",,
Senior and Vulnerable Investors,standard:19,2v2,Y,Ant;Ope,Gem;Qwe,gemini-3.1-pro-preview,one_of_2_missing,FINRA senior/vulnerable investor heightened scrutiny rules,elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity,"python read_case.py standard:19 gemini-3.1-pro-preview --feature ""elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity""",,
Senior and Vulnerable Investors,redflags:7,2v2,Y,Ant;Ope,Gem;Qwe,gemini-3.1-pro-preview,one_of_2_missing,Elder/vulnerable-adult financial exploitation concern,elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity,"python read_case.py redflags:7 gemini-3.1-pro-preview --feature ""elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity""",,
Senior and Vulnerable Investors,borderline:90,2v2,Y,Ope;Qwe,Ant;Gem,claude-opus-4.8,one_of_2_missing,Client vulnerability/diminished capacity requiring heightened care,elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity,"python read_case.py borderline:90 claude-opus-4.8 --feature ""elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity""",,
Senior and Vulnerable Investors,redflags:30,3v1_lone_miss,Y,Ant;Ope;Qwe,Gem,gemini-3.1-pro-preview,lone_misser,Client vulnerability/diminished capacity requiring heightened care || Elder/vulnerable-adult financial exploitation concern,elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity,"python read_case.py redflags:30 gemini-3.1-pro-preview --feature ""elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity""",,
Senior and Vulnerable Investors,borderline:27,3v1_lone_miss,Y,Ant;Gem;Qwe,Ope,gpt-5.5,lone_misser,Client vulnerability/diminished capacity requiring heightened care,elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity,"python read_case.py borderline:27 gpt-5.5 --feature ""elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity""",,
Senior and Vulnerable Investors,redflags:3,1v3_lone_name,Y,Ant,Ope;Gem;Qwe,claude-opus-4.8,lone_namer,FINRA senior/vulnerable investor heightened scrutiny rules,elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity,"python read_case.py redflags:3 claude-opus-4.8 --feature ""elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity""",,
Senior and Vulnerable Investors,redflags:15,1v3_lone_name,Y,Gem,Ant;Ope;Qwe,gemini-3.1-pro-preview,lone_namer,Elder/vulnerable-adult financial exploitation concern,elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity,"python read_case.py redflags:15 gemini-3.1-pro-preview --feature ""elder|vulnerab|trusted|incapacit|exploit|diminish|heighten|capacity""",,
