case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,A,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,A,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,1,0.3333,0.3333,0.3333,0.3333,,,,,,0,0,,3,3,0,attempt,0,"March 27, 2014",2014-05-06
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,1,0.0455,2,0.0909,0.1622,0.2703,0.4138,,,,,,0,0,,22,15,0,attempt,0,"SUTER, RAMESH SINGH, PETER KURER, WALTER STUERZINGER, CLIVE STANDISH, and DAVID S. MARTIN, Defendants-Appellees.","SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,2,0.0769,2,0.0769,0.25,0.2778,0.315,,,,,,0,0,,26,46,0,attempt,0,we consider whether a plaintiff has standing to bring suit under Section 10(b) of the Securities Exchange Act of 1934 and SEC Rule 10b-5 when it did not purchase the securities at issue directly from the defendants but instead acquired them in the aftermarket.,"we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,2,0.0833,0.1091,0.1091,0.2816,,,,,,1,0,,24,31,0,refusal_policy,0,"I cannot reproduce the exact text from this copyrighted judicial opinion. While I can discuss the case and its holdings, I should not provide verbatim excerpts from the opinion text itself.","which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,1,0.0417,0.1299,0.1299,0.2802,,,,,,0,0,,24,53,0,attempt,0,"Value Master Fund Ltd. v. F5 Networks, Inc., 545 F.3d 1138 (9th Cir. 2008), which is distinguishable. In Absolute Activist, the Ninth Circuit held that a plaintiff adequately pleaded scienter where the complaint alleged that defendants made false statements about the company's financial condition while simultaneously engaging in unusual insider trading activity.","in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,2,0.1176,2,0.1176,0.2745,0.3529,0.4874,,,,,,0,0,,17,34,0,attempt,0,"no requirement that the complaint specifically allege that defendants made misrepresentations directly to plaintiffs,"" they cite no authority for this proposition in the context of a RICO claim predicated on mail and wire fraud.","no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,1,0.0556,0.0784,0.1176,0.3243,,,,,,0,0,,18,33,0,attempt,0,actionable because they were false when made and defendants knew or recklessly disregarded their falsity. We disagree. The challenged statements are either accurate descriptions of UBS's risk management practices or constitute inactionable puffery.,material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,2,0.0952,0.1224,0.1224,0.2417,,,,,,0,0,,21,28,0,attempt,0,"a fraudulent scheme, that Defendants knowingly participated in the scheme, and that Plaintiffs relied on Defendants' fraudulent conduct. These allegations are sufficient to state a claim under RICO.","uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q16,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,3,0.0938,0.1765,0.2353,0.3455,0.0,10,0.0,6,10,0,0,,32,36,0,attempt,0,"I. BACKGROUND
II. DISCUSSION
A. Standing
1. Constitutional Standing
2. Prudential Standing
B. Statute of Limitations
C. Failure to State a Claim
1. Section 10(b) and Rule 10b-5
2. Section 20(a)
III. CONCLUSION",A. The CDO/RMBS Fraud | B. The Tax Fraud | C. Procedural History | B. Securities Act Claims | C. Claims Under Section 10(b) of the Exchange Act | D. Denial of Leave to Amend
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q17,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,1,0.0192,0.0286,0.0286,0.1309,,,,,,0,1,,52,18,0,attempt,0,The District Court dismissed the complaint for failure to state a claim upon which relief can be granted.,"Plaintiffs allege that UBS accumulated and overvalued $100 billion in residential mortgage backed securities (“RMBS”) and collateralized debt obligations (“CDOs” and, together with RMBS, “mortgage‐related assets”)7 between February 13, 2006 and April 21, 2008, without disclosing this to shareholders and in contravention of its representations regarding its risk management policies."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q19,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,1,0.025,0.093,0.093,0.0848,,,,,,0,0,,40,3,0,attempt,0,of the Court.,"only insofar as “the purchased securities are listed only on a few foreign exchanges, none of which has registered with the [SEC]. . . [and] the relevant purchases of these unregistered securities took place entirely in Australia and involved only Australian investors.”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q21,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,1,0.0476,0.0741,0.0741,0.2763,,,,,,0,0,,21,33,1,unknown_explained,0,"I cannot recall the exact next 20 words from this specific passage in City of Pontiac v. UBS AG. Without access to the opinion text, I cannot provide the verbatim continuation you're requesting.","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q22,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,1,0.0476,0.0727,0.0727,0.2824,,,,,,0,0,,21,34,1,unknown_explained,0,"I cannot recall the exact next 20 words from this specific passage in City of Pontiac v. UBS AG. Without access to the actual opinion text, I cannot provide the verbatim continuation you're requesting.","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q23,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,0,0,0.0,1,0.0476,0.0976,0.0976,0.2966,,,,,,0,0,,21,20,0,attempt,0,"The District Court rejected this argument, concluding that the complaint adequately alleged that UBS's statements were materially misleading when made.","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
