case_id,qid,work,arm,date_filed,jurisdiction,model,condition,trunc_n,n_prefix_tokens,n_suffix_tokens,logp_sum,logp_per_token,p_geomean,min_token_logprob,n_tokens_below_1e3,first_break_index,align_warning
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-70B,raw,10,13,10,-26.862332,-2.686233,0.06813711,-5.714931,0,7,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-70B,raw,25,13,11,-27.524411,-2.502219,0.08190304,-5.714931,0,7,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-70B,raw,50,13,11,-27.524411,-2.502219,0.08190304,-5.714931,0,7,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-70B,raw,full,13,11,-27.524411,-2.502219,0.08190304,-5.714931,0,7,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-70B,raw,10,13,10,-48.142567,-4.814257,0.00811325,-10.019294,2,2,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-70B,raw,25,13,11,-49.043238,-4.458476,0.01158,-10.019294,2,2,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-70B,raw,50,13,11,-49.043238,-4.458476,0.01158,-10.019294,2,2,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-70B,raw,full,13,11,-49.043238,-4.458476,0.01158,-10.019294,2,2,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-70B,raw,10,13,10,-17.668694,-1.766869,0.17086707,-5.198566,0,2,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-70B,raw,25,13,11,-18.27138,-1.661035,0.18994237,-5.198566,0,2,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-70B,raw,50,13,11,-18.27138,-1.661035,0.18994237,-5.198566,0,2,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-70B,raw,full,13,11,-18.27138,-1.661035,0.18994237,-5.198566,0,2,
cl_2026_dcd_in_re_non_party_deposition_subpoena,Q08,cl_2026_dcd_in_re_non_party_deposition_subpoena,post_cutoff_control,2026-07-31,federal,meta-llama/Llama-3.1-70B,raw,10,13,10,-17.671405,-1.767141,0.17082075,-6.175445,0,9,
cl_2026_dcd_in_re_non_party_deposition_subpoena,Q08,cl_2026_dcd_in_re_non_party_deposition_subpoena,post_cutoff_control,2026-07-31,federal,meta-llama/Llama-3.1-70B,raw,25,13,11,-18.461932,-1.678357,0.18668036,-6.175445,0,9,
cl_2026_dcd_in_re_non_party_deposition_subpoena,Q08,cl_2026_dcd_in_re_non_party_deposition_subpoena,post_cutoff_control,2026-07-31,federal,meta-llama/Llama-3.1-70B,raw,50,13,11,-18.461932,-1.678357,0.18668036,-6.175445,0,9,
cl_2026_dcd_in_re_non_party_deposition_subpoena,Q08,cl_2026_dcd_in_re_non_party_deposition_subpoena,post_cutoff_control,2026-07-31,federal,meta-llama/Llama-3.1-70B,raw,full,13,11,-18.461932,-1.678357,0.18668036,-6.175445,0,9,
cl_2026_ca9_pover_v_the_capital_group_companies_inc,Q08,cl_2026_ca9_pover_v_the_capital_group_companies_inc,post_cutoff_control,2026-07-30,federal,meta-llama/Llama-3.1-70B,raw,10,7,10,-16.801966,-1.680197,0.18633734,-4.716843,0,0,
cl_2026_ca9_pover_v_the_capital_group_companies_inc,Q08,cl_2026_ca9_pover_v_the_capital_group_companies_inc,post_cutoff_control,2026-07-30,federal,meta-llama/Llama-3.1-70B,raw,25,7,17,-23.200143,-1.364714,0.25545365,-4.716843,0,0,
cl_2026_ca9_pover_v_the_capital_group_companies_inc,Q08,cl_2026_ca9_pover_v_the_capital_group_companies_inc,post_cutoff_control,2026-07-30,federal,meta-llama/Llama-3.1-70B,raw,50,7,17,-23.200143,-1.364714,0.25545365,-4.716843,0,0,
