model,case_id,entropy
google/gemini-3.1-pro-preview,1,1.2876716260045196
openai/gpt-5.4-mini,1,1.7524236752648439
google/gemini-3.1-flash-lite,1,1.6137942391528548
google/gemini-3.5-flash,1,1.5741030017371853
anthropic/claude-opus-4.8,1,2.0307870622708544
openai/gpt-5.4,1,1.846358407762756
openai/gpt-5.5,1,2.1956090288374273
anthropic/claude-haiku-4.5,1,2.0864548521840316
qwen/qwen3.6-35b-a3b,1,1.3350851650920204
anthropic/claude-opus-4.8,2,1.9099845797640123
openai/gpt-5.4-mini,2,1.8421173838050464
qwen/qwen3.5-9b,1,1.4305622903362423
anthropic/claude-haiku-4.5,2,1.9505812979415762
openai/gpt-5.4,2,1.8914365341703996
openai/gpt-5.5,2,2.203930430943805
google/gemini-3.1-flash-lite,2,1.5444795210968603
google/gemini-3.1-pro-preview,2,1.4305622903362423
google/gemini-3.5-flash,2,1.5444795210968603
anthropic/claude-sonnet-4.6,1,2.17407624097279
anthropic/claude-opus-4.8,3,1.9924651602443575
qwen/qwen3.6-35b-a3b,2,1.735433771585304
anthropic/claude-haiku-4.5,3,2.109297801075883
anthropic/claude-sonnet-4.6,2,2.177824981128317
openai/gpt-5.4-mini,3,1.501327210229093
google/gemini-3.1-pro-preview,3,1.392321254757429
google/gemini-3.1-flash-lite,3,1.5545472778722047
openai/gpt-5.5,3,2.17538103332825
qwen/qwen3.5-397b-a17b,2,1.6695801269814072
qwen/qwen3.5-397b-a17b,1,1.5571130980576458
google/gemini-3.5-flash,3,1.5148560404565352
qwen/qwen3.5-9b,2,1.2798542258336676
openai/gpt-5.4,3,2.050584450062967
qwen/qwen3.6-35b-a3b,3,1.5444795210968603
anthropic/claude-opus-4.8,4,1.9635324210982177
anthropic/claude-sonnet-4.6,3,2.4239116212434513
openai/gpt-5.4-mini,4,1.7339826936771334
anthropic/claude-sonnet-4.6,4,2.054219794338649
google/gemini-3.1-pro-preview,4,1.5841707585125298
openai/gpt-5.4,4,2.0209763764130475
openai/gpt-5.5,4,2.0523151155980983
google/gemini-3.1-flash-lite,4,1.4964159349401391
google/gemini-3.5-flash,4,1.5444795210968603
qwen/qwen3.5-397b-a17b,3,1.7921149126805132
qwen/qwen3.6-35b-a3b,4,1.5444795210968603
anthropic/claude-opus-4.8,5,1.8544648461065982
openai/gpt-5.4-mini,5,1.6796478837567517
google/gemini-3.1-flash-lite,5,1.5260394155804642
google/gemini-3.1-pro-preview,5,1.5614694247764
google/gemini-3.5-flash,5,1.7524236752648439
qwen/qwen3.5-397b-a17b,4,1.3451529218673648
openai/gpt-5.5,5,1.9874832065782408
anthropic/claude-sonnet-4.6,5,2.231897317294087
openai/gpt-5.4,5,1.8177325199458174
anthropic/claude-opus-4.8,6,1.7675979095490955
qwen/qwen3.5-9b,5,1.6796478837567517
qwen/qwen3.6-35b-a3b,5,1.35778649882815
openai/gpt-5.4-mini,6,1.688473328741054
google/gemini-3.1-pro-preview,6,1.3195454632493369
anthropic/claude-haiku-4.5,6,2.1806401100141164
google/gemini-3.1-flash-lite,6,1.3350851650920204
google/gemini-3.5-flash,6,1.5444795210968603
openai/gpt-5.5,6,2.051164742069776
anthropic/claude-sonnet-4.6,6,2.4666306248234586
qwen/qwen3.6-35b-a3b,6,1.4702535277519118
openai/gpt-5.4,6,1.7890340932166144
qwen/qwen3.5-397b-a17b,6,1.5444795210968603
anthropic/claude-opus-4.8,7,2.18098466535488
anthropic/claude-haiku-4.5,7,2.122792401289383
openai/gpt-5.4-mini,7,1.7650572522256291
qwen/qwen3.5-9b,6,1.2798542258336676
openai/gpt-5.4,7,2.029296634277789
google/gemini-3.1-flash-lite,7,1.5148560404565352
google/gemini-3.1-pro-preview,7,1.7751250090009736
google/gemini-3.5-flash,7,1.7524236752648439
qwen/qwen3.6-35b-a3b,7,1.7524236752648439
qwen/qwen3.5-397b-a17b,5,1.4737146012040094
openai/gpt-5.5,7,2.4237692569278977
anthropic/claude-opus-4.8,8,2.07557131272376
anthropic/claude-sonnet-4.6,7,2.3589638753650313
google/gemini-3.1-pro-preview,8,1.5545472778722047
openai/gpt-5.4-mini,8,1.735433771585304
google/gemini-3.1-flash-lite,8,1.5444795210968603
openai/gpt-5.4,8,1.8561219213976154
google/gemini-3.5-flash,8,1.5444795210968603
anthropic/claude-sonnet-4.6,8,2.084472396953204
qwen/qwen3.6-35b-a3b,8,1.735433771585304
openai/gpt-5.5,8,2.064805441081963
anthropic/claude-opus-4.8,9,1.9323581807514467
openai/gpt-5.4-mini,9,2.1011094778028965
openai/gpt-5.4,9,1.938426692478447
openai/gpt-5.5,9,2.259142423766786
qwen/qwen3.5-397b-a17b,8,1.4702535277519118
google/gemini-3.1-flash-lite,9,1.5614694247764
google/gemini-3.1-pro-preview,9,1.4702535277519118
google/gemini-3.5-flash,9,1.3350851650920204
qwen/qwen3.5-9b,7,1.2353468116280648
qwen/qwen3.6-35b-a3b,9,1.5741030017371853
anthropic/claude-sonnet-4.6,9,2.1659565691723826
anthropic/claude-opus-4.8,10,2.0092643354578055
qwen/qwen3.5-397b-a17b,7,1.4956157801725032
qwen/qwen3.5-9b,9,1.7078211625602202
openai/gpt-5.4-mini,10,1.3350851650920204
google/gemini-3.1-flash-lite,10,1.5148560404565352
google/gemini-3.1-pro-preview,10,1.7524236752648439
google/gemini-3.5-flash,10,1.705810290944979
qwen/qwen3.5-9b,8,1.6399566463410822
openai/gpt-5.5,10,2.0341341737340364
openai/gpt-5.4,10,2.008573265009023
qwen/qwen3.6-35b-a3b,10,1.735433771585304
qwen/qwen3.5-397b-a17b,9,1.4737146012040094
anthropic/claude-opus-4.8,11,1.8386814653962034
anthropic/claude-haiku-4.5,11,1.9981003462578122
openai/gpt-5.4-mini,11,1.8463095085705248
qwen/qwen3.5-397b-a17b,10,1.5545472778722047
google/gemini-3.1-flash-lite,11,1.5444795210968603
openai/gpt-5.5,11,2.011430575879358
