case_id,model,model_cutoff,arm,date_filed,caption,court_level,prediction,refused,finish,error,temp_dropped,latency_s,in_tokens,out_tokens,served_by,ts
cl_2017_pa_villani_v._seibert_appeal_of_seiber,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2017-04-26,Villani v. Seibert Appeal of: Seibert,state,"**1. THE OUTCOME**
Affirmed. Villani (the mother) prevailed.

**2. THE REASONING**
The court addressed how to weigh the statutory factors for a contested child custody relocation under 23 Pa.C.S. § 5337(h). The father (Seibert) argued that the court must give ""controlling weight"" to the negative impact the move would have on the child's relationship with the non-relocating parent.

The Pennsylvania Supreme Court rejected this argument. It held that the statute requires a ""fact-intensive"" and individualized assessment of all ten statutory factors, with no single factor being presumptively controlling or entitled to heightened weight. The court's paramount concern is the best interests of the child, which is determined by a holistic consideration of all the factors, not by elevating any one factor above the others. The trial court had properly considered all ten factors, and its decision to grant the mother's relocation request was a proper exercise of its discretion.",0,stop,,0,11.88,222,1120,Google,2026-08-07T10:03:17
cl_2017_iowa_amended_september_5_2017_state_of_i,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2017-06-23,"Amended September 5, 2017 State of Iowa v. Eddie Tipton",state,"1.  **THE OUTCOME:** Affirmed in part, reversed in part, and remanded. The defendant, Eddie Tipton, prevailed on the two most serious counts (fraudulent acts), while the State of Iowa prevailed on the count of computer tampering.

2.  **THE REASONING:** The court's decision turned primarily on the statute of limitations. The court reversed Tipton's convictions for fraudulent acts related to the 2010 Hot Lotto drawing because the prosecution was not initiated within the three-year statute of limitations. The court held that the crime was complete when the fraudulent drawing occurred in December 2010, not when attempts were made to claim the prize money in 2011. The charges were filed in January 2015, which was too late. The court rejected the State's argument for a ""discovery rule"" or an exception for fraudulent concealment, finding that the Iowa legislature had not created such exceptions for the criminal statute of limitations. The conviction for computer tampering was affirmed because there was sufficient evidence that Tipton had tampered with the lottery's computers in Polk County, and that charge was not barred by the statute of limitations.",0,stop,,0,15.32,241,1333,Google,2026-08-07T10:03:20
cl_2014_ca9_john_loos_v._immersion_corporation,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2014-09-11,John Loos v. Immersion Corporation,circuit,"1.  **THE OUTCOME:** Reversed and remanded. The plaintiff, John Loos, prevailed.

2.  **THE REASONING:** The court addressed when the two-year statute of limitations for a private securities fraud claim begins to run. The court held that the limitations period does not begin to run upon mere ""inquiry notice"" (i.e., when ""storm warnings"" appear that would prompt a reasonable investor to investigate). Instead, following the Supreme Court's decision in *Merck & Co. v. Reynolds*, the court held that the period begins only when a plaintiff discovers, or a reasonably diligent plaintiff would have discovered, the facts constituting the violation, including facts giving rise to a strong inference of *scienter*. The company's initial announcement of an internal investigation was a storm warning, but it did not, as a matter of law, provide the facts of the fraud, particularly scienter. Therefore, the district court erred in dismissing the complaint as untimely.",0,stop,,0,15.71,232,1528,Google,2026-08-07T10:03:21
cl_2014_ca2_sec_v._contorinis,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2014-02-18,SEC v. Contorinis,circuit,"**1. THE OUTCOME**
Affirmed. The SEC prevailed.

**2. THE REASONING**
The court addressed the question of how to calculate the ""ill-gotten gains"" for disgorgement when an insider trader executes trades for a fund he manages. The court held that the trader could be ordered to disgorge the entire profit realized by the fund from the illegal trades, not just the smaller portion he personally received as a performance bonus. The court's rationale was that as the portfolio manager with sole authority over the trades, Contorinis caused the entire illegal profit to be generated. The full profit was therefore causally linked to his wrongdoing. The fact that the profits ultimately flowed to third parties (the fund's investors) did not sever his responsibility for the full amount of the illicit gains he generated through his fraudulent conduct.",0,stop,,0,17.6,218,1325,Google,2026-08-07T10:03:22
cl_2015_ca5_state_of_texas_v._usa,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2015-11-25,State of Texas v. USA,circuit,"1.  **THE OUTCOME:** Affirmed. The court upheld the district court's preliminary injunction, blocking the federal government's implementation of the Deferred Action for Parents of Americans and Lawful Permanent Residents (DAPA) program. The State of Texas and the other plaintiff states prevailed.

2.  **THE REASONING:** The court's decision turned on whether the states were likely to succeed on their claim that DAPA was unlawful. The court held that they were, primarily for two reasons:
    *   **Procedural Invalidity (APA):** The court concluded that DAPA was a substantive rule that required notice-and-comment rulemaking under the Administrative Procedure Act (APA). The government argued DAPA was merely a permissible exercise of prosecutorial discretion, which is exempt from the APA. The court disagreed, finding that DAPA was not just a decision not to enforce the law, but an affirmative program that conferred substantive benefits (like work authorization and other federal benefits) on a class of over four million individuals. Because it was a substantive rule and was issued without notice and comment, it was procedurally invalid.
    *   **Substantive Invalidity (INA):** The court also held that DAPA was likely ""manifestly contrary to"" the Immigration and Nationality Act (INA). The INA, as passed by Congress, specifies which categories of aliens are lawfully present and eligible for benefits. The court reasoned that DAPA went beyond the executive's delegated authority by creating a new, large-scale legislative scheme of its own, effectively rewriting the law, a power reserved for Congress.",0,stop,,0,17.84,230,1673,Google,2026-08-07T10:03:23
cl_2015_ca9_northstar_financial_advisors_v._sch,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2015-04-28,Northstar Financial Advisors v. Schwab Investments,circuit,"1.  **THE OUTCOME:** Reversed and remanded. The plaintiff-appellants (Northstar) prevailed.

2.  **THE REASONING:** The court held that the investors' claims were direct, not derivative, and therefore were not barred by the plaintiffs' failure to make a pre-suit demand on the fund's board of trustees. The court, applying Massachusetts law (as the fund was a Massachusetts business trust), reasoned that the relationship between a mutual fund and its shareholders is contractual in nature, with the prospectus and registration statement forming the terms of the contract. When the fund's fiduciaries allegedly deviated from the fundamental investment policies described in those documents, they breached a duty owed directly to the shareholders, not just a duty to the fund as a corporate entity. This breach of the investors' ""bargain"" constituted a direct injury, allowing them to sue on their own behalf.",0,stop,,0,18.08,232,1666,Google,2026-08-07T10:03:23
cl_2014_ca2_city_of_pontiac_v._ubs_ag,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,circuit,"**1. THE OUTCOME**
Affirmed. The defendants, including UBS AG, prevailed.

**2. THE REASONING**
The court affirmed the district court's dismissal of the securities fraud complaint for two principal reasons:

First, applying the Supreme Court's decision in *Morrison v. National Australia Bank*, the court held that Section 10(b) of the Securities Exchange Act does not apply extraterritorially. Therefore, claims brought by plaintiffs who purchased UBS shares on foreign exchanges were properly dismissed because the transactions were not domestic. The fact that UBS securities were also cross-listed on the New York Stock Exchange did not transform the plaintiffs' foreign purchases into domestic transactions.

Second, for the remaining claims involving domestic transactions, the court held that the complaint failed to meet the heightened pleading standards for scienter (fraudulent intent) under the Private Securities Litigation Reform Act (PSLRA). The complaint did not allege facts giving rise to a ""strong inference"" that the defendants knowingly or recklessly made false or misleading statements. The court concluded that the allegations amounted to impermissible ""fraud by hindsight,"" reasoning that the company's massive losses and poor risk management did not, by themselves, demonstrate that the defendants acted with fraudulent intent at the time they made the challenged optimistic statements.",0,stop,,0,18.21,219,1677,Google,2026-08-07T10:03:23
cl_2015_ca9_steve_harris_v._amgen_inc.,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2015-05-26,"Steve Harris v. Amgen, Inc.",circuit,"**OUTCOME:** Affirmed. The Ninth Circuit, sitting en banc, affirmed the district court's dismissal of the plaintiffs' securities fraud complaint. Amgen, the defendant, prevailed.

**REASONING:** The court held that the plaintiffs failed to plead with particularity that Amgen's challenged statements were false or misleading, as required by the Private Securities Litigation Reform Act (PSLRA).

First, regarding statements about the safety of Amgen's drugs, the court found they were not misleading because Amgen had simultaneously disclosed the underlying data from clinical trials, including the adverse events. The court reasoned that when a company accurately discloses the underlying facts and data, its own optimistic characterization of that data is not an actionable misstatement.

Second, regarding statements about Amgen's marketing practices, the court concluded that the plaintiffs' allegations of illegal off-label promotion were too general and failed to show how they rendered Amgen's public statements about its marketing ""successful"" or ""appropriate"" false or misleading. The complaint lacked the specific factual allegations necessary to connect the alleged illegal conduct to the challenged statements.",0,stop,,0,18.71,233,1756,Google,2026-08-07T10:03:24
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2018-02-23,Jaclyn Santomenno v. Transamerica Life Ins. Co.,circuit,"1.  **THE OUTCOME:** Affirmed. The defendant, Transamerica Life Insurance Co., prevailed.

2.  **THE REASONING:** The court held that a non-fiduciary service provider, like Transamerica, cannot be held liable under ERISA § 502(a)(3) for receiving allegedly excessive fees from a plan. The central legal question was whether receiving compensation under a service agreement constituted ""participation"" in a prohibited transaction under ERISA § 406(a). The court reasoned that the duty to ensure that a service provider's fees are reasonable lies with the plan's fiduciaries, not with the non-fiduciary service provider itself. Merely receiving its contractual compensation, even if later alleged to be excessive, does not make the service provider a participant in a prohibited transaction for which it can be sued. The court distinguished the Supreme Court's decision in *Harris Trust*, concluding that liability for non-fiduciaries is limited to situations where they are on the other side of a transaction with a fiduciary, not when they are simply paid for services under a contract approved by the fiduciary.",0,stop,,0,15.84,238,1568,Google,2026-08-07T10:03:33
cl_2018_ca9_united_states_v._jonathan_turner,google/gemini-2.5-pro,2025-01-31,pre_cutoff,2018-07-27,United States v. Jonathan Turner,circuit,"**1. THE OUTCOME:** Vacated and Remanded. The defendant, Jonathan Turner, prevailed.

**2. THE REASONING:** The court's decision turned on an intervening Supreme Court case that changed the controlling law. The district court had denied Turner's motion to suppress evidence found in a rental car he was driving because, under then-existing Ninth Circuit precedent, an unauthorized driver of a rental car lacked a reasonable expectation of privacy and thus had no standing to challenge the search.

While Turner's appeal was pending, the Supreme Court decided *Byrd v. United States*, which abrogated that precedent. *Byrd* held that the mere fact that a driver is not listed on a rental agreement does not, by itself, defeat their reasonable expectation of privacy. Because the district court had relied on a legal rule that was no longer valid, the Ninth Circuit vacated the conviction and remanded the case for the district court to reconsider the suppression motion under the new standard announced in *Byrd*.",0,stop,,0,15.04,230,1466,Google,2026-08-07T10:03:35
