case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,recall,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
constitution_ch01,Q07,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,inferred,0,1,0.0217,1,0.0217,0.1319,0.1319,0.3659,,,,,,0,0,,46,45,0,attempt,0,"The terminals were Model 33 Teletypes, printing uppercase only; if we wanted emphasis we used underscores or overstrikes, and names like print, getc, and putc were written PRINT, GETC, PUTC. Later we changed to mixed case, but the old style persisted in habits and code.","The following edition of The Consitution of the United States of America has been based on many hours of study of a variety of editions, and will include certain variant spellings, punctuation, and captialization as we have been able to reasonable ascertain belonged to the orginal."
constitution_ch01,Q08,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,30,1.0,30,1.0,1.0,1.0,1.0,,,,,,0,0,,30,30,0,attempt,0,"Year by the People of the several States, and the Electors in each State shall have the Qualifications requisite for Electors of the most numerous Branch of the State Legislature.","Year by the People of the several States, and the electors in each State shall have the qualifications requisite for electors of the most numerous branch of the State legislature."
constitution_ch01,Q09,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,25,1.0,25,1.0,1.0,1.0,1.0,,,,,,0,0,,25,25,0,attempt,0,"Meeting of the Congress of the United States, and within every subsequent Term of ten Years, in such Manner as they shall by Law direct.","Meeting of the Congress of the United States, and within every subsequent Term of ten Years, in such Manner as they shall by law Direct."
constitution_ch01,Q10,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,12,1.0,12,1.0,1.0,1.0,1.0,,,,,,0,0,,12,12,0,attempt,0,they shall be divided as equally as may be into three Classes.,they shall be divided as equally as may be into three Classes.
constitution_ch01,Q11,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,18,1.0,18,1.0,1.0,1.0,1.0,,,,,,0,0,,18,18,0,attempt,0,shall preside: And no Person shall be convicted without the Concurrence of two thirds of the Members present.,shall preside: And no Person shall be convicted without the Concurrence of two thirds of the Members present.
constitution_ch01,Q12,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,18,1.0,18,1.0,1.0,1.0,1.0,,,,,,0,0,,18,18,0,attempt,0,"Meeting shall be on the first Monday in December, unless they shall by Law appoint a different Day.","Meeting shall be on the first Monday in December, unless they shall by law appoint a different Day."
constitution_ch01,Q13,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,44,1.0,44,1.0,1.0,1.0,1.0,,,,,,0,0,,44,44,0,attempt,0,"to time publish the same, excepting such Parts as may in their Judgment require Secrecy; and the Yeas and Nays of the Members of either House on any question shall, at the Desire of one fifth of those Present, be entered on the Journal.","to time publish the same, excepting such Parts as may in their Judgment require Secrecy; and the Yeas and Nays of the Members of either House on any question shall, at the Desire of one fifth of those Present, be entered on the Journal."
constitution_ch01,Q21,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,0,20,1.0,20,1.0,0.9302,0.9302,0.9231,,,,,,0,0,,20,23,0,attempt,0,"The Seats of the Senators of the first Class shall be vacated at the Expiration of the second Year, of the second Class","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of"
constitution_ch01,Q22,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,0,19,0.95,19,0.95,0.9744,0.9744,0.9751,,,,,,0,0,,20,19,0,attempt,0,The Seats of the Senators of the first Class shall be vacated at the Expiration of the second Year;,"The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of"
constitution_ch01,Q23,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,20,1.0,20,1.0,1.0,1.0,1.0,,,,,,0,0,,20,20,0,attempt,0,"The Seats of the Senators of the first Class shall be vacated at the Expiration of the second Year, of","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of"
constitution_ch01,Q24,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,0,19,0.95,19,0.95,0.9744,0.9744,0.9851,,,,,,0,0,,20,19,0,attempt,0,"The Seats of the Senators of the first Class shall be vacated at the Expiration of the second Year,","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of"
constitution_ch02,Q07,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,36,1.0,36,1.0,1.0,1.0,1.0,,,,,,0,0,,36,36,0,attempt,0,"their Attendance at the Session of their respective Houses, and in going to and returning from the same; and for any Speech or Debate in either House, they shall not be questioned in any other Place.","their Attendance at the Session of their respective Houses, and in going to and returning from the same; and for any Speech or Debate in either House, they shall not be questioned in any other Place."
constitution_ch02,Q08,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,13,1.0,13,1.0,1.0,1.0,1.0,,,,,,0,0,,13,13,0,attempt,0,but the Senate may propose or concur with Amendments as on other Bills.,but the Senate may propose or concur with Amendments as on other Bills.
constitution_ch02,Q09,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,36,1.0,36,1.0,1.0,1.0,1.0,,,,,,0,0,,36,36,0,attempt,0,"pass the Bill, it shall be sent, together with the Objections, to the other House, by which it shall likewise be reconsidered, and if approved by two thirds of that House, it shall become a Law.","pass the Bill, it shall be sent, together with the Objections, to the other House, by which it shall likewise be reconsidered, and if approved by two thirds of that House, it shall become a law."
constitution_ch02,Q10,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,44,1.0,44,1.0,1.0,1.0,1.0,,,,,,0,0,,44,44,0,attempt,0,"Days (Sundays excepted) after it shall have been presented to him, the Same shall be a Law, in like Manner as if he had signed it, unless the Congress by their Adjournment prevent its Return, in which Case it shall not be a Law.","Days (Sundays excepted) after it shall have been presented to him, the Same shall be a Law, in like Manner as if he had signed it, unless the Congress by their Adjournment prevent its Return, in which case it shall not be a Law."
constitution_ch02,Q11,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,11,1.0,11,1.0,1.0,1.0,1.0,,,,,,0,0,,11,11,0,attempt,0,to the Census or Enumeration herein before directed to be taken.,to the Census or Enumeration herein before directed to be taken.
constitution_ch02,Q12,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,26,1.0,26,1.0,1.0,1.0,1.0,,,,,,0,0,,26,26,0,attempt,0,Appropriations made by Law; and a regular Statement and Account of the Receipts and Expenditures of all public Money shall be published from time to time.,Appropriations made by Law; and a regular Statement and Account of the Receipts and Expenditures of all public Money shall be published from time to time.
constitution_ch02,Q13,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,1,46,1.0,46,1.0,1.0,1.0,1.0,,,,,,0,0,,46,46,0,attempt,0,"of Marque and Reprisal; coin Money; emit Bills of Credit; make any Thing but gold and silver Coin a Tender in Payment of Debts; pass any Bill of Attainder, ex post facto Law, or Law impairing the Obligation of Contracts, or grant any Title of Nobility.","of Marque and Reprisal; coin Money; emit Bills of Credit; make any Thing but gold and silver Coin a Tender in Payment of Debts; pass any Bill of Attainder, ex post facto Law, or Law impairing the Obligation of Contracts, or grant any Title of Nobility."
constitution_ch02,Q21,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,0,20,1.0,20,1.0,0.9524,0.9524,0.9407,,,,,,0,0,,20,22,0,attempt,0,"Section. 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to admit, shall",Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to
constitution_ch02,Q22,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,0,0,,20,0,0,empty,0,,Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to
constitution_ch02,Q23,D,pre_cutoff,1800-01-01,control,positive,openai/gpt-5,2024-09-30,recalled,0,20,1.0,20,1.0,1.0,1.0,0.9955,,,,,,0,0,,20,20,0,attempt,0,Section. 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to,Section 9. The Migration or Importation of such Persons as any of the States now existing shall think proper to
