case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q01,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,5,1.0,5,1.0,0.7143,0.7143,0.7229,,,,,,0,0,,5,9,0,0,United States Court of Appeals for the Second Circuit,United States Court of Appeals
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,0,2014,2014
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q03,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,3,0.5,3,0.5,0.7059,0.7059,0.5319,,,,,,0,0,,6,11,0,0,City of Pontiac Policemen's and Firemen's Retirement System v. UBS AG,city of pontiac v. ubs ag
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.3333,0.3333,0.3333,0.381,,,,,,0,0,,3,3,0,0,"May 6, 2014",2014-05-06
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,1,0.0455,1,0.0455,0.087,0.087,0.0774,,,,,,0,0,,22,1,0,0,"SUTER,","SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.0602,,,,,,0,0,,26,1,1,0,UNKNOWN,"we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.0723,,,,,,0,0,,24,1,1,0,UNKNOWN,"which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.0637,,,,,,0,0,,24,1,1,0,UNKNOWN,"in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.0735,,,,,,0,0,,17,1,1,0,UNKNOWN,"no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.093,,,,,,0,0,,18,1,1,0,UNKNOWN,material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.0714,,,,,,0,0,,21,1,1,0,UNKNOWN,"uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
