case_id,disposition_actual,prevailing_party,justification,judge,parse_error,error,ts
cl_2014_ca9_john_loos_v._immersion_corporation,affirmed,defendants (Immersion Corporation and executives),"The panel affirmed the district court's dismissal with prejudice of the securities fraud claims, concluding with 'AFFIRMED.'",anthropic/claude-opus-5,,,2026-08-25T09:58:58
cl_2014_ca2_sec_v._contorinis,affirmed,SEC (plaintiff-appellee),"The court held the district court did not abuse its discretion in ordering disgorgement, prejudgment interest, and the injunction, and thus 'the judgment of the district court is hereby AFFIRMED.'",anthropic/claude-opus-5,,,2026-08-25T09:58:58
cl_2015_ca2_united_states_v._parse,vacated_and_remanded,defendant-appellant David Parse,"The court held: ""The judgment of conviction against Parse is vacated, and the matter is remanded for a new trial,"" rejecting his sufficiency challenges but granting a new trial.",anthropic/claude-opus-5,,,2026-08-25T09:58:59
cl_2015_ca2_in_re_kingate_management_limited_li,vacated_and_remanded,plaintiffs-appellants,"The court's conclusion states: ""The judgment of the district court is VACATED, and the matter REMANDED for further proceedings.""",anthropic/claude-opus-5,,,2026-08-25T09:58:59
cl_2014_ca2_city_of_pontiac_v._ubs_ag,affirmed,defendants (UBS AG and underwriters),"The court stated: ""Accordingly, we AFFIRM the September 13, 2011 and September 28, 2012 judgments of the District Court,"" upholding dismissal of all claims with prejudice.",anthropic/claude-opus-5,,,2026-08-25T09:58:59
cl_2015_ca5_state_of_texas_v._usa,affirmed,plaintiff states (Texas et al.),"The panel concluded: ""The district court did not err and most assuredly did not abuse its discretion. The order granting the preliminary injunction is AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:00
cl_2016_ca2_credit_suisse_secs._llc_v._tracy,affirmed,Credit Suisse Securities (USA) LLC,The court concluded Rule 13200 does not prohibit pre-dispute waivers of the FINRA forum and 'AFFIRM[ed] the judgment of the district court.',anthropic/claude-opus-5,,,2026-08-25T09:59:02
cl_2015_ca9_steve_harris_v._amgen_inc.,reversed_and_remanded,plaintiffs (Harris et al.),"The panel concluded plaintiffs stated claims and Amgen was a properly named fiduciary, and expressly ordered 'REVERSED and REMANDED' for further proceedings (with rehearing en banc denied).",anthropic/claude-opus-5,,,2026-08-25T09:59:02
cl_2018_ca9_united_states_v._jonathan_turner,affirmed,United States (plaintiff-appellee),"The panel affirmed the convictions in full, concluding with ""AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:02
cl_2015_ca9_northstar_financial_advisors_v._sch,affirmed_and_reversed,Northstar (plaintiff-appellant),"The mandate states ""REVERSED in part, VACATED in part, and REMANDED,"" reversing the breach of contract and third-party beneficiary dismissals and vacating the fiduciary duty dismissal, with remand.",anthropic/claude-opus-5,,,2026-08-25T09:59:02
cl_2018_ca9_ussec_v._e._andrew_schooler,affirmed_and_reversed,SEC (mostly),The court affirmed the district court's judgment in most respects but vacated the civil penalty and vacated and remanded the disgorgement award in light of Kokesh.,anthropic/claude-opus-5,,,2026-08-25T09:59:03
