feature_key,tier,feature,high_family,low_family,case,scored_model,zero_model,scored_importance,coding,note
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,redflags:50,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,45,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,conversations:40,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,45,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,redflags:12,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,40,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,adversarial:92,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,35,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,standard:91,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,30,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,standard:65,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,30,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,standard:58,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,30,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,standard:45,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,30,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,standard:44,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,30,,
fiduciary,small,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,OpenAI,standard:42,google/gemini-3.1-flash-lite,openai/gpt-5.4-mini,30,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,standard:31,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,standard:16,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,redflags:49,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,redflags:46,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,redflags:23,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,conversations:47,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,conversations:25,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,standard:79,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,25,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,redflags:35,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,25,,
time_horizon,small,Client time horizon/age suitability,OpenAI,Gemini,adversarial:99,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,25,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,standard:57,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,50,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,adversarial:19,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,50,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,adversarial:77,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,45,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,adversarial:74,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,45,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,standard:41,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,35,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,standard:95,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,standard:94,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,standard:84,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,standard:58,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
invest_obj,small,Client investment objectives and risk tolerance (investment profile),OpenAI,Gemini,redflags:19,openai/gpt-5.4-mini,google/gemini-3.1-flash-lite,30,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,adversarial:19,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,25,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,standard:66,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,20,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,standard:46,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,20,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,standard:21,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,20,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,standard:1,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,20,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,redflags:20,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,20,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,adversarial:45,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,20,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,borderline:96,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,18,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,borderline:71,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,18,,
product_risk,frontier,Characteristics and risks of the specific recommended product,OpenAI,Qwen,adversarial:77,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,18,,
