case_id,qid,work,arm,date_filed,jurisdiction,model,condition,trunc_n,n_prefix_tokens,n_suffix_tokens,logp_sum,logp_per_token,p_geomean,min_token_logprob,n_tokens_below_1e3,first_break_index,align_warning
gatsby_ch03,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,13,10,-18.129207,-1.812921,0.16317684,-9.336677,1,4,
gatsby_ch03,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,13,13,-18.299198,-1.407631,0.24472244,-9.336677,1,4,
gatsby_ch03,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,13,13,-18.299198,-1.407631,0.24472244,-9.336677,1,4,
gatsby_ch03,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,13,13,-18.299198,-1.407631,0.24472244,-9.336677,1,4,
gatsby_ch04,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,14,10,-34.618365,-3.461837,0.03137209,-6.799113,0,6,
gatsby_ch04,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,14,13,-40.340375,-3.103106,0.04490951,-6.799113,0,6,
gatsby_ch04,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,14,13,-40.340375,-3.103106,0.04490951,-6.799113,0,6,
gatsby_ch04,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,14,13,-40.340375,-3.103106,0.04490951,-6.799113,0,6,
gatsby_ch05,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,14,10,-19.411551,-1.941155,0.14353806,-8.523527,1,0,
gatsby_ch05,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,14,13,-21.731445,-1.67165,0.18793678,-8.523527,1,0,
gatsby_ch05,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,14,13,-21.731445,-1.67165,0.18793678,-8.523527,1,0,
gatsby_ch05,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,14,13,-21.731445,-1.67165,0.18793678,-8.523527,1,0,
gatsby_ch08,Q13,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,13,10,-13.380028,-1.338003,0.26236914,-5.710907,0,0,
gatsby_ch08,Q13,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,13,14,-17.163435,-1.22596,0.29347592,-5.710907,0,0,
gatsby_ch08,Q13,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,13,14,-17.163435,-1.22596,0.29347592,-5.710907,0,0,
gatsby_ch08,Q13,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,13,14,-17.163435,-1.22596,0.29347592,-5.710907,0,0,
constitution_ch01,Q10,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,15,10,-0.080569,-0.008057,0.99197547,-0.026507,0,2,
constitution_ch01,Q10,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,15,13,-0.138291,-0.010638,0.9894186,-0.035597,0,12,
constitution_ch01,Q10,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,15,13,-0.138291,-0.010638,0.9894186,-0.035597,0,12,
constitution_ch01,Q10,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,15,13,-0.138291,-0.010638,0.9894186,-0.035597,0,12,
constitution_ch03,Q10,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,14,10,-0.407233,-0.040723,0.96009472,-0.179118,0,3,
constitution_ch03,Q10,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,14,14,-1.551384,-0.110813,0.89510598,-1.102947,0,13,
constitution_ch03,Q10,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,14,14,-1.551384,-0.110813,0.89510598,-1.102947,0,13,
constitution_ch03,Q10,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,14,14,-1.551384,-0.110813,0.89510598,-1.102947,0,13,
gatsby_ch01,Q13,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,17,10,-8.2344,-0.82344,0.43891915,-4.634345,0,1,
gatsby_ch01,Q13,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,17,11,-8.344367,-0.758579,0.46833153,-4.634345,0,1,
gatsby_ch01,Q13,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,17,11,-8.344367,-0.758579,0.46833153,-4.634345,0,1,
gatsby_ch01,Q13,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,17,11,-8.344367,-0.758579,0.46833153,-4.634345,0,1,
gatsby_ch04,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,17,10,-21.271768,-2.127177,0.11917327,-7.777518,1,2,
gatsby_ch04,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,17,11,-21.96503,-1.996821,0.13576621,-7.777518,1,2,
gatsby_ch04,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,17,11,-21.96503,-1.996821,0.13576621,-7.777518,1,2,
gatsby_ch04,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,17,11,-21.96503,-1.996821,0.13576621,-7.777518,1,2,
gatsby_shuf_ch07,Q11,gatsby_shuf,negative,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,16,10,-71.49618,-7.149618,0.00078516,-11.700178,4,6,
gatsby_shuf_ch07,Q11,gatsby_shuf,negative,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,16,12,-81.592495,-6.799375,0.00111447,-11.700178,5,6,
gatsby_shuf_ch07,Q11,gatsby_shuf,negative,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,16,12,-81.592495,-6.799375,0.00111447,-11.700178,5,6,
gatsby_shuf_ch07,Q11,gatsby_shuf,negative,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,16,12,-81.592495,-6.799375,0.00111447,-11.700178,5,6,
constitution_ch02,Q08,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,10,14,10,-0.172495,-0.017249,0.98289843,-0.10748,0,9,
constitution_ch02,Q08,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,25,14,15,-1.237172,-0.082478,0.92083159,-1.037407,0,14,
constitution_ch02,Q08,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,50,14,15,-1.237172,-0.082478,0.92083159,-1.037407,0,14,
constitution_ch02,Q08,constitution,positive,1800-01-01,control,meta-llama/Llama-3.1-70B,raw,full,14,15,-1.237172,-0.082478,0.92083159,-1.037407,0,14,
