case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,recall,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q01,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,recalled,0,5,1.0,5,1.0,0.7143,0.7143,0.7229,,,,,,0,0,,5,9,0,attempt,0,United States Court of Appeals for the Second Circuit,United States Court of Appeals
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,recalled,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,recalled,0,0,0.0,1,0.3333,0.3333,0.3333,0.381,,,,,,0,0,,3,3,0,attempt,0,"May 6, 2014",2014-05-06
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,1,0.0455,1,0.0455,0.1579,0.2105,0.4015,,,,,,0,0,,22,16,0,attempt,0,"SUTER, CLIVE STANDISH, JOHN P. COSTAS, PETER WUFFLI, MARK BRANSON, Defendants-Appellees, UBS SECURITIES LLC, Defendant.*","SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,2,0.0769,3,0.1154,0.2593,0.3333,0.2663,,,,,,0,0,,26,28,0,attempt,0,"we consider whether the Supreme Court’s decision in Morrison v. National Australia Bank Ltd., 561 U.S. 247 (2010), precludes claims brought pursuant to the Securities Exchange Act","we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,recalled,0,0,0.0,3,0.125,0.2609,0.3043,0.4969,,,,,,0,0,,24,22,0,attempt,0,"considered in isolation, may appear to support plaintiffs’ view, the Supreme Court’s focus on “domestic transactions” in Morrison precludes such an interpretation.","which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,2,0.0833,0.125,0.1667,0.2924,,,,,,0,0,,24,24,0,attempt,0,for the proposition that the placement of a buy order in the United States is sufficient to allege that a securities transaction occurred domestically.,"in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,1,0.0588,1,0.0588,0.2222,0.2778,0.3475,,,,,,0,0,,17,19,0,attempt,0,"no basis for distinguishing between foreign and domestic transactions in securities that are cross-listed on a domestic exchange,""","no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,1,0.0556,0.1143,0.1714,0.3604,,,,,,0,0,,18,17,0,attempt,0,"materially misleading because UBS was, in fact, engaged in a massive tax evasion scheme at the time.",material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,recalled,0,0,0.0,1,0.0476,0.0541,0.0541,0.3734,,,,,,0,0,,21,16,0,attempt,0,"a domestic component to their transaction, but that does not render the transaction domestic under Morrison.","uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q16,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,3,0.0938,0.2162,0.3243,0.2163,0.3333,14,0.0,6,16,0,0,,32,79,0,attempt,0,BACKGROUND; I. The Parties; II. The Alleged Fraud; A. UBS’s CDO/RMBS Portfolio; B. UBS’s Cross-Border Tax Scheme; III. The District Court’s Decisions; DISCUSSION; I. Standard of Review; II. The Exchange Act Claims; A. Claims Based on Purchases of Foreign-Issued Shares on Foreign Exchanges; 1. The Listing Theory; 2. The Domestic Transactions Theory; B. Claims Based on Purchases of Foreign-Issued Shares on a Domestic Exchange; III. The Securities Act Claims; IV. The Control Person Claims; CONCLUSION,A. The CDO/RMBS Fraud | B. The Tax Fraud | C. Procedural History | B. Securities Act Claims | C. Claims Under Section 10(b) of the Exchange Act | D. Denial of Leave to Amend
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q17,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,1,0.0192,0.0845,0.1127,0.1784,,,,,,0,1,,52,19,0,attempt,0,The following facts are taken from the CAC and are assumed to be true for purposes of this appeal.,"Plaintiffs allege that UBS accumulated and overvalued $100 billion in residential mortgage backed securities (“RMBS”) and collateralized debt obligations (“CDOs” and, together with RMBS, “mortgage‐related assets”)7 between February 13, 2006 and April 21, 2008, without disclosing this to shareholders and in contravention of its representations regarding its risk management policies."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q19,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,1,0.025,0.1299,0.1558,0.1891,,,,,,0,0,,40,37,0,attempt,0,"of the Court, but wrote separately to explain that he did not believe the presumption against extraterritoriality led to the Court’s conclusion. See id. at 286–87 (Breyer, J., concurring in part and concurring in the judgment).","only insofar as “the purchased securities are listed only on a few foreign exchanges, none of which has registered with the [SEC]. . . [and] the relevant purchases of these unregistered securities took place entirely in Australia and involved only Australian investors.”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q21,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,1,0.0476,0.0455,0.0909,0.2815,,,,,,0,0,,21,23,0,attempt,0,"We review de novo a district court's dismissal of a complaint pursuant to Rule 12(b)(6), accepting all factual allegations as true.","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q22,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,1,0.0476,0.0465,0.0465,0.3178,,,,,,0,0,,21,22,0,attempt,0,"We decline to consider this argument because it was not properly raised below. See Allianz Ins. Co. v. Lerner, 416 F.3d","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q23,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,1,0.0476,0.1,0.1,0.336,,,,,,0,0,,21,19,0,attempt,0,"The District Court declined to consider this argument because it was not raised in the Complaint, and we agree.","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q24,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5.6-sol,2026-02-28,inferred,0,0,0.0,1,0.0476,0.0444,0.0444,0.1618,,,,,,0,0,,21,24,0,attempt,0,We need not consider this allegation because it was not included in the Complaint and was raised for the first time at oral argument.,"As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_sec_v._contorinis,Q01,A,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5.6-sol,2026-02-28,recalled,0,0,0.0,2,1.0,0.3636,0.3636,0.4118,,,,,,0,0,,2,9,0,attempt,0,United States Court of Appeals for the Second Circuit.,Second Circuit
cl_2014_ca2_sec_v._contorinis,Q02,A,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5.6-sol,2026-02-28,recalled,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_sec_v._contorinis,Q04,A,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5.6-sol,2026-02-28,recalled,0,0,0.0,1,0.3333,0.3333,0.6667,0.2963,,,,,,0,0,,3,3,0,attempt,0,"February 18, 2014",2014-02-18
