case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,recall,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q01,A,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,5,1.0,5,1.0,0.7143,0.7143,0.7229,,,,,,0,0,,5,9,0,attempt,0,United States Court of Appeals for the Second Circuit,United States Court of Appeals
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,A,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,A,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,0,0.0,1,0.3333,0.3333,0.3333,0.3333,,,,,,0,0,,3,3,0,attempt,0,"March 27, 2014",2014-05-06
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,1,0.0455,2,0.0909,0.3,0.3,0.4945,,,,,,0,0,,22,18,0,attempt,0,"SUTER, PETER KURER, WALTER STUERZINGER, ROBERT WOLF, RAMESH SINGH, JERKER JOHANSSON, and JOHN DOES 1-50, Defendants-Appellees.","SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,2,0.0769,2,0.0769,0.2264,0.3019,0.3987,,,,,,0,0,,26,27,0,attempt,0,we consider whether a plaintiff asserting claims under Section 10(b) of the Securities Exchange Act of 1934 and SEC Rule 10b-5 must plead loss causation,"we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,3,0.125,0.3111,0.4,0.4579,,,,,,0,0,,24,21,0,attempt,0,"read in isolation, might support plaintiffs' position, the structure and history of the statute as a whole compel the opposite conclusion.","which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0417,0.0444,0.0889,0.2923,,,,,,0,0,,24,21,0,attempt,0,"Value Master Fund Ltd. v. CNET Networks, Inc., 239 F. Supp. 2d 1084 (N.D. Cal. 2002), for the proposition that","in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,2,0.1176,2,0.1176,0.2424,0.3636,0.3948,,,,,,0,0,,17,16,0,attempt,0,"no requirement that the complaint contain a smoking gun,"" they must still plead fraud with particularity","no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0556,0.0571,0.1143,0.3509,,,,,,0,0,,18,17,0,attempt,0,actionable because they were made with knowledge of their falsity or with reckless disregard for the truth,material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0476,0.2105,0.2105,0.36,,,,,,0,0,,21,17,0,attempt,0,a scheme to defraud and that defendants made material misrepresentations and omissions in furtherance of that scheme.,"uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q16,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,6,0,0,0,,32,0,0,empty,1,,A. The CDO/RMBS Fraud | B. The Tax Fraud | C. Procedural History | B. Securities Act Claims | C. Claims Under Section 10(b) of the Exchange Act | D. Denial of Leave to Amend
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q17,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0192,0.1075,0.1505,0.1884,,,,,,0,1,,52,41,0,attempt,0,"The City of Pontiac General Employees' Retirement System (""Pontiac"") brings this putative class action against UBS AG and numerous related entities (collectively, ""UBS"" or ""Defendants""), alleging violations of Sections 10(b) and 20(a) of the Securities Exchange Act of 1934.","Plaintiffs allege that UBS accumulated and overvalued $100 billion in residential mortgage backed securities (“RMBS”) and collateralized debt obligations (“CDOs” and, together with RMBS, “mortgage‐related assets”)7 between February 13, 2006 and April 21, 2008, without disclosing this to shareholders and in contravention of its representations regarding its risk management policies."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q19,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.025,0.1316,0.2368,0.2325,,,,,,0,0,,40,36,0,attempt,0,"of the Court and filed a separate concurring opinion. Justice Scalia filed an opinion concurring in part and concurring in the judgment. Justice Thomas filed an opinion concurring in the judgment, in which Justice Kennedy joined.","only insofar as “the purchased securities are listed only on a few foreign exchanges, none of which has registered with the [SEC]. . . [and] the relevant purchases of these unregistered securities took place entirely in Australia and involved only Australian investors.”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q21,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0476,0.1026,0.2564,0.2803,,,,,,0,0,,21,18,0,attempt,0,"The District Court granted defendants' motion to dismiss, holding that plaintiffs lacked standing to bring their RICO claims.","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q22,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,2,0.0952,0.1463,0.1463,0.2925,,,,,,0,0,,21,20,0,attempt,0,The District Court dismissed the complaint for failure to state a claim upon which relief can be granted. The City,"As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q23,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0476,0.1,0.15,0.3969,,,,,,0,0,,21,19,0,attempt,0,"The District Court rejected this argument, concluding that the City had failed to plead loss causation with respect to","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q24,D,pre_cutoff,2014-05-06,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0476,0.1,0.15,0.367,,,,,,0,0,,21,19,0,attempt,0,"The District Court rejected this argument, concluding that the complaint failed to allege facts showing that UBS's statement was","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_sec_v._contorinis,Q01,A,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,0,0.0,2,1.0,0.3636,0.3636,0.4179,,,,,,0,0,,2,9,0,attempt,0,United States Court of Appeals for the Second Circuit,Second Circuit
cl_2014_ca2_sec_v._contorinis,Q02,A,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_sec_v._contorinis,Q04,A,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,0,0.0,1,0.3333,0.3333,0.3333,0.3478,,,,,,0,0,,3,3,0,attempt,0,"June 24, 2014",2014-02-18
cl_2014_ca2_sec_v._contorinis,Q07,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,5,0.1471,5,0.1471,0.4062,0.4375,0.5036,,,,,,0,0,,34,30,0,attempt,0,"motion for summary judgment and ordered Contorinis to disgorge $7.2 million in profits, representing the gains made by the Jefferies fund from trading on inside information, plus prejudgment interest.","motion for summary judgment and, among other forms of relief, ordered defendant to disgorge all profits made by the insider trades, including those profits that accrued to the fund rather than to defendant personally."
cl_2014_ca2_sec_v._contorinis,Q08,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,4,0.2222,4,0.2222,0.3333,0.3333,0.5635,,,,,,0,0,,18,18,0,attempt,0,"between the parties, including the calculation of disgorgement, the propriety of prejudgment interest, or the civil penalty amount.","between the parties, including Contorinis’s contention that he should not be required to pay prejudgment interest at all."
cl_2014_ca2_sec_v._contorinis,Q09,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,0,0.0,1,0.1,0.1,0.1,0.3704,,,,,,0,0,,10,10,0,attempt,0,recognized that a tippee can be liable for trading on,deemed specific tracing unnecessary in ordering disgorgement for securities fraud.
cl_2014_ca2_sec_v._contorinis,Q10,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,1,0.0323,1,0.0323,0.1053,0.1053,0.2507,,,,,,0,0,,31,26,0,attempt,0,"liability among the defendants who participated in the fraudulent scheme, requiring joint and several liability only where such a remedy is necessary to effectuate complete relief.","liability for insider trading to those responsible for the illegal acts, including to those with investment power over third‐party accounts used to make illegal investments as well as to tippers."
cl_2014_ca2_sec_v._contorinis,Q11,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,3,0.1,3,0.1,0.2456,0.2807,0.3585,,,,,,0,0,,30,27,0,attempt,0,"reputation or the disadvantages of being known as a 'rat,' we cannot say that Contorinis' gain was limited to the $7,260 in commissions he received.","reputation or the psychic pleasures of enriching a family member, to require precise articulation of such rewards in calculating disgorgement amounts would allow the wrongdoer to benefit from such uncertainty."
cl_2014_ca2_sec_v._contorinis,Q12,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,3,0.0789,0.1795,0.2564,0.324,,,,,,0,0,,38,40,0,attempt,0,"enrichment to disgorge the fruits of his wrongdoing, even if he must pay out of his own pocket to do so. The district court did not abuse its discretion in ordering Contorinis to disgorge the profits from his illegal trades.","gain by fraudulently trading on material nonpublic information, and allocated that gain, for reasons of his own, to beneficiaries that he chose, to return that gain to the public by disgorging the illegal benefits he obtained and directed."
cl_2014_ca2_sec_v._contorinis,Q13,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,1,0.0909,2,0.1818,0.5,0.5,0.592,,,,,,0,0,,11,9,0,attempt,0,to disgorge profits that he never received or possessed.,to forfeit only the proceeds that he actually received or controlled.
cl_2014_ca2_sec_v._contorinis,Q14,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,4,0.0667,4,0.0667,0.2034,0.3051,0.3668,,,,,,0,0,,60,58,0,attempt,0,"he enhanced his reputation as a successful portfolio manager, which in turn enabled him to attract new clients and additional assets under management. These indirect benefits, while perhaps difficult to quantify precisely, were nonetheless real and substantial, and they flowed directly from his illegal trading activities. The district court did not err in considering these broader economic realities.","he enhanced his reputation and increased the likelihood of his receiving future benefits as a fund manager. In this way, Contorinis’s case is even closer than a tipper’s to the bedrock disgorgement case of the insider who executes illegal trades using his own money, and donates the profit to a third party. There is no injustice, therefore, in making him"
cl_2014_ca2_sec_v._contorinis,Q16,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0417,0.2051,0.3077,0.4336,0.4,3,0.2421,5,5,0,0,,24,15,0,attempt,0,"I. Background, II. Discussion, A. The Insider Trading Conviction, B. The Forfeiture Order, III. Conclusion",BACKGROUND | I. Disgorgement of Profit Accruing to the Paragon Fund | II. Payment of Prejudgment Interest | III. Injunction against Future Violation of Securities Laws | CONCLUSION
cl_2014_ca2_sec_v._contorinis,Q17,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,3,0.0714,0.1875,0.2187,0.2605,,,,,,0,1,,42,22,0,attempt,0,"The Securities and Exchange Commission (""SEC"") brought this civil enforcement action against Joseph Contorinis, a former portfolio manager at Jefferies & Company, Inc.","Defendant‐appellant Joseph Contorinis, a Managing Director at Jeffries & Company, Inc. (“Jeffries”), executed several illegal insider trades involving the stock of the supermarket chain Albertson’s, Inc. (“Albertson’s”), using material nonpublic information received from Nicos Stephanou, an employee of UBS Investment Bank (“UBS”)."
cl_2014_ca2_sec_v._contorinis,Q19,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,1,0.0256,3,0.0769,0.2025,0.2785,0.395,,,,,,0,0,,39,40,0,attempt,0,"Circuit has discretion to award a tithe of the gain resulting from the unlawful activity. The amount of the tithe is not set in stone, but is generally ten percent of the defendant's gain or the amount of loss avoided.","Circuit concluded that “[w]hen addressing the amount of money [from fraudulent securities transactions] that a defendant must disgorge, the Sixth Circuit has held, by implication, that the entire amount of profits which were illicitly received must be disgorged.”"
cl_2014_ca2_sec_v._contorinis,Q20,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,0,0.0,1,0.0833,0.087,0.1739,0.2017,,,,,,0,0,,12,11,0,attempt,0,that benefit to another person in breach of his fiduciary duty.,the profits of the fraud where he has chosen them to go.
cl_2014_ca2_sec_v._contorinis,Q21,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.05,0.1026,0.1026,0.314,,,,,,0,0,,20,19,0,attempt,0,"The district court's forfeiture order should be affirmed, and we need not reach the question of whether the SEC","While many factors may be relevant to deciding what remedies are appropriate in particular circumstances, we note that one argument"
cl_2014_ca2_sec_v._contorinis,Q22,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,0,0.0,0.0,0.0,0.3008,,,,,,0,0,,20,19,0,attempt,0,The SEC's disgorgement action here falls comfortably within the heartland of the remedy. Contorinis was a fiduciary who misappropriated,"While many factors may be relevant to deciding what remedies are appropriate in particular circumstances, we note that one argument"
cl_2014_ca2_sec_v._contorinis,Q23,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.05,0.05,0.05,0.2424,,,,,,0,0,,20,20,0,attempt,0,The SEC's decision to proceed against Contorinis for damages rather than against Jefferies as a relief defendant was entirely proper.,"While many factors may be relevant to deciding what remedies are appropriate in particular circumstances, we note that one argument"
cl_2014_ca2_sec_v._contorinis,Q24,D,pre_cutoff,2014-02-18,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,0,0.0,1,0.05,0.0513,0.0513,0.1694,,,,,,0,0,,20,19,0,attempt,0,The district court did not abuse its discretion in imposing disgorgement in the amount of the Paragon Fund's profits.,"While many factors may be relevant to deciding what remedies are appropriate in particular circumstances, we note that one argument"
cl_2014_ca9_john_loos_v._immersion_corporation,Q01,A,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,recalled,0,0,0.0,2,1.0,0.3636,0.3636,0.4,,,,,,0,0,,2,9,0,attempt,0,United States Court of Appeals for the Ninth Circuit,Ninth Circuit
cl_2014_ca9_john_loos_v._immersion_corporation,Q02,A,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca9_john_loos_v._immersion_corporation,Q04,A,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.3333,0.3333,0.3333,0.2727,,,,,,0,0,,3,3,0,attempt,0,"May 11, 2015",2014-09-11
cl_2014_ca9_john_loos_v._immersion_corporation,Q07,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0769,0.0769,0.0769,0.2841,,,,,,0,0,,13,13,0,attempt,0,distinguish between fraud-related and non-fraud-related influences on the stock price.,correlate his losses to anything other than the announcement of an internal investigation.
cl_2014_ca9_john_loos_v._immersion_corporation,Q08,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0833,0.1053,0.2105,0.2388,,,,,,0,0,,12,7,0,attempt,0,the alleged misrepresentations with his economic loss.,his losses to anything other than the announcement of an internal investigation.
cl_2014_ca9_john_loos_v._immersion_corporation,Q09,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0303,0.1053,0.1053,0.2333,,,,,,0,0,,33,24,0,attempt,0,and that it would be restating its financial results for fiscal years 2007 and 2008 and the first three quarters of fiscal year 2009.,in its Medical Division: [T]he Audit Committee of the Board of Directors of Immersion Corporation (“Immersion”) is conducting an internal investigation into certain previous revenue transactions in its Medical line of business.
cl_2014_ca9_john_loos_v._immersion_corporation,Q10,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,1,0.0625,1,0.0625,0.125,0.125,0.3271,,,,,,0,0,,16,16,0,attempt,0,"of the fraud, not that the market reacted to the specific disclosure of the fraud itself.","of fraudulent activity rather than by changing market conditions, changing investor expectations, or other unrelated factors."
cl_2014_ca9_john_loos_v._immersion_corporation,Q11,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,3,0.4286,0.4615,0.4615,0.6437,,,,,,0,0,,7,6,0,attempt,0,stock price) to the challenged statements.,share price) to the alleged accounting fraud.
cl_2014_ca9_john_loos_v._immersion_corporation,Q12,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0833,0.0909,0.1818,0.3125,,,,,,0,0,,12,10,0,attempt,0,sometimes constitute disclosure of information that is material to investors.,potentially be relevant to a securities fraud plaintiff’s theory of loss causation.
cl_2014_ca9_john_loos_v._immersion_corporation,Q13,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,2,0.1053,2,0.1053,0.2703,0.2703,0.4292,,,,,,0,0,,19,18,0,attempt,0,not reveal any fraudulent conduct by the company that was concealed at the time of the stock purchase.,"not reveal to the market the pertinent truth of anything, and therefore does not qualify as a corrective disclosure.”"
cl_2014_ca9_john_loos_v._immersion_corporation,Q14,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,2,0.0323,0.254,0.3016,0.3873,,,,,,0,0,,62,64,0,attempt,0,"helpful here. In Metzler, we held that the announcement of an SEC investigation, standing alone, does not establish loss causation. 540 F.3d at 1063. But Metzler involved a situation where the defendant company disclosed the investigation without revealing any underlying fraud. Here, by contrast, Immersion's announcement disclosed not only the SEC investigation but also the company's admission that it had backdated stock options.","instructive here. In that case, the plaintiff’s theory of loss causation relied, in part, on a newspaper article which disclosed that the defendant, a nationwide for-profit college, had been investigated and sanctioned by the Department of Education for facilitating financial aid fraud. Although only one of the defendant’s eighty-eight campuses had been investigated, the plaintiff argued that the resulting sanctions"
cl_2014_ca9_john_loos_v._immersion_corporation,Q16,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0164,0.1463,0.2439,0.2378,0.0,7,0.0,8,7,0,0,,61,21,0,attempt,0,"I. Background, II. Standard of Review, III. Discussion, A. Personal Jurisdiction, B. Venue, C. Failure to State a Claim, IV. Conclusion","COUNSEL | OPINION | I. Immersion Corporation (“Immersion”) is a publicly- | II. From the time it went public in 1999 until the fourth | III. We have jurisdiction over this appeal pursuant to | IV. Section 10(b) of the Securities Exchange Act of 1934 | A. The district court concluded that the allegations regarding | B. With regard to the July 1, 2009 announcement, the district"
cl_2014_ca9_john_loos_v._immersion_corporation,Q17,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,0,0.0,0.0,0.0,0.1143,,,,,,0,1,,13,18,0,attempt,0,"Immersion Corporation (""Immersion"") appeals the district court's denial of its motion to dismiss for lack of personal jurisdiction.","Weiss (argued), Brower Piven, New York, New York; and Sanford Svetcov, Susan K."
cl_2014_ca9_john_loos_v._immersion_corporation,Q19,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.0357,0.1091,0.1818,0.3061,,,,,,0,0,,28,27,0,attempt,0,"overstated its revenues by recognizing revenue from licensing agreements before it was earned, in violation of Generally Accepted Accounting Principles (""GAAP"") and its own revenue recognition policies.",recognized medical sales revenue earlier than permitted under GAAP in order to mislead investors into believing that the company was on the cusp of finally achieving sustained profitability.
cl_2014_ca9_john_loos_v._immersion_corporation,Q20,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,1,0.125,2,0.25,0.5,0.5,0.6071,,,,,,0,0,,8,8,0,attempt,0,revenue recognition practices in the Company's Medical line,revenue transactions in its Medical line of business.
cl_2014_ca9_john_loos_v._immersion_corporation,Q21,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.05,0.1053,0.1053,0.2097,,,,,,0,0,,20,18,0,attempt,0,The district court found that Loos failed to adequately plead loss causation and dismissed his complaint with prejudice.,"As a result of this practice, Plaintiff contends, Immersion’s stock price remained artificially “inflated” throughout the class period. With regard"
cl_2014_ca9_john_loos_v._immersion_corporation,Q22,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,0,0.0,0.0,0.0,0.3586,,,,,,0,0,,20,19,0,attempt,0,These statements were made despite defendants' knowledge that Immersion faced significant challenges to its business model and revenue streams.,"As a result of this practice, Plaintiff contends, Immersion’s stock price remained artificially “inflated” throughout the class period. With regard"
cl_2014_ca9_john_loos_v._immersion_corporation,Q23,D,pre_cutoff,2014-09-11,federal,circuit,anthropic/claude-opus-4,2025-01-31,inferred,0,0,0.0,1,0.05,0.1,0.1,0.2394,,,,,,0,0,,20,20,0,attempt,0,"The complaint alleges that defendants made these false statements with scienter, that is, with intent to deceive, manipulate, or defraud.","As a result of this practice, Plaintiff contends, Immersion’s stock price remained artificially “inflated” throughout the class period. With regard"
