case_id,qid,work,arm,date_filed,jurisdiction,model,condition,trunc_n,n_prefix_tokens,n_suffix_tokens,logp_sum,logp_per_token,p_geomean,min_token_logprob,n_tokens_below_1e3,first_break_index,align_warning
gatsby_ch03,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,10,13,10,-18.557707,-1.855771,0.15633241,-10.151749,1,4,
gatsby_ch03,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,25,13,13,-19.544231,-1.503402,0.22237228,-10.151749,1,4,
gatsby_ch03,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,50,13,13,-19.544231,-1.503402,0.22237228,-10.151749,1,4,
gatsby_ch03,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,full,13,13,-19.544231,-1.503402,0.22237228,-10.151749,1,4,
gatsby_ch04,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,10,14,10,-34.274242,-3.427424,0.03247047,-7.171294,1,6,
gatsby_ch04,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,25,14,13,-40.871364,-3.143951,0.04311212,-7.171294,1,6,
gatsby_ch04,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,50,14,13,-40.871364,-3.143951,0.04311212,-7.171294,1,6,
gatsby_ch04,Q09,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,full,14,13,-40.871364,-3.143951,0.04311212,-7.171294,1,6,
gatsby_ch05,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,10,14,10,-22.220926,-2.222093,0.10838207,-9.143357,1,0,
gatsby_ch05,Q11,gatsby,positive,1800-01-01,control,meta-llama/Llama-3.1-70B-Instruct,raw,25,14,13,-24.403263,-1.877174,0.15302192,-9.143357,1,0,
