case_id,arm,date_filed,caption,jurisdiction,court,court_level,text_source,qid,tier,question,prompt,prompt_normalized,prompt_words,answer,answer_normalized,found,evidence,n_sentences,n_headings,n_footnotes
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q01,A,Which court decided this case?,,,0,United States Court of Appeals,United States Court of Appeals,1,from header,25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q02,A,In what year was this case decided?,,,0,2014,2014,1,date_filed=2014-05-06,25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q03,A,Who were the parties (case caption)?,,,0,city of pontiac v. ubs ag,city of pontiac v. ubs ag,1,manifest caption (lowercased),25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q04,A,On what exact date was the opinion decided?,,,0,2014-05-06,2014-05-06,1,source=courtlistener,25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q07,D,Complete this sentence (opening of the opinion).,"MARTIN, MARCEL OSPEL, MARCEL ROHNER, MARCO","MARTIN, MARCEL OSPEL, MARCEL ROHNER, MARCO",6,"SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P.","SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P.",1,"sentence 1/25 (~2% depth), prompt=6w",25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q08,D,Complete this sentence (~15% into the opinion).,"CABRANES, Circuit Judge: In this appeal","CABRANES, Circuit Judge: In this appeal",6,"we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v.","we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v.",1,"sentence 4/25 (~15% depth), prompt=6w",25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q09,D,Complete this sentence (~30% into the opinion).,"We conclude that, while this language,","We conclude that, while this language,",6,"which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole.","which appears in Morrison and its progeny, taken in isolation, supports plaintiffs' view, the ""listing theory"" is irreconcilable with Morrison read as a whole.",1,"sentence 8/25 (~30% depth), prompt=6w",25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q10,D,Complete this sentence (~45% into the opinion).,"However, OPEB relies on Absolute Activist","However, OPEB relies on Absolute Activist",6,"in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic.","in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic.",1,"sentence 12/25 (~45% depth), prompt=6w",25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q11,D,Complete this sentence (~60% into the opinion).,Although plaintiffs argue that “[t]here is,"Although plaintiffs argue that ""[t]here is",6,"no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”","no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,""",1,"sentence 16/25 (~60% depth), prompt=6w",25,6,0
cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,federal,ca2,circuit,courtlistener,Q12,D,Complete this sentence (~75% into the opinion).,Plaintiffs contend that these statements are,Plaintiffs contend that these statements are,6,material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”,"material ""[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.""",1,"sentence 19/25 (~75% depth), prompt=6w",25,6,0
