case_id,court,court_level,jurisdiction,date_filed,common_arm,caption,docket,opinion_id
cl_2014_ca2_city_of_pontiac_v._ubs_ag,ca2,circuit,federal,2014-05-06,pre_cutoff,City of Pontiac v. UBS AG,,2672668
cl_2014_ca2_sec_v._contorinis,ca2,circuit,federal,2014-02-18,pre_cutoff,SEC v. Contorinis,,2653524
cl_2014_ca9_john_loos_v._immersion_corporation,ca9,circuit,federal,2014-09-11,pre_cutoff,John Loos v. Immersion Corporation,12-15100,2732606
cl_2015_ca2_in_re_kingate_management_limited_li,ca2,circuit,federal,2015-04-23,pre_cutoff,In Re Kingate Management Limited Litigation,,2796072
cl_2015_ca2_united_states_v._parse,ca2,circuit,federal,2015-06-08,pre_cutoff,United States v. Parse,13-1388,2806196
cl_2015_ca5_state_of_texas_v._usa,ca5,circuit,federal,2015-11-25,pre_cutoff,State of Texas v. USA,15-40238,3158356
cl_2015_ca9_northstar_financial_advisors_v._sch,ca9,circuit,federal,2015-04-28,pre_cutoff,Northstar Financial Advisors v. Schwab Investments,11-17187,2796987
cl_2015_ca9_steve_harris_v._amgen_inc.,ca9,circuit,federal,2015-05-26,pre_cutoff,"Steve Harris v. Amgen, Inc.",10-56014,2803327
cl_2016_ca2_credit_suisse_secs._llc_v._tracy,ca2,circuit,federal,2016-01-28,pre_cutoff,Credit Suisse Secs. LLC v. Tracy,,3172981
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,ca9,circuit,federal,2018-02-23,pre_cutoff,Jaclyn Santomenno v. Transamerica Life Ins. Co.,16-56418,4247922
cl_2018_ca9_united_states_v._jonathan_turner,ca9,circuit,federal,2018-07-27,pre_cutoff,United States v. Jonathan Turner,14-50238,4298613
cl_2018_ca9_ussec_v._e._andrew_schooler,ca9,circuit,federal,2018-09-26,pre_cutoff,Ussec v. E. Andrew Schooler,16-55167,4315622
cl_2018_cadc_phh_corporation_v._cfpb,cadc,circuit,federal,2018-01-31,pre_cutoff,PHH Corp. v. Consumer Financial Protection Bureau,15-1177,4240801
cl_2019_ca3_jennifer_sweda_v._university_of_pen,ca3,circuit,federal,2019-05-02,pre_cutoff,Jennifer Sweda v. University of Pennsylvania,17-3244,4393425
cl_2019_ca9_alexander_acosta_v._city_national_c,ca9,circuit,federal,2019-04-23,pre_cutoff,Alexander Acosta v. City National Corporation,17-55421,4389750
cl_2019_ca9_the_depot_inc._v._caring_for_montan,ca9,circuit,federal,2019-02-06,pre_cutoff,"The Depot, Inc. v. Caring for Montanans, Inc.",17-35597,4365100
cl_2019_ca9_ussec_v._hui_feng,ca9,circuit,federal,2019-08-23,pre_cutoff,Ussec v. Hui Feng,17-56522,4432768
cl_2019_cadc_donald_trump_v._mazars_usa_llp,cadc,circuit,federal,2019-10-11,pre_cutoff,"Donald Trump v. Mazars USA, LLP",19-5142,4446190
cl_2019_cadc_the_robare_group_ltd._v._sec,cadc,circuit,federal,2019-04-30,pre_cutoff,"The Robare Group, LTD. v. SEC",16-1453,4392041
cl_2020_ca11_united_states_v._gerti_muho,ca11,circuit,federal,2020-10-22,pre_cutoff,United States v. Gerti Muho,18-11248,4579841
cl_2020_ca2_abm_indus._groups_llc_v._intl_union,ca2,circuit,federal,2020-07-29,pre_cutoff,"ABM Indus. Groups, LLC v. Int'l Union of Operating Eng'rs",19-2755,4551703
cl_2020_ca2_gonnella_v._securities_and_exchange,ca2,circuit,federal,2020-04-02,pre_cutoff,Gonnella v. Securities and Exchange Commission,16-3433,4521726
cl_2020_ca2_rubenstein_v._intl_value_advisers_l,ca2,circuit,federal,2020-05-20,pre_cutoff,"Rubenstein v. Int'l Value Advisers, LLC",19-560,4535445
cl_2020_ca2_united_states_v._kosinski,ca2,circuit,federal,2020-09-22,pre_cutoff,United States v. Kosinski,18-3065,4567635
cl_2020_ca2_xy_planning_network_llc_v._sec,ca2,circuit,federal,2020-06-26,pre_cutoff,"XY Planning Network, LLC v. SEC",19-2886,4544694
cl_2020_ca3_jaroslawicz_v._mt_bank_corp,ca3,circuit,federal,2020-06-18,pre_cutoff,Jaroslawicz v. M&T Bank Corp,,4542452
cl_2020_ca3_jeffrey_norman_v._david_elkin,ca3,circuit,federal,2020-05-29,pre_cutoff,Jeffrey Norman v. David Elkin,19-2294,4537784
cl_2020_ca3_united_states_v._steven_fishoff,ca3,circuit,federal,2020-01-30,pre_cutoff,United States v. Steven Fishoff,18-3549,4503055
cl_2020_ca5_jeffery_schweitzer_v._investment_co,ca5,circuit,federal,2020-05-22,pre_cutoff,Jeffery Schweitzer v. Investment Committee,18-20379,4536393
cl_2020_ca6_nancy_goodman_v._j.p._morgan_invest,ca6,circuit,federal,2020-03-30,pre_cutoff,Nancy Goodman v. J.P. Morgan Investment Mgmt.,18-3238,4520784
cl_2020_ca9_dimitri_shivkov_v._artex_risk_solut,ca9,circuit,federal,2020-09-09,pre_cutoff,"Dimitri Shivkov v. Artex Risk Solutions, Inc.",19-16746,4563969
cl_2020_ca9_tamara_moore_v._mars_petcare_us_inc,ca9,circuit,federal,2020-07-28,pre_cutoff,"Tamara Moore v. Mars Petcare US, Inc.",18-15026,4551545
cl_2021_ca2_donna_browe_v._ctc_corp.,ca2,circuit,federal,2021-09-29,pre_cutoff,Donna Browe v. CTC Corp.,,4995538
cl_2021_ca2_in_re_tribune_co._fraudulent_conv._,ca2,circuit,federal,2021-08-20,pre_cutoff,In Re: Tribune Co. Fraudulent Conv. Litig.,19-3049,4794712
cl_2021_ca2_people_of_the_state_of_new_york_v._,ca2,circuit,federal,2021-03-10,pre_cutoff,People of the State of New York v. Griepp,18-2454,4666433
cl_2021_ca2_sacerdote_v._new_york_university,ca2,circuit,federal,2021-08-16,pre_cutoff,Sacerdote v. New York University,18-2707,4766002
cl_2021_ca2_sec_v._fowler,ca2,circuit,federal,2021-07-22,pre_cutoff,SEC v. Fowler,20-1081,4705497
