case_id,model,model_cutoff,arm,date_filed,caption,court_level,prediction,refused,finish,error,temp_dropped,latency_s,in_tokens,out_tokens,served_by,ts
cl_2015_ca5_state_of_texas_v._usa,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2015-11-25,State of Texas v. USA,circuit,"1. **Outcome:** The Fifth Circuit **affirmed** the nationwide preliminary injunction barring implementation of DAPA and expanded DACA. Texas and the other plaintiff states prevailed.

2. **Reasoning:** Texas had standing based on the costs of issuing subsidized driver’s licenses to DAPA recipients. The states were likely to succeed under the APA because DAPA was a substantive rule requiring notice-and-comment, not merely a nonbinding enforcement policy: it conferred lawful-presence and benefit eligibility consequences and left little genuine case-by-case discretion. The court also concluded DAPA was likely contrary to the INA’s statutory scheme. The remaining preliminary-injunction factors and nationwide scope supported affirmance.",0,stop,,0,21.29,226,659,OpenAI,2026-08-07T10:07:17
cl_2014_ca2_sec_v._contorinis,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2014-02-18,SEC v. Contorinis,circuit,"1. **Outcome:** The Second Circuit **affirmed** the district court’s judgment. The **SEC prevailed**, including on the order requiring Contorinis to disgorge the hedge fund’s approximately $7.26 million in insider-trading profits and avoided losses, plus prejudgment interest.

2. **Reasoning:** The court held that disgorgement was not limited to profits Contorinis personally received. He controlled the fund’s trading and used inside information to generate the unlawful gains for the fund. Because those gains were causally connected to his wrongdoing, the district court could require him to disgorge them, analogizing to cases holding tippers responsible for profits obtained by their tippees.",0,stop,,0,27.1,217,751,OpenAI,2026-08-07T10:07:23
cl_2014_ca9_john_loos_v._immersion_corporation,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2014-09-11,John Loos v. Immersion Corporation,circuit,"1. **Outcome:** The Ninth Circuit **affirmed** the dismissal of John Loos’s securities-fraud action. Immersion Corporation and the individual defendants prevailed.

2. **Reasoning:** Loos failed to plead **loss causation**. The stock-price decline followed Immersion’s announcement of an internal investigation, but that announcement, standing alone, did not disclose that fraud or accounting misconduct had actually occurred. Because it merely raised the possibility of wrongdoing rather than revealing the “truth” concealed by the alleged misstatements, it was not a corrective disclosure connecting the alleged fraud to the investors’ loss.",0,stop,,0,36.05,228,1117,OpenAI,2026-08-07T10:07:31
cl_2015_ca9_steve_harris_v._amgen_inc.,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2015-05-26,"Steve Harris v. Amgen, Inc.",circuit,"1. **Outcome:** The Ninth Circuit **reversed the district court’s dismissal and remanded**. The employee-plan plaintiffs prevailed.

2. **Reasoning:** Applying *Fifth Third Bancorp v. Dudenhoeffer*, the court held that the complaint plausibly alleged an ERISA duty-of-prudence claim against Amgen plan fiduciaries who allegedly knew, from inside information, that Amgen stock was artificially inflated. The court concluded that the fiduciaries could have taken lawful alternative actions—such as stopping further purchases or removing the Amgen stock fund as an investment option—and that those alternatives could have avoided further losses without necessarily doing more harm than good. The Supreme Court later reversed this ruling for failing to apply *Dudenhoeffer*’s “more harm than good” pleading requirement strictly enough.",0,stop,,0,42.87,228,1169,OpenAI,2026-08-07T10:07:38
cl_2014_ca2_city_of_pontiac_v._ubs_ag,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,circuit,"1. **Outcome:** The Second Circuit **affirmed** dismissal of the federal securities claims. UBS and the individual defendants prevailed.

2. **Reasoning:** The court rejected plaintiffs’ “listing theory” under *Morrison*: UBS shares purchased on foreign exchanges were not covered by §10(b) merely because the same class of shares was also listed on the NYSE. Nor did placing a buy order in the United States make a foreign-exchange purchase domestic absent domestic irrevocable liability. As to transactions potentially within U.S. law, plaintiffs failed to plead actionable misstatements concerning UBS’s mortgage-related assets, and UBS’s broad statements about legal and ethical compliance were too general and aspirational to be materially relied upon.",0,stop,,0,45.89,218,1186,OpenAI,2026-08-07T10:07:41
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2018-02-23,Jaclyn Santomenno v. Transamerica Life Ins. Co.,circuit,"1. **Outcome:** The Ninth Circuit **affirmed** the dismissal of the complaint. **Transamerica prevailed.**

2. **Reasoning:** The plaintiffs failed to plausibly allege that Transamerica acted as an ERISA fiduciary with respect to the challenged fees and investment options. The plan sponsors retained ultimate authority to select investments and accept or reject Transamerica’s contractual terms, while Transamerica’s design of its investment platform, negotiation of compensation, and collection of contractually established fees were not fiduciary acts. Because ERISA fiduciary status is conduct-specific, any control Transamerica had in other respects did not make it a fiduciary for the conduct challenged, defeating the fiduciary-duty and related prohibited-transaction claims.",0,stop,,0,38.85,233,1186,OpenAI,2026-08-07T10:07:56
cl_2018_cadc_phh_corporation_v._cfpb,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2018-01-31,PHH Corp. v. Consumer Financial Protection Bureau,circuit,"1. **Outcome:** The en banc D.C. Circuit **vacated the CFPB’s enforcement order and remanded**, so PHH prevailed against the challenged liability and penalty. But the **CFPB prevailed on PHH’s constitutional challenge** to the agency’s structure.

2. **Reasoning:** The court held that Congress could constitutionally create a CFPB headed by a single director removable only for “inefficiency, neglect of duty, or malfeasance.” Supreme Court precedent permitting independent agencies did not make multimember leadership constitutionally necessary. The court nevertheless reinstated the panel’s RESPA holdings: captive mortgage reinsurance payments were lawful to the extent they reflected reasonable market value for services actually performed; the CFPB could not retroactively impose its contrary, novel interpretation; and RESPA’s three-year limitations period applied to the administrative proceeding.",0,stop,,0,20.35,232,653,OpenAI,2026-08-07T10:07:59
cl_2015_ca9_northstar_financial_advisors_v._sch,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2015-04-28,Northstar Financial Advisors v. Schwab Investments,circuit,"1. **Outcome:** Reversed in substantial part and remanded, allowing Northstar’s state-law breach-of-contract, implied-covenant, and fiduciary-duty claims against Schwab to proceed. Northstar prevailed on the appeal, although no private federal cause of action under §13(a) of the Investment Company Act was recognized.

2. **Reasoning:** The Ninth Circuit held that the shareholders’ claims were direct, not derivative, because Schwab’s alleged departure from the fund’s fundamental investment policies and concentration limits injured shareholders’ contractual and voting rights individually. The fund’s governing documents and public commitments could support enforceable contractual obligations under Massachusetts law, and the Investment Company Act did not preempt parallel state-law remedies merely because the alleged conduct also violated the Act.",0,stop,,0,68.37,229,2230,OpenAI,2026-08-07T10:08:04
cl_2017_pa_villani_v._seibert_appeal_of_seiber,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2017-04-26,Villani v. Seibert Appeal of: Seibert,state,"1. **Outcome:** The Pennsylvania Supreme Court affirmed the judgment against attorney Seibert, leaving Villani’s recovery under the Dragonetti Act intact. Villani prevailed. The Court was evenly divided, so the affirmance had no majority rationale.

2. **Reasoning:** The justices supporting affirmance concluded that the Dragonetti Act’s wrongful-use-of-civil-proceedings cause of action is substantive tort law applicable to attorneys and nonattorneys alike. It therefore did not unconstitutionally intrude on the Supreme Court’s exclusive authority to regulate attorney conduct merely because it imposed civil liability for an attorney’s litigation conduct.",0,stop,,0,74.8,223,2201,OpenAI,2026-08-07T10:08:10
cl_2018_ca9_ussec_v._e._andrew_schooler,openai/gpt-5.6-sol,2026-02-28,pre_cutoff,2018-09-26,Ussec v. E. Andrew Schooler,circuit,"1. **Outcome:** Affirmed in part, vacated in part, and remanded. The SEC prevailed on liability; Schooler obtained relief from the disgorgement award.

2. **Reasoning:** The court held that the general-partnership interests Schooler marketed were “investment contracts,” despite their partnership label, because investors were practically dependent on Schooler and lacked meaningful managerial control. It therefore upheld the securities-law violations. But under *Kokesh v. SEC*, disgorgement is a penalty subject to 28 U.S.C. § 2462’s five-year limitations period. The court vacated the disgorgement award and remanded for recalculation excluding time-barred amounts.",0,stop,,0,54.44,229,1699,OpenAI,2026-08-07T10:08:26
