pair,jsd
"('anthropic/claude-haiku-4.5', 'anthropic/claude-opus-4.8')",0.001670996083746888
"('anthropic/claude-haiku-4.5', 'anthropic/claude-sonnet-4.6')",0.0025726718501274
"('anthropic/claude-haiku-4.5', 'google/gemini-3.1-flash-lite')",0.004599570347533721
"('anthropic/claude-haiku-4.5', 'google/gemini-3.1-pro-preview')",0.0013488018932867837
"('anthropic/claude-haiku-4.5', 'google/gemini-3.5-flash')",0.0014083395166013012
"('anthropic/claude-haiku-4.5', 'openai/gpt-5.4')",0.0028817751659799356
"('anthropic/claude-haiku-4.5', 'openai/gpt-5.4-mini')",0.002669585519248039
"('anthropic/claude-haiku-4.5', 'openai/gpt-5.5')",0.003792321990051488
"('anthropic/claude-haiku-4.5', 'qwen/qwen3.5-397b-a17b')",0.004815946424768531
"('anthropic/claude-haiku-4.5', 'qwen/qwen3.5-9b')",0.005495123350202154
"('anthropic/claude-haiku-4.5', 'qwen/qwen3.6-35b-a3b')",0.0032124771760740686
"('anthropic/claude-opus-4.8', 'anthropic/claude-sonnet-4.6')",0.0009795910424342058
"('anthropic/claude-opus-4.8', 'google/gemini-3.1-flash-lite')",0.006545672460912095
"('anthropic/claude-opus-4.8', 'google/gemini-3.1-pro-preview')",0.0021353842171279924
"('anthropic/claude-opus-4.8', 'google/gemini-3.5-flash')",0.0009096393912797518
"('anthropic/claude-opus-4.8', 'openai/gpt-5.4')",0.0020466289262438403
"('anthropic/claude-opus-4.8', 'openai/gpt-5.4-mini')",0.0038599274549261705
"('anthropic/claude-opus-4.8', 'openai/gpt-5.5')",0.0016306314384136622
"('anthropic/claude-opus-4.8', 'qwen/qwen3.5-397b-a17b')",0.005813781948717754
"('anthropic/claude-opus-4.8', 'qwen/qwen3.5-9b')",0.008265213884101726
"('anthropic/claude-opus-4.8', 'qwen/qwen3.6-35b-a3b')",0.0047864485536314285
"('anthropic/claude-sonnet-4.6', 'google/gemini-3.1-flash-lite')",0.007561969507033229
"('anthropic/claude-sonnet-4.6', 'google/gemini-3.1-pro-preview')",0.003708511409367875
"('anthropic/claude-sonnet-4.6', 'google/gemini-3.5-flash')",0.0018436795542303747
"('anthropic/claude-sonnet-4.6', 'openai/gpt-5.4')",0.002585325756386185
"('anthropic/claude-sonnet-4.6', 'openai/gpt-5.4-mini')",0.0055361801630387135
"('anthropic/claude-sonnet-4.6', 'openai/gpt-5.5')",0.001488087194257104
"('anthropic/claude-sonnet-4.6', 'qwen/qwen3.5-397b-a17b')",0.007038233587399585
