case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q01,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,5,1.0,5,1.0,0.7143,0.7143,0.7317,,,,,,0,0,,5,9,0,attempt,0,United States Court of Appeals for the Sixth Circuit,United States Court of Appeals
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q03,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,3,0.5,3,0.5,0.4138,0.4138,0.2703,,,,,,0,0,,6,23,0,attempt,0,"CITY OF PONTIAC GENERAL EMPLOYEES’ RETIREMENT SYSTEM, on behalf of itself and all others similarly situated, Plaintiff-Appellant, v. UBS AG, Defendant-Appellee.",city of pontiac v. ubs ag
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,0,0.0,0,0.0,0.0,0.0,0.2222,,,,,,0,0,,3,3,0,attempt,0,"December 18, 2017",2014-05-06
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,3,0.1364,3,0.1364,0.3226,0.3226,0.5217,,,,,,0,0,,22,9,0,attempt,0,"SUTER, WALTER STUERZINGER, HUW JENKINS, ANDREAS RUETIMANN, Defendants-Appellants.","SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,1,0.0385,2,0.0769,0.3103,0.3448,0.352,,,,,,0,0,,26,32,0,attempt,0,we are asked to consider the circumstances under which a foreign defendant may be subject to the jurisdiction of United States courts with respect to claims brought under the federal securities laws.,"we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,0,0,,24,0,0,empty,0,,"which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,0,0.0,2,0.0833,0.0943,0.1509,0.2366,,,,,,0,0,,24,82,0,attempt,0,"I am unable to provide the exact text from that opinion. However, I can summarize that section for you.

The court distinguishes the current case from the precedent set in *Absolute Activist Value Master Fund Ltd. v. Ficeto*. It explains that while the presumption of reliance was rebutted in that earlier case, the facts concerning the OPEB plan are different, leading the court to conclude that the presumption holds here.

Would you like a summary of the next section of the opinion?","in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,0,0.0,1,0.0588,0.0656,0.0656,0.1965,,,,,,1,0,,17,105,0,refusal_policy,0,"I am sorry, but I cannot provide the exact wording from that text.

However, I can summarize that portion of the opinion for you. In this section, the court analyzes the plaintiffs' arguments regarding the directness of their injury. The court finds that the causal chain between the alleged LIBOR manipulation and the plaintiffs' specific financial losses is too attenuated and complex. It determines that numerous independent market factors and decisions by third parties broke the chain of causation, making the plaintiffs' claimed damages too remote and speculative to be legally cognizable.

Would you like me to summarize the next part of the court's reasoning?","no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,0,0.0,1,0.0556,0.1786,0.2143,0.3035,,,,,,0,0,,18,38,0,attempt,0,"false because they failed to disclose the extent of UBS’s exposure to risky, illiquid assets, including its multi-billion dollar positions in super senior CDOs, and because they failed to disclose that UBS’s risk management systems were deficient.",material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,0,0,0.0,1,0.0476,0.1364,0.2273,0.3146,,,,,,0,0,,21,23,0,attempt,0,"a direct link between the suppression of LIBOR and the terms of their SWAP agreements, and that this link caused them economic injury.","uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
