case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,recall,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q01,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,recalled,0,5,1.0,5,1.0,0.7143,0.7143,0.7229,,,,,,0,0,,5,9,0,attempt,0,United States Court of Appeals for the Second Circuit,United States Court of Appeals
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,recalled,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,A,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,recalled,0,0,0.0,1,0.3333,0.3333,0.3333,0.381,,,,,,0,0,,3,3,0,attempt,0,"May 6, 2014",2014-05-06
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,0,0,,22,0,0,empty,0,,"SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,inferred,0,1,0.0385,2,0.0769,0.1887,0.2642,0.1637,,,,,,0,0,,26,27,0,attempt,0,we address whether Morrison v. National Australia Bank precludes claims based on purchases of UBS ordinary shares on foreign exchanges notwithstanding UBS's cross-listing on the NYSE.,"we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,inferred,0,0,0.0,4,0.1667,0.2857,0.381,0.4176,,,,,,0,0,,24,18,0,attempt,0,"read in isolation, supports plaintiffs' theory, read in context, it cannot bear the weight plaintiffs place on it.","which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,inferred,0,0,0.0,1,0.0417,0.0889,0.2222,0.3077,,,,,,0,0,,24,21,0,attempt,0,for the proposition that a securities transaction is domestic if irrevocable liability is incurred or title passes in the United States.,"in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,inferred,0,2,0.1176,2,0.1176,0.2941,0.3529,0.332,,,,,,0,0,,17,17,0,attempt,0,no requirement that the purchase or sale occur on a domestic exchange; Morrison compels the opposite conclusion.,"no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,inferred,0,0,0.0,1,0.0556,0.1081,0.1622,0.3264,,,,,,0,0,,18,19,0,attempt,0,materially false and misleading because UBS was then engaged in an illegal tax-evasion scheme involving U.S. clients.,material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,inferred,0,0,0.0,1,0.0476,0.1,0.1,0.3609,,,,,,0,0,,21,19,0,attempt,0,"undisclosed illegal conduct by UBS in facilitating tax evasion, but there is no duty to disclose uncharged, unadjudicated wrongdoing.","uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
