case_id,qid,work,arm,date_filed,jurisdiction,model,condition,trunc_n,n_prefix_tokens,n_suffix_tokens,logp_sum,logp_per_token,p_geomean,min_token_logprob,n_tokens_below_1e3,first_break_index,align_warning
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-33.725299,-3.37253,0.03430274,-6.59631,0,5,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,11,-34.599161,-3.145378,0.04305063,-6.59631,0,5,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,11,-34.599161,-3.145378,0.04305063,-6.59631,0,5,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,11,-34.599161,-3.145378,0.04305063,-6.59631,0,5,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-46.065913,-4.606591,0.0099858,-8.483389,4,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,11,-47.91151,-4.355592,0.01283484,-8.483389,4,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,11,-47.91151,-4.355592,0.01283484,-8.483389,4,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,11,-47.91151,-4.355592,0.01283484,-8.483389,4,1,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-20.851081,-2.085108,0.12429368,-5.879796,0,6,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,11,-21.519418,-1.956311,0.14137905,-5.879796,0,6,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,11,-21.519418,-1.956311,0.14137905,-5.879796,0,6,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,11,-21.519418,-1.956311,0.14137905,-5.879796,0,6,
cl_2026_dcd_in_re_non_party_deposition_subpoena,Q08,cl_2026_dcd_in_re_non_party_deposition_subpoena,post_cutoff_control,2026-07-31,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-26.889745,-2.688974,0.06795059,-8.810852,2,9,
cl_2026_dcd_in_re_non_party_deposition_subpoena,Q08,cl_2026_dcd_in_re_non_party_deposition_subpoena,post_cutoff_control,2026-07-31,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,11,-28.014491,-2.546772,0.07833413,-8.810852,2,9,
cl_2026_dcd_in_re_non_party_deposition_subpoena,Q08,cl_2026_dcd_in_re_non_party_deposition_subpoena,post_cutoff_control,2026-07-31,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,11,-28.014491,-2.546772,0.07833413,-8.810852,2,9,
cl_2026_dcd_in_re_non_party_deposition_subpoena,Q08,cl_2026_dcd_in_re_non_party_deposition_subpoena,post_cutoff_control,2026-07-31,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,11,-28.014491,-2.546772,0.07833413,-8.810852,2,9,
cl_2026_ca9_pover_v_the_capital_group_companies_inc,Q08,cl_2026_ca9_pover_v_the_capital_group_companies_inc,post_cutoff_control,2026-07-30,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,7,10,-20.483628,-2.048363,0.12894585,-5.375593,0,0,
cl_2026_ca9_pover_v_the_capital_group_companies_inc,Q08,cl_2026_ca9_pover_v_the_capital_group_companies_inc,post_cutoff_control,2026-07-30,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,7,17,-27.771593,-1.633623,0.19522098,-5.375593,0,0,
cl_2026_ca9_pover_v_the_capital_group_companies_inc,Q08,cl_2026_ca9_pover_v_the_capital_group_companies_inc,post_cutoff_control,2026-07-30,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,7,17,-27.771593,-1.633623,0.19522098,-5.375593,0,0,
cl_2026_ca9_pover_v_the_capital_group_companies_inc,Q08,cl_2026_ca9_pover_v_the_capital_group_companies_inc,post_cutoff_control,2026-07-30,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,7,17,-27.771593,-1.633623,0.19522098,-5.375593,0,0,
cl_2026_ca4_in_re_the_boeing_company,Q12,cl_2026_ca4_in_re_the_boeing_company,post_cutoff_control,2026-07-20,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-33.844842,-3.384484,0.03389512,-7.949589,3,1,
cl_2026_ca4_in_re_the_boeing_company,Q12,cl_2026_ca4_in_re_the_boeing_company,post_cutoff_control,2026-07-20,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,11,-34.251388,-3.113763,0.04443346,-7.949589,3,1,
cl_2026_ca4_in_re_the_boeing_company,Q12,cl_2026_ca4_in_re_the_boeing_company,post_cutoff_control,2026-07-20,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,11,-34.251388,-3.113763,0.04443346,-7.949589,3,1,
cl_2026_ca4_in_re_the_boeing_company,Q12,cl_2026_ca4_in_re_the_boeing_company,post_cutoff_control,2026-07-20,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,11,-34.251388,-3.113763,0.04443346,-7.949589,3,1,
cl_2020_dcd_ghadami_v._united_states_department,Q07,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,14,10,-11.434057,-1.143406,0.31873167,-2.310812,0,1,
cl_2020_dcd_ghadami_v._united_states_department,Q07,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,14,11,-13.193864,-1.199442,0.30136226,-2.310812,0,1,
cl_2020_dcd_ghadami_v._united_states_department,Q07,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,14,11,-13.193864,-1.199442,0.30136226,-2.310812,0,1,
cl_2020_dcd_ghadami_v._united_states_department,Q07,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,14,11,-13.193864,-1.199442,0.30136226,-2.310812,0,1,
cl_2020_dcd_ghadami_v._united_states_department,Q09,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,14,10,-32.192082,-3.219208,0.03998671,-5.355496,0,9,
cl_2020_dcd_ghadami_v._united_states_department,Q09,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,14,11,-37.226671,-3.384243,0.0339033,-5.355496,0,9,
cl_2020_dcd_ghadami_v._united_states_department,Q09,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,14,11,-37.226671,-3.384243,0.0339033,-5.355496,0,9,
cl_2020_dcd_ghadami_v._united_states_department,Q09,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,14,11,-37.226671,-3.384243,0.0339033,-5.355496,0,9,
cl_2020_dcd_ghadami_v._united_states_department,Q12,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,14,10,-23.222821,-2.322282,0.09804957,-4.721191,0,1,
cl_2020_dcd_ghadami_v._united_states_department,Q12,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,14,11,-23.384582,-2.125871,0.11932898,-4.721191,0,1,
cl_2020_dcd_ghadami_v._united_states_department,Q12,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,14,11,-23.384582,-2.125871,0.11932898,-4.721191,0,1,
cl_2020_dcd_ghadami_v._united_states_department,Q12,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,2020-03-19,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,14,11,-23.384582,-2.125871,0.11932898,-4.721191,0,1,
cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,Q12,cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,post_cutoff_control,2026-07-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,7,10,-26.516194,-2.651619,0.0705369,-8.521681,2,1,
