case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,2,0.0769,3,0.1154,0.2647,0.2941,0.2961,,,,,,0,0,,26,42,0,attempt,0,"we consider the application of the Supreme Court’s decision in Morrison v. National Australia Bank Ltd., 561 U.S. 247 (2010), to claims asserted by foreign and domestic purchasers of UBS ordinary shares, and we affirm the judgment of the District Court.","we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,4,0.1667,0.24,0.32,0.323,,,,,,0,0,,24,51,0,attempt,0,"read in isolation, might be understood to support plaintiffs’ “listing theory,” the Supreme Court’s opinion, read as a whole, makes clear that the first prong of Morrison covers only transactions that occur on domestic exchanges, not all transactions in securities that just happen to be cross-listed on a domestic exchange.","which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,2,0.0833,0.1217,0.2087,0.1102,,,,,,0,0,,24,91,0,attempt,0,"for the proposition that a transaction is domestic if irrevocable liability is incurred in the United States, and argues that because it placed its buy order here, it incurred such liability. Even assuming that Absolute Activist’s domestic-transaction test applies to purchases executed on foreign exchanges, OPEB’s allegations are insufficient. The mere placement of a buy order in the United States for the purchase of foreign securities on a foreign exchange, standing alone, does not establish that irrevocable liability was incurred in the United States or that title was transferred here.","in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0588,0.0606,0.1818,0.2321,,,,,,0,0,,17,16,0,attempt,0,"a duty to disclose uncharged wrongdoing,"" we have consistently held that there is no such duty.","no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.1151,,,,,,0,0,,18,3,0,attempt,0,not mere puffery.,material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0476,0.04,0.04,0.2539,,,,,,0,0,,21,29,0,attempt,0,"ongoing illegal activity in UBS’s cross-border U.S. private banking business, but we have consistently held that companies do not have a duty to disclose uncharged, unadjudicated wrongdoing.","uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q16,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.1561,0.0,3,0.0,6,3,0,0,,32,3,0,attempt,0,"BACKGROUND
DISCUSSION
CONCLUSION",A. The CDO/RMBS Fraud | B. The Tax Fraud | C. Procedural History | B. Securities Act Claims | C. Claims Under Section 10(b) of the Exchange Act | D. Denial of Leave to Amend
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q17,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0192,0.0323,0.0323,0.1276,,,,,,0,1,,52,10,0,attempt,0,"The facts, as alleged in the complaint, are as follows.","Plaintiffs allege that UBS accumulated and overvalued $100 billion in residential mortgage backed securities (“RMBS”) and collateralized debt obligations (“CDOs” and, together with RMBS, “mortgage‐related assets”)7 between February 13, 2006 and April 21, 2008, without disclosing this to shareholders and in contravention of its representations regarding its risk management policies."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q19,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.1241,,,,,,0,0,,40,4,0,attempt,0,except for Part III.,"only insofar as “the purchased securities are listed only on a few foreign exchanges, none of which has registered with the [SEC]. . . [and] the relevant purchases of these unregistered securities took place entirely in Australia and involved only Australian investors.”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q21,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0476,0.0976,0.0976,0.2764,,,,,,0,0,,21,20,0,attempt,0,"On appeal, plaintiffs renew the argument and contend Morrison permits their claims; we disagree and affirm the judgment dismissing them.","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
