case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,recall,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q01,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,recalled,0,5,1.0,5,1.0,0.7143,0.7143,0.7229,,,,,,0,0,,5,9,0,attempt,0,United States Court of Appeals for the Second Circuit,United States Court of Appeals
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,recalled,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,recalled,0,0,0.0,1,0.3333,0.3333,0.3333,0.381,,,,,,0,0,,3,3,0,attempt,0,"May 6, 2014",2014-05-06
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,inferred,0,1,0.0455,2,0.0909,0.1905,0.1905,0.3923,,,,,,0,0,,22,20,0,attempt,0,"SUTER, CLIVE STANDISH, WALTER STUERZINGER, JOHN CRYAN, JERKER JOHANSSON, RAOUL WEIL, Defendants-Appellees. Before: JACOBS, LIVINGSTON, and LOHIER, Circuit Judges.","SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,recalled,0,2,0.0769,2,0.0769,0.1961,0.2353,0.4255,,,,,,0,0,,26,25,0,attempt,0,we consider whether the District Court properly dismissed plaintiffs' securities fraud claims against UBS AG and several of its current and former officers and directors.,"we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,recalled,0,0,0.0,1,0.0417,0.1224,0.1633,0.3144,,,,,,0,0,,24,25,0,attempt,0,"is somewhat more specific than the statements at issue in ECA, it is nonetheless too general to cause a reasonable investor to rely upon it.","which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,inferred,0,0,0.0,1,0.0417,0.1633,0.2449,0.2761,,,,,,0,0,,24,25,0,attempt,0,to argue that its allegation that it placed a buy order in the United States is sufficient to establish irrevocable liability in the United States.,"in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,inferred,0,2,0.1176,2,0.1176,0.3529,0.4706,0.2712,,,,,,0,0,,17,17,0,attempt,0,"no requirement that a plaintiff plead the exact words of the alleged misstatement in the amended complaint,","no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,inferred,0,0,0.0,2,0.1111,0.1143,0.1714,0.3391,,,,,,0,0,,18,17,0,attempt,0,"actionable because they were materially false and misleading when made, and that the district court erred in",material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-3.1-pro-preview,2025-01-31,inferred,0,0,0.0,1,0.0476,0.0488,0.0488,0.3953,,,,,,0,0,,21,20,0,attempt,0,"a material misstatement or omission, but they have failed to allege facts giving rise to a strong inference of scienter.","uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
