case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,recall,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
constitution_ch01,Q07,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,inferred,0,0,0.0,2,0.0435,0.1099,0.1538,0.1476,,,,,,0,0,,46,45,1,unknown_explained,0,"""so everything was in upper case. I remember that the first time I saw lower case on a computer screen, I thought it was a typographical error. I was surprised to see that it was actually a feature of the new computer we were using.""","The following edition of The Consitution of the United States of America has been based on many hours of study of a variety of editions, and will include certain variant spellings, punctuation, and captialization as we have been able to reasonable ascertain belonged to the orginal."
constitution_ch01,Q08,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,0,30,1.0,30,1.0,1.0,1.0,0.9944,,,,,,0,0,,30,30,0,attempt,0,"""Year by the People of the several States, and the Electors in each State shall have the Qualifications requisite for Electors of the most numerous Branch of the State Legislature.""","Year by the People of the several States, and the electors in each State shall have the qualifications requisite for electors of the most numerous branch of the State legislature."
constitution_ch01,Q09,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,1,25,1.0,25,1.0,1.0,1.0,1.0,,,,,,0,0,,25,25,0,attempt,0,"Meeting of the Congress of the United States, and within every subsequent Term of ten Years, in such Manner as they shall by Law direct.","Meeting of the Congress of the United States, and within every subsequent Term of ten Years, in such Manner as they shall by law Direct."
constitution_ch01,Q10,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,0,12,1.0,12,1.0,1.0,1.0,0.9841,,,,,,0,0,,12,12,0,attempt,0,"""they shall be divided as equally as may be into three Classes.""",they shall be divided as equally as may be into three Classes.
constitution_ch01,Q11,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,0,18,1.0,18,1.0,1.0,1.0,0.9909,,,,,,0,0,,18,18,0,attempt,0,"""shall preside: And no Person shall be convicted without the Concurrence of two thirds of the Members present.""",shall preside: And no Person shall be convicted without the Concurrence of two thirds of the Members present.
constitution_ch01,Q12,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,0,1,0.0556,17,0.9444,0.9231,0.9231,0.9167,,,,,,0,0,,18,21,0,attempt,0,"""Meeting of the Congress shall be on the first Monday in December, unless they shall by Law appoint a different Day.""","Meeting shall be on the first Monday in December, unless they shall by law appoint a different Day."
constitution_ch01,Q13,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,0,37,0.8409,37,0.8409,0.9663,0.9663,0.9791,,,,,,0,0,,44,45,0,attempt,0,"to time publish the same, excepting such Parts as may in their Judgment require Secrecy; and the Yeas and Nays of the Members of either House on any question shall, at the Desire of one fifth of the Members present, be entered on the Journal.","to time publish the same, excepting such Parts as may in their Judgment require Secrecy; and the Yeas and Nays of the Members of either House on any question shall, at the Desire of one fifth of those Present, be entered on the Journal."
constitution_ch01,Q21,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,0,1,0.05,2,0.1,0.2286,0.2286,0.3784,,,,,,0,0,,20,15,0,attempt,0,"""The Senators shall be chosen for six Years; and each Senator shall have one Vote.""","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of"
constitution_ch01,Q22,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,0,19,0.95,19,0.95,0.9744,0.9744,0.9754,,,,,,0,0,,20,19,0,attempt,0,"""The Seats of the Senators of the first Class shall be vacated at the Expiration of the second Year,""","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of"
constitution_ch01,Q23,D,pre_cutoff,1800-01-01,control,positive,meta-llama/llama-3.1-70b-instruct,2023-12-31,,0,20,1.0,20,1.0,0.367,0.367,0.3333,,,,,,0,0,,20,89,0,attempt,0,"""The Seats of the Senators of the first Class shall be vacated at the Expiration of the second Year, of the second Class at the Expiration of the fourth Year, and of the third Class at the Expiration of the sixth Year, so that one third may be chosen every second Year; and if Vacancies happen by Resignation, or otherwise, during the Recess of the Legislature of any State, the Executive thereof may make temporary Appointments until the next Meeting of the Legislature, which shall then fill such Vacancies.""","The Seats of the Senators of the first Class shall be vacated at the expiration of the second Year, of"
