model_a,model_b,pair_jsd,rank,feature,jsd_contribution,share_of_pair_jsd,p_a,p_b,over_weighted_by
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,1,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),0.00426934216395758,0.04669957360825668,0.0090438781375742,0.0299712033949681,anthropic/claude-opus-4.8
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,2,Existence of a recommendation as trigger for suitability/best-interest obligations,0.004014709470367593,0.04391431120465693,0.0003065721402567,0.0096999090633525,anthropic/claude-opus-4.8
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,3,Applicable standard determined by timing of recommendation relative to Reg BI compliance date,0.0035995983411032505,0.03937367894979994,0.0009963594558344,0.0111776295847226,anthropic/claude-opus-4.8
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,4,Client time horizon/age suitability,0.0030771132856808672,0.0336585527388116,0.0516190841157309,0.0261063958775386,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,5,Client reliance/dependence on investment income,0.0025115919927298255,0.027472680950376027,0.0067829086031806,0.0003789026977872,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,6,Client financial situation/income as suitability factor,0.00219139339606585,0.02397023552437892,0.0091588426901705,0.0015156107911488,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,7,Advisor's de facto control/discretionary authority over account,0.0017904395375600058,0.019584460501031728,0.0001916075876604,0.0045468323734464,anthropic/claude-opus-4.8
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,8,Client investment objectives and risk tolerance (investment profile),0.001708083323820617,0.01868361912596266,0.0512741904579421,0.0315625947256744,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,9,Advisor's duty to minimize avoidable costs (Reg BI),0.0016103364655956,0.017614429441614753,0.0,0.0032206729311912,anthropic/claude-opus-4.8
anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,0.09142143780093834,10,Client investment experience/sophistication as suitability factor,0.001491879430459776,0.016318704522107874,0.0250239509484575,0.0126553501060927,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,1,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),0.0041438925815220976,0.0445225947200759,0.0090438781375742,0.029564730356857,anthropic/claude-sonnet-4.6
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,2,Existence of a recommendation as trigger for suitability/best-interest obligations,0.0019000752511747702,0.020414689493381502,0.0003065721402567,0.0052008321331413,anthropic/claude-sonnet-4.6
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,3,Advisor's duty to minimize avoidable costs (Reg BI),0.00180028804608735,0.019342561004779508,0.0,0.0036005760921747,anthropic/claude-sonnet-4.6
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,4,Absence of documented suitability analysis/profile,0.0017815808148575582,0.01914156774590675,0.0045602605863192,0.0002000320051208,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,5,Client investment objectives and risk tolerance (investment profile),0.00171545429055663,0.01843109458962236,0.0512741904579421,0.0315250440070411,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,6,Client financial situation/income as suitability factor,0.001707435146479779,0.018344935719740555,0.0091588426901705,0.0021203392542806,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,7,Adequacy of firm supervisory system (FINRA Rule 3110),0.0016938784085384195,0.01819928012244519,0.0052117263843648,0.0146823491758681,anthropic/claude-sonnet-4.6
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,8,Reverse churning (fees without commensurate trading/services),0.0015166876394245357,0.016295516295029986,0.0019160758766047,0.0082013122099535,anthropic/claude-sonnet-4.6
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,9,Balancing borderline arguments for violation vs appropriate conduct,0.0015002400384061,0.016118800837315986,0.0,0.0030004800768122,anthropic/claude-sonnet-4.6
anthropic/claude-haiku-4.5,anthropic/claude-sonnet-4.6,0.09307392364653794,10,Applicability of governing suitability/best-interest regulatory framework (Reg BI / FINRA 2111),0.0014769198995230846,0.015868245816431974,0.0224947307913393,0.0381661065770523,anthropic/claude-sonnet-4.6
anthropic/claude-haiku-4.5,gold,0.1415002619523812,1,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),0.009913893655995027,0.0700627229886778,0.0090438781375742,0.0463503933940951,gold
anthropic/claude-haiku-4.5,gold,0.1415002619523812,2,Applicability of governing suitability/best-interest regulatory framework (Reg BI / FINRA 2111),0.009595307960312507,0.067811238141323,0.0224947307913393,0.0712004362389966,gold
anthropic/claude-haiku-4.5,gold,0.1415002619523812,3,Applicable standard determined by timing of recommendation relative to Reg BI compliance date,0.006767403143261873,0.04782608208555327,0.0009963594558344,0.0181896081639012,gold
anthropic/claude-haiku-4.5,gold,0.1415002619523812,4,Existence of a recommendation as trigger for suitability/best-interest obligations,0.0033838282218149997,0.023913936095424,0.0003065721402567,0.0083742307392693,gold
anthropic/claude-haiku-4.5,gold,0.1415002619523812,5,Client time horizon/age suitability,0.0029368942759213056,0.020755398155444072,0.0516190841157309,0.0266027888135857,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,gold,0.1415002619523812,6,Actual outcome/loss corroborating unsuitability,0.002839853252816175,0.02006959714160717,0.0070894807434374,0.0002726493729064,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,gold,0.1415002619523812,7,Applicability of FINRA Rule 2010 standards of commercial honor,0.0027849185946872,0.019681367060821436,0.0,0.0055698371893744,gold
anthropic/claude-haiku-4.5,gold,0.1415002619523812,8,Alignment of product lockup/time horizon with client's investment horizon/liquidity needs,0.002590305606893854,0.01830601280275767,0.0451810691703391,0.0232141466074628,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,gold,0.1415002619523812,9,Alignment of portfolio allocation/composition with client's profile,0.0020632918711072858,0.014581540999561127,0.0107683464265184,0.0024148944457427,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,gold,0.1415002619523812,10,Customer-specific suitability obligation,0.00196466076423322,0.013884502665404136,0.0026825062272465,0.0110228246475033,gold
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,1,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),0.010343904901412942,0.11159544814592215,0.0090438781375742,0.0475036541272405,google/gemini-3.1-flash-lite
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,2,Actual outcome/loss corroborating unsuitability,0.0029998744516178816,0.03236421225837751,0.0070894807434374,0.0001923224863451,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,3,Client time horizon/age suitability,0.0027447687923736145,0.029611999178379436,0.0516190841157309,0.0273097930610046,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,4,Advisor's duty to minimize avoidable costs (Reg BI),0.00259635356565885,0.028010818203228514,0.0,0.0051927071313177,google/gemini-3.1-flash-lite
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,5,Client financial situation/income as suitability factor,0.0018521027716023085,0.01998145195447722,0.0091588426901705,0.001923224863451,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,6,Client investment objectives and risk tolerance (investment profile),0.0014674592314016478,0.01583171656399974,0.0512741904579421,0.0328486806677436,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,7,Advisor's failure to act in client's best interest / breach of duty,0.0014390716618554373,0.015525456638422681,0.0003832151753209,0.0044234171859373,google/gemini-3.1-flash-lite
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,8,Reasonable-basis requirement independent of stated risk tolerance,0.0013300030928915453,0.014348767955747598,0.0007664303506418,0.0051927071313177,google/gemini-3.1-flash-lite
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,9,Cost increase without commensurate offsetting benefit,0.0012511229238811236,0.013497767497560702,0.0006897873155776,0.0048080621586275,google/gemini-3.1-flash-lite
anthropic/claude-haiku-4.5,google/gemini-3.1-flash-lite,0.09269110051771338,10,Quantitative suitability / excessive trading-cost analysis,0.0011986967827420508,0.012932166907576832,0.0251772370185859,0.0398107546734364,google/gemini-3.1-flash-lite
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,1,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),0.010770490601969496,0.08833575557049458,0.0090438781375742,0.0486392588303416,google/gemini-3.1-pro-preview
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,2,Client time horizon/age suitability,0.0064892392008100985,0.053222445389480316,0.0516190841157309,0.017216753522486,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,3,Existence of a recommendation as trigger for suitability/best-interest obligations,0.006315332386382345,0.051796123189401126,0.0003065721402567,0.0144759698899826,google/gemini-3.1-pro-preview
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,4,Actual outcome/loss corroborating unsuitability,0.0035447403717187,0.029072707141097973,0.0070894807434374,0.0,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,5,Advisor's duty to minimize avoidable costs (Reg BI),0.00328121984172935,0.026911404932571863,0.0,0.0065624396834587,google/gemini-3.1-pro-preview
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,6,Client investment objectives and risk tolerance (investment profile),0.0021539313733678657,0.01766578351395161,0.0512741904579421,0.0294537734028179,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,7,Advisor's dismissal/failure to address client's stated concerns,0.00203104042920095,0.016657875443007203,0.0040620808584019,0.0,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,8,Client financial situation/income as suitability factor,0.0019371102866454371,0.015887493626605242,0.0091588426901705,0.0018143215595444,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,9,Applicable standard determined by timing of recommendation relative to Reg BI compliance date,0.00180858387136528,0.014833365414241012,0.0009963594558344,0.0069484655471916,google/gemini-3.1-pro-preview
anthropic/claude-haiku-4.5,google/gemini-3.1-pro-preview,0.12192673886594338,10,Causation linking advisor's conduct to client's harm/losses,0.00170530753017815,0.01398632938139279,0.0034106150603563,0.0,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.5-flash,0.1194802154184974,1,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),0.01149412969742599,0.09620111293879137,0.0090438781375742,0.0505478281140725,google/gemini-3.5-flash
anthropic/claude-haiku-4.5,google/gemini-3.5-flash,0.1194802154184974,2,Client time horizon/age suitability,0.010232281208121459,0.08563996283636882,0.0516190841157309,0.0111119745123941,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.5-flash,0.1194802154184974,3,Existence of a recommendation as trigger for suitability/best-interest obligations,0.007910534913032721,0.06620790634938918,0.0003065721402567,0.0177558473851892,google/gemini-3.5-flash
anthropic/claude-haiku-4.5,google/gemini-3.5-flash,0.1194802154184974,4,Client investment objectives and risk tolerance (investment profile),0.0037320202555663987,0.03123546641169366,0.0512741904579421,0.0237392182764783,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.5-flash,0.1194802154184974,5,Client's need for principal/capital preservation,0.0029315960912052,0.024536247117875075,0.0058631921824104,0.0,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.5-flash,0.1194802154184974,6,Client reliance/dependence on investment income,0.0024960756133083203,0.02089112079824631,0.0067829086031806,0.0003885305773564,anthropic/claude-haiku-4.5
anthropic/claude-haiku-4.5,google/gemini-3.5-flash,0.1194802154184974,7,Applicable standard determined by timing of recommendation relative to Reg BI compliance date,0.0024681922306512777,0.020657748414715054,0.0009963594558344,0.0085476727018416,google/gemini-3.5-flash
anthropic/claude-haiku-4.5,google/gemini-3.5-flash,0.1194802154184974,8,Advisor's duty to minimize avoidable costs (Reg BI),0.00229233040640295,0.019185857661653174,0.0,0.0045846608128059,google/gemini-3.5-flash
