dataset,model,case_id,qid,category
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q01,attempt
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q03,attempt
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q16,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q17,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q19,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q21,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q22,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q23,unknown_bare
court,Claude Opus 4,cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q24,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q01,attempt
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q02,attempt
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q03,attempt
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q04,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q07,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q08,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q09,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q10,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q11,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q12,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q13,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q14,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q16,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q17,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q19,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q20,unknown_explained
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q21,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q22,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q23,unknown_bare
court,Claude Opus 4,cl_2014_ca2_sec_v._contorinis,Q24,unknown_explained
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q01,attempt
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q02,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q03,attempt
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q04,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q07,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q08,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q09,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q10,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q11,attempt
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q12,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q13,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q14,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q16,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q17,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q19,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q20,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q21,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q22,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q23,unknown_bare
court,Claude Opus 4,cl_2014_ca9_john_loos_v._immersion_corporation,Q24,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q01,attempt
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q02,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q03,attempt
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q04,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q07,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q08,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q09,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q10,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q11,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q12,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q13,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q14,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q16,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q17,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q19,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q20,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q21,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q22,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q23,unknown_bare
court,Claude Opus 4,cl_2015_ca5_state_of_texas_v._usa,Q24,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q01,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q02,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q03,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q04,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q07,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q08,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q09,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q10,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q11,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q12,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q13,unknown_bare
