case_id,qid,work,arm,date_filed,jurisdiction,model,condition,trunc_n,n_prefix_tokens,n_suffix_tokens,logp_sum,logp_per_token,p_geomean,min_token_logprob,n_tokens_below_1e3,first_break_index,align_warning
cl_2021_ca2_people_of_the_state_of_new_york_v._,CTL0105,cl_2021_ca2_people_of_the_state_of_new_york_v._,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,60,17,-34.810278,-2.047663,0.12903606,-8.519208,1,15,
cl_2021_ca2_people_of_the_state_of_new_york_v._,CTL0105,cl_2021_ca2_people_of_the_state_of_new_york_v._,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,60,17,-34.810278,-2.047663,0.12903606,-8.519208,1,15,
cl_2021_ca2_people_of_the_state_of_new_york_v._,CTL0104,cl_2021_ca2_people_of_the_state_of_new_york_v._,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,66,23,-33.7516,-1.467461,0.23051004,-5.441218,0,14,
cl_2021_ca2_people_of_the_state_of_new_york_v._,CTL0104,cl_2021_ca2_people_of_the_state_of_new_york_v._,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,66,23,-33.7516,-1.467461,0.23051004,-5.441218,0,14,
cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,CTL0066,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,60,25,-55.443709,-2.217748,0.10885393,-10.891664,2,15,
cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,CTL0066,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,60,31,-80.450388,-2.595174,0.0746329,-14.009787,3,28,
cl_2021_ca2_people_of_the_state_of_new_york_v._,CTL0103,cl_2021_ca2_people_of_the_state_of_new_york_v._,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,73,18,-36.482139,-2.026786,0.13175838,-5.207142,0,16,
cl_2021_ca2_people_of_the_state_of_new_york_v._,CTL0103,cl_2021_ca2_people_of_the_state_of_new_york_v._,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,73,18,-36.482139,-2.026786,0.13175838,-5.207142,0,16,
cl_2015_ca2_in_re_kingate_management_limited_li,CTL0143,cl_2015_ca2_in_re_kingate_management_limited_li,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,64,25,-48.047327,-1.921893,0.14632969,-9.980394,2,1,
cl_2015_ca2_in_re_kingate_management_limited_li,CTL0143,cl_2015_ca2_in_re_kingate_management_limited_li,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,64,28,-56.669608,-2.023915,0.13213719,-9.980394,2,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,CTL0161,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,57,25,-65.957763,-2.638311,0.07148194,-8.126724,2,23,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,CTL0161,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,57,35,-94.194976,-2.691285,0.06779377,-8.126724,2,23,
cl_2021_ca2_sacerdote_v._new_york_university,CTL0049,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,54,25,-49.332654,-1.973306,0.13899655,-5.47057,0,10,
cl_2021_ca2_sacerdote_v._new_york_university,CTL0049,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,54,40,-92.90733,-2.322683,0.09801025,-19.005632,1,25,
cl_2015_ca2_in_re_kingate_management_limited_li,CTL0142,cl_2015_ca2_in_re_kingate_management_limited_li,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,64,25,-81.725494,-3.26902,0.0380437,-14.002456,4,11,
cl_2015_ca2_in_re_kingate_management_limited_li,CTL0142,cl_2015_ca2_in_re_kingate_management_limited_li,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,64,30,-87.320888,-2.910696,0.05443781,-14.002456,4,11,
cl_2015_ca2_in_re_kingate_management_limited_li,TGT0048,cl_2015_ca2_in_re_kingate_management_limited_li,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,69,25,-6.640689,-0.265628,0.76672462,-2.475237,0,19,
cl_2015_ca2_in_re_kingate_management_limited_li,TGT0048,cl_2015_ca2_in_re_kingate_management_limited_li,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,69,25,-6.640689,-0.265628,0.76672462,-2.475237,0,19,
cl_2021_ca2_united_states_v._reichberg,CTL0097,cl_2021_ca2_united_states_v._reichberg,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,57,25,-69.415215,-2.776609,0.06224926,-8.297009,3,20,
cl_2021_ca2_united_states_v._reichberg,CTL0097,cl_2021_ca2_united_states_v._reichberg,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,57,39,-98.273756,-2.51984,0.08047249,-9.59943,4,26,
cl_2014_ca2_city_of_pontiac_v._ubs_ag,CTL0149,cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,64,25,-32.405916,-1.296237,0.27355936,-5.355762,0,15,
cl_2014_ca2_city_of_pontiac_v._ubs_ag,CTL0149,cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,64,33,-49.845588,-1.510472,0.22080565,-5.522162,0,30,
cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,CTL0013,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,67,25,-23.942533,-0.957701,0.38377405,-5.701455,0,20,
cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,CTL0013,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,67,31,-31.091479,-1.002951,0.36679545,-5.701455,0,20,
cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,CTL0038,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,61,25,-60.396684,-2.415867,0.08928986,-8.228769,1,0,
cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,CTL0038,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,61,37,-76.239379,-2.060524,0.12738723,-8.228769,1,0,
cl_2014_ca2_city_of_pontiac_v._ubs_ag,CTL0070,cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,25,66,25,-22.844596,-0.913784,0.40100402,-5.45205,0,10,
cl_2014_ca2_city_of_pontiac_v._ubs_ag,CTL0070,cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,,,meta-llama/Llama-3.1-70B,raw,full,66,32,-23.045718,-0.720179,0.48666529,-5.45205,0,10,
cl_2025_ca2_collins_v._ne._grocery_llc,FLR0132,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,,,meta-llama/Llama-3.1-70B,raw,25,55,25,-55.265742,-2.21063,0.10963159,-12.236028,2,1,
