direction,feature,family,case,scored_model,zero_model,scored_importance,coding,note
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,standard:30,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,50,element,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Anthropic,standard:95,anthropic/claude-opus-4.8,anthropic/claude-haiku-4.5,45,element,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),OpenAI,adversarial:4,openai/gpt-5.5,openai/gpt-5.4-mini,42,,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),OpenAI,adversarial:19,openai/gpt-5.5,openai/gpt-5.4-mini,35,,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Qwen,borderline:90,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-9b,30,frame,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),OpenAI,adversarial:99,openai/gpt-5.5,for,30,,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,standard:90,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,30,,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,standard:66,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,30,,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,standard:64,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,30,,
frontier_more,Advisor's fiduciary/best-interest duty standard (Reg BI/FINRA 2111),Gemini,standard:62,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,30,,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,Gemini,adversarial:32,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,90,absent,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,OpenAI,adversarial:46,openai/gpt-5.5,openai/gpt-5.4-mini,55,,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,Gemini,adversarial:34,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,55,absent,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,Gemini,adversarial:96,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,50,,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,Gemini,adversarial:68,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,50,,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,Anthropic,adversarial:52,anthropic/claude-opus-4.8,anthropic/claude-haiku-4.5,50,,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,OpenAI,adversarial:14,openai/gpt-5.5,openai/gpt-5.4-mini,45,,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,OpenAI,adversarial:94,openai/gpt-5.5,openai/gpt-5.4-mini,40,,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,Gemini,adversarial:76,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,40,,
frontier_more,Existence of a recommendation as trigger for suitability/best-interest obligations,Anthropic,adversarial:80,anthropic/claude-opus-4.8,anthropic/claude-haiku-4.5,33,,
frontier_more,Client initiated/solicited the transaction (unsolicited),Gemini,adversarial:52,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,60,,
frontier_more,Client initiated/solicited the transaction (unsolicited),OpenAI,adversarial:76,openai/gpt-5.5,openai/gpt-5.4-mini,55,,
frontier_more,Client initiated/solicited the transaction (unsolicited),Gemini,adversarial:27,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,50,,
frontier_more,Client initiated/solicited the transaction (unsolicited),OpenAI,adversarial:59,openai/gpt-5.5,openai/gpt-5.4-mini,40,,
frontier_more,Client initiated/solicited the transaction (unsolicited),Gemini,adversarial:92,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,40,,
frontier_more,Client initiated/solicited the transaction (unsolicited),Gemini,adversarial:48,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,40,,
frontier_more,Client initiated/solicited the transaction (unsolicited),Gemini,adversarial:46,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,40,,
frontier_more,Client initiated/solicited the transaction (unsolicited),Anthropic,adversarial:82,anthropic/claude-opus-4.8,anthropic/claude-haiku-4.5,40,,
frontier_more,Client initiated/solicited the transaction (unsolicited),Qwen,adversarial:40,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-9b,30,,
frontier_more,Client initiated/solicited the transaction (unsolicited),Gemini,adversarial:94,google/gemini-3.1-pro-preview,google/gemini-3.1-flash-lite,30,,
small_more,Client investment objectives and risk tolerance (investment profile),Qwen,standard:37,qwen/qwen3.5-9b,qwen/qwen3.5-397b-a17b,50,,
small_more,Client investment objectives and risk tolerance (investment profile),Qwen,adversarial:2,qwen/qwen3.5-9b,qwen/qwen3.5-397b-a17b,45,,
small_more,Client investment objectives and risk tolerance (investment profile),Anthropic,adversarial:47,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,45,,
small_more,Client investment objectives and risk tolerance (investment profile),Qwen,standard:6,qwen/qwen3.5-9b,qwen/qwen3.5-397b-a17b,40,,
small_more,Client investment objectives and risk tolerance (investment profile),Gemini,redflags:29,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,40,,
small_more,Client investment objectives and risk tolerance (investment profile),Anthropic,standard:53,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,40,,
small_more,Client investment objectives and risk tolerance (investment profile),Qwen,standard:95,qwen/qwen3.5-9b,qwen/qwen3.5-397b-a17b,35,,
small_more,Client investment objectives and risk tolerance (investment profile),Qwen,adversarial:69,qwen/qwen3.5-9b,qwen/qwen3.5-397b-a17b,35,,
small_more,Client investment objectives and risk tolerance (investment profile),OpenAI,standard:41,openai/gpt-5.4-mini,openai/gpt-5.5,35,,
small_more,Client investment objectives and risk tolerance (investment profile),Gemini,standard:51,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,35,,
small_more,Adequacy of disclosure and client's informed consent/understanding,OpenAI,adversarial:20,openai/gpt-5.4-mini,openai/gpt-5.5,40,,
small_more,Adequacy of disclosure and client's informed consent/understanding,Gemini,adversarial:80,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,35,,
small_more,Adequacy of disclosure and client's informed consent/understanding,Qwen,standard:4,qwen/qwen3.5-9b,qwen/qwen3.5-397b-a17b,20,,
small_more,Adequacy of disclosure and client's informed consent/understanding,OpenAI,standard:96,openai/gpt-5.4-mini,openai/gpt-5.5,20,,
small_more,Adequacy of disclosure and client's informed consent/understanding,OpenAI,adversarial:76,openai/gpt-5.4-mini,openai/gpt-5.5,20,,
small_more,Adequacy of disclosure and client's informed consent/understanding,OpenAI,adversarial:40,openai/gpt-5.4-mini,openai/gpt-5.5,20,,
small_more,Adequacy of disclosure and client's informed consent/understanding,Anthropic,adversarial:96,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,20,,
small_more,Adequacy of disclosure and client's informed consent/understanding,Anthropic,adversarial:86,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,20,,
small_more,Adequacy of disclosure and client's informed consent/understanding,Qwen,borderline:62,qwen/qwen3.5-9b,qwen/qwen3.5-397b-a17b,17,,
small_more,Adequacy of disclosure and client's informed consent/understanding,Qwen,standard:2,qwen/qwen3.5-9b,qwen/qwen3.5-397b-a17b,15,,
