model,model_family,global_feature,appearances,mean_importance,frequency
anthropic/claude-haiku-4.5,anthropic,AML/SAR filing obligations,3,8.0,0.06
anthropic/claude-haiku-4.5,anthropic,Abandonment of previously suitable diversified portfolio,6,7.833333333333333,0.12
anthropic/claude-haiku-4.5,anthropic,Absence of advisor conflicts of interest / self-dealing / compensation incentives,33,10.393939393939394,0.66
anthropic/claude-haiku-4.5,anthropic,Absence of advisor discretionary control over the account,3,7.666666666666667,0.06
anthropic/claude-haiku-4.5,anthropic,Absence of changed circumstances justifying the transaction,2,20.0,0.04
anthropic/claude-haiku-4.5,anthropic,"Absence of complex, illiquid, or high-commission products",2,20.0,0.04
anthropic/claude-haiku-4.5,anthropic,Absence of demonstrable client benefit from the transaction/replacement,3,10.666666666666666,0.06
anthropic/claude-haiku-4.5,anthropic,Absence of documented alternatives analysis,11,11.272727272727273,0.22
anthropic/claude-haiku-4.5,anthropic,Absence of documented client authorization or request for the strategy,4,8.5,0.08
anthropic/claude-haiku-4.5,anthropic,Absence of documented cost-benefit/break-even analysis,3,13.666666666666666,0.06
anthropic/claude-haiku-4.5,anthropic,Absence of documented exception process in supervisory procedures,3,1.6666666666666667,0.06
anthropic/claude-haiku-4.5,anthropic,Absence of documented suitability analysis / KYC,15,8.533333333333333,0.3
anthropic/claude-haiku-4.5,anthropic,Absence of due diligence / eligibility verification / supervisory review,1,10.0,0.02
anthropic/claude-haiku-4.5,anthropic,Absence of excessive trading / quantitative suitability concerns,4,11.0,0.08
anthropic/claude-haiku-4.5,anthropic,Absence of internal firm limits on illiquid/concentrated allocations,2,14.0,0.04
anthropic/claude-haiku-4.5,anthropic,Absence of living-benefit riders offsetting cost/illiquidity,1,1.0,0.02
anthropic/claude-haiku-4.5,anthropic,Absence of material nonpublic information / insider misconduct,3,7.666666666666667,0.06
anthropic/claude-haiku-4.5,anthropic,Absence of realized customer harm or complaint,2,9.5,0.04
anthropic/claude-haiku-4.5,anthropic,Absence of required cost/compensation/conflict/product disclosures,3,11.666666666666666,0.06
anthropic/claude-haiku-4.5,anthropic,Absence of required regulatory disclosure documents (Form CRS/ADV/rollover comparison),3,5.666666666666667,0.06
anthropic/claude-haiku-4.5,anthropic,"Absence of risk-mitigation measures (stop-loss, hedging, diversification)",2,10.5,0.04
anthropic/claude-haiku-4.5,anthropic,Absence of signed product/concentration-specific risk acknowledgment,6,12.666666666666666,0.12
anthropic/claude-haiku-4.5,anthropic,"Absence of trading, rebalancing, or discretionary portfolio activity over holding period (dormant portfolio)",1,28.0,0.02
anthropic/claude-haiku-4.5,anthropic,Absence of trusted contact/family member from the recommendation meeting,2,12.5,0.04
anthropic/claude-haiku-4.5,anthropic,Absence/presence of predefined objective re-entry criteria or timeline,4,7.0,0.08
anthropic/claude-haiku-4.5,anthropic,Academic consensus on underperformance of active management after fees,3,13.666666666666666,0.06
anthropic/claude-haiku-4.5,anthropic,Academic evidence against effectiveness of market timing,1,11.0,0.02
anthropic/claude-haiku-4.5,anthropic,Account type (tax-advantaged/IRA) considerations,1,9.0,0.02
anthropic/claude-haiku-4.5,anthropic,Account underperformance relative to market benchmark,10,15.5,0.2
anthropic/claude-haiku-4.5,anthropic,Account-level objective segmentation isolating speculative sleeve while preserving overall risk profile,2,10.5,0.04
anthropic/claude-haiku-4.5,anthropic,Accredited investor eligibility/verification for private offerings,6,13.666666666666666,0.12
anthropic/claude-haiku-4.5,anthropic,Accredited/eligibility status does not by itself establish suitability/best interest,3,15.333333333333334,0.06
anthropic/claude-haiku-4.5,anthropic,Actual financial outcome/profitability of the position,1,15.0,0.02
anthropic/claude-haiku-4.5,anthropic,Actual materialized loss corroborating ex ante foreseeability of risk (not hindsight),18,5.388888888888889,0.36
anthropic/claude-haiku-4.5,anthropic,Actual post-sale performance as evidence bearing on misrepresentation claim,5,5.8,0.1
anthropic/claude-haiku-4.5,anthropic,Actual realized client financial harm/loss,13,6.3076923076923075,0.26
anthropic/claude-haiku-4.5,anthropic,Actual realized liquidity event corroborating foreseeable liquidity need,10,7.5,0.2
anthropic/claude-haiku-4.5,anthropic,Addition of liquidity reserve as prudent conservative planning,3,10.333333333333334,0.06
anthropic/claude-haiku-4.5,anthropic,Adequacy of cost disclosure and client's comprehension of cumulative fees,10,7.1,0.2
anthropic/claude-haiku-4.5,anthropic,Adequacy of disclosure reasonably designed for customer understanding,5,13.0,0.1
anthropic/claude-haiku-4.5,anthropic,Adequacy of disclosure/education on product mechanics and costs,4,8.0,0.08
anthropic/claude-haiku-4.5,anthropic,Adequacy of liquidity/emergency reserve remaining after investment,4,13.0,0.08
anthropic/claude-haiku-4.5,anthropic,Adequacy of product-level due diligence (reasonable-basis suitability),10,8.0,0.2
anthropic/claude-haiku-4.5,anthropic,Adequacy of supervisory approval/review of the transaction,4,9.75,0.08
