rank,case_id,arm,mean_logp,n_tokens,char_start,char_end,text,arm_manifest,category,category_near,self_repetition,recur_in_post,recur_in_other_pre,verdict
1,cl_2025_scotus_cunningham_v._cornell_univ.,post_cutoff_control,-0.000606,50,251,491,"with this case, at the time the opinion is issued. The syllabus constitutes no part of the opinion of the Court but has been prepared by the Reporter of Decisions for the convenience of the reader. See United States v.",post_cutoff_control,scotus_boilerplate,scotus_boilerplate,0.0,0.0,0.061,post_cutoff_predictable
2,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.000773,50,397315,397418,"15(c)(2) and Rule 15c2-11 of the Exchange Act, 15 U.S.C. § 78o(c)(2), and 17 C.F.R. § 240.15c2-11",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.143,in_document_repetition
3,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.001075,50,6014,6247,") the denial of leave to amend their complaint to name additional defendants, (3) the striking of their demand for a jury trial, (4) the use of written declarations rather than live examination for direct testimony in the bench trial",pre_cutoff,-,court_furniture,1.0,0.0,0.0,in_document_repetition
4,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001158,50,425260,425378,"’s violations of Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.304,in_document_repetition
5,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001267,50,397632,397799,"lessly provided substantial assistance to Spartan Securities’ violations of Section 15(c)(2) and Rule 15c2-11 of the Exchange Act, 15 U.S.C. § 78o(c)(2), and 17 C",post_cutoff_control,statutory_citation,statutory_citation,0.96,0.0,0.12,in_document_repetition
6,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001356,50,424914,425029,", violated Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(c",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.348,in_document_repetition
7,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.001393,50,6448,6703,"utions into the allegedly imprudently or disloyally managed investment options and thus did not allege any individual injury arising from Defendants’ management of those options. Moreover, because Plaintiffs did not plausibly allege that they personally s",post_cutoff_control,-,-,0.931,0.0,0.0,in_document_repetition
8,cl_2025_scotus_cunningham_v._cornell_univ.,post_cutoff_control,-0.001552,50,150,370,": Where it is feasible, a syllabus (headnote) will be released, as is being done in connection with this case, at the time the opinion is issued. The syllabus constitutes no part of the opinion of the Court",post_cutoff_control,scotus_boilerplate,scotus_boilerplate,0.0,0.0,0.067,post_cutoff_predictable
9,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001555,50,407268,407429,"Eldred violated, and, unless enjoined, are reasonably likely to continue to violate, Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b",post_cutoff_control,statutory_citation,statutory_citation,0.875,0.0,0.167,in_document_repetition
10,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001592,50,424789,424987,"a fraud or deceit upon any person in connection with the purchase or sale of securities, and by reason of the foregoing, violated Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.333,in_document_repetition
11,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001601,50,422109,422284,"ley knowingly or recklessly provided substantial assistance to Mirman and Rose’s violations of Section 10(b) and Rule 10b-5(b) of the Exchange Act, 15 U.S.C. § 78j(b",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.269,in_document_repetition
12,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.001645,50,6028,6316,"because they did not allege that they suffered any financial loss affecting their individual retirement accounts arising from Defendants’ allegedly imprudent share class selection and failure to investigate the availability of alternative funds, or from Defendants’ alleged breach of fid",post_cutoff_control,-,-,0.758,0.0,0.0,in_document_repetition
13,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001661,50,423718,423853,"by reason of the foregoing, violated Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. §",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.25,in_document_repetition
14,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.001777,50,6575,6838,"ising from Defendants’ management of those options. Moreover, because Plaintiffs did not plausibly allege that they personally suffered any injury, they also lack class standing to assert their share- class claim, alternative fund claim, and indirect compensation",post_cutoff_control,-,-,0.967,0.0,0.0,in_document_repetition
15,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002043,50,424657,424914,"the mails, knowingly or recklessly engaged in acts, practices and courses of business which operated or would have operated as a fraud or deceit upon any person in connection with the purchase or sale of securities, and by reason of the foregoing",post_cutoff_control,pleading_template,statutory_citation,1.0,0.0,0.286,in_document_repetition
16,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002096,50,425129,425335,"Securities, Island Stock Transfer, and Dilley knowingly or recklessly provided substantial assistance to Mirman and Rose’s violations of Section 10(b) and Rule 10b-5(c) of the Exchange Act,",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.042,in_document_repetition
17,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.002256,50,6130,6334,"jury trial, (4) the use of written declarations rather than live examination for direct testimony in the bench trial, (5) some of the district court’s findings in NYU’s favor after the bench trial, and (",pre_cutoff,-,court_furniture,1.0,0.0,0.0,in_document_repetition
18,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.002297,50,5189,5354,", “Deloitte”) to take over the work that Pauwels had been performing for BNYM. In 2018, Pauwels learned that BNYM had shared his spreadsheets with Deloitte without",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
19,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002311,50,397372,397534,"§ 78o(c)(2), and 17 C.F.R. § 240.15c2-11, and is deemed to be in violation of this provision to the same extent as Spartan Securities. 130.",post_cutoff_control,statutory_citation,statutory_citation,0.958,0.0,0.0,in_document_repetition
20,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.00243,50,418421,418571,"or sale of securities, and by reason of the foregoing, violated Section 10(b) and Rule 10b-5(a) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.308,in_document_repetition
21,cl_2023_ca2_sec_v._ahmed,pre_cutoff,-0.00245,50,7151,7357,"We conclude, however, that the district court (4) failed to assess whether actual gains on the frozen assets were unduly remote from Ahmed’s fraud, and (5) should have applied an asset-by-asset approach to",pre_cutoff,-,-,0.966,0.0,0.0,in_document_repetition
22,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,-0.002469,50,4070,4280,"ers (together, the Individual Defendants); and Janus Henderson Group PLC, Janus Index & Calculation Services LLC, and Janus Distributors, LLC, doing business as Janus Henderson Distributors (collectively, Janus",pre_cutoff,-,-,0.95,0.0,0.0,in_document_repetition
23,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002499,50,412473,412659,"in light of the circumstances under which they were made, not misleading, and by reason of the foregoing, violated Section 17(a)(2) of the Securities Act, 15 U.S.C. § 77q(a)(2",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.214,in_document_repetition
24,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002615,50,422565,422717,", are reasonably likely to continue to aid and abet, violations of Section 10(b) and Rule 10b-5(b) of the Exchange Act, 15 U.S.C. § 78j(b) and",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.333,in_document_repetition
25,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.00262,50,5111,5268,"-appellees Deloitte LLP, Deloitte Tax LLP, and Deloitte USA LLP (collectively, “Deloitte”) to take over the work that Pauwels had been performing for BNYM.",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
26,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002689,50,412335,412598,"property by means of untrue statements of material facts or omissions to state material facts necessary to make the statements made, in light of the circumstances under which they were made, not misleading, and by reason of the foregoing, violated",post_cutoff_control,-,statutory_citation,1.0,0.0,0.333,in_document_repetition
27,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.002715,50,5774,6028,must plausibly plead a constitutionally-cognizable individual injury to establish that they have Article III standing to obtain monetary relief for alleged ERISA violations. We agree with the district court that Plaintiffs here lack Article III standing,post_cutoff_control,-,-,1.0,0.0,0.0,in_document_repetition
28,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.002731,50,5268,5452,"In 2018, Pauwels learned that BNYM had shared his spreadsheets with Deloitte without his consent. Pauwels alleges that Deloitte used the spreadsheets to reverse engineer the Pauwels",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
29,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.002766,50,5899,6130,"NYU breached its duty of prudence by offering particular share classes of mutual funds in the retirement plans, (2) the denial of leave to amend their complaint to name additional defendants, (3) the striking of their demand for a",pre_cutoff,-,court_furniture,1.0,0.0,0.0,in_document_repetition
