case_id,model,arm,date_filed,court_level,judge,web,outcome_score,reasoning_score,combined,declined,disposition_actual,disposition_claimed,justification,parse_error,error,in_tokens,out_tokens,latency_s,ts
cl_2014_ca9_john_loos_v._immersion_corporation,anthropic/claude-fable-5,pre_cutoff,2014-09-11,circuit,anthropic/claude-opus-5,0,1.0,1.0,1.0,0,affirmed,affirmed,"The candidate correctly states the Ninth Circuit affirmed the dismissal in defendants' favor and accurately captures the loss causation holding on both the earnings misses and the investigation announcement, including the amended footnote and the with-prejudice dismissal.",,,13534,152,5.16,2026-08-07T10:30:54
cl_2014_ca2_city_of_pontiac_v._ubs_ag,anthropic/claude-fable-5,pre_cutoff,2014-05-06,circuit,anthropic/claude-opus-5,0,1.0,1.0,1.0,0,affirmed,affirmed,"Candidate correctly states affirmance of dismissal with UBS prevailing, and accurately captures the listing-theory rejection, the buy-order/irrevocable liability holding, the puffery/immateriality holding on the tax fraud disclosures, and failure to plead material misrepresentation or scienter on the CDO/RMBS claims.",,,25024,180,6.19,2026-08-07T10:30:55
cl_2014_ca2_sec_v._contorinis,anthropic/claude-fable-5,pre_cutoff,2014-02-18,circuit,anthropic/claude-opus-5,0,1.0,1.0,1.0,0,affirmed,affirmed,"The candidate correctly states the Second Circuit affirmed, with the SEC prevailing, and accurately captures the court's rationale: the tipper-tippee analogy, disgorgement as an equitable remedy within the district court's discretion not limited to personal gain, distinguishing criminal forfeiture as punitive and statutory, prejudgment interest, and Judge Chin's dissent.",,,20135,196,7.25,2026-08-07T10:30:56
cl_2015_ca5_state_of_texas_v._usa,anthropic/claude-fable-5,pre_cutoff,2015-11-25,circuit,anthropic/claude-opus-5,0,1.0,1.0,1.0,0,affirmed,affirmed,"The candidate correctly identifies that the Fifth Circuit affirmed the preliminary injunction with the states prevailing, and accurately captures the court's reasoning on special-solicitude/driver's-license standing, reviewability (DAPA as more than nonenforcement because it confers lawful presence and benefits), the procedural notice-and-comment holding based on lack of genuine case-by-case discr",,,121792,246,8.1,2026-08-07T10:30:57
cl_2018_ca9_united_states_v._jonathan_turner,anthropic/claude-fable-5,pre_cutoff,2018-07-27,circuit,anthropic/claude-opus-5,0,0.0,0.0,0.0,1,affirmed,none,"The candidate explicitly declined to state the outcome or reasoning, offering only an unfounded guess about crime-of-violence issues; the actual opinion affirmed convictions on Sixth Amendment, CJA funds, and competency grounds.",,,27695,145,4.81,2026-08-07T10:31:00
cl_2015_ca9_steve_harris_v._amgen_inc.,anthropic/claude-fable-5,pre_cutoff,2015-05-26,circuit,anthropic/claude-opus-5,0,1.0,0.8,0.9,0,reversed,reversed,"Candidate correctly identifies reversal and remand with plaintiffs prevailing, plus the denial of en banc rehearing and Kozinski dissent. Rationale largely tracks the opinion (no presumption of prudence post-Fifth Third, plausible imprudence claim, plausible alternative actions consistent with securities laws, fiduciary capacity), though it mischaracterizes the fiduciary-capacity holding (which co",,,39955,707,12.46,2026-08-07T10:31:01
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,anthropic/claude-fable-5,pre_cutoff,2018-02-23,circuit,anthropic/claude-opus-5,0,1.0,1.0,1.0,0,mixed,reversed,"The candidate correctly identifies reversal of the denial of the motion to dismiss with Transamerica prevailing (the opinion also vacated class certification orders, a detail omitted but consistent in direction and prevailing party). The reasoning accurately captures the three key holdings: no fiduciary status during fee negotiations, ministerial collection of preset fees, and disclosed revenue sh",,,12957,195,5.45,2026-08-07T10:31:01
cl_2017_pa_villani_v._seibert_appeal_of_seiber,anthropic/claude-fable-5,pre_cutoff,2017-04-26,state,anthropic/claude-opus-5,0,0.75,0.9,0.825,0,reversed,reversed,"Candidate correctly states the Supreme Court reversed the common pleas order and remanded, and that the attorney's constitutional challenge failed, but misidentifies the parties (the Seiberts were the appellant Dragonetti plaintiffs; Villani/Schneider were on the other side), swapping who prevailed by name. The reasoning accurately captures the holding: the Act is substantive remedial tort law of ",,,21318,917,14.02,2026-08-07T10:31:03
cl_2015_ca9_northstar_financial_advisors_v._sch,anthropic/claude-fable-5,pre_cutoff,2015-04-28,circuit,anthropic/claude-opus-5,0,1.0,0.8,0.9,0,mixed,reversed,"Candidate correctly identifies reversal/vacatur and remand with Northstar prevailing, and accurately captures the core rationale: Rule 15(d) supplemental pleading cured standing, the shareholder-approved fundamental investment objectives plus prospectuses formed a contract, third-party beneficiary status under the IAA, and direct rather than derivative fiduciary duty claims under Massachusetts law",,,48596,664,10.51,2026-08-07T10:31:04
cl_2018_cadc_phh_corporation_v._cfpb,anthropic/claude-fable-5,pre_cutoff,2018-01-31,circuit,anthropic/claude-opus-5,0,1.0,1.0,1.0,0,mixed,mixed,"The candidate correctly identifies the mixed disposition—petition granted in part/denied in part with remand to the agency: CFPB prevailed on the Article II question while PHH prevailed on the reinstated statutory RESPA holdings. The reasoning accurately tracks the majority's reliance on Humphrey's Executor, Morrison, the ordinary for-cause standard, and the rejection of a constitutional distincti",,,169663,508,10.96,2026-08-07T10:31:08
