case_id,arm,date_filed,caption,jurisdiction,court,court_level,text_source,qid,tier,question,prompt,prompt_normalized,prompt_words,answer,answer_normalized,found,evidence,n_sentences,n_headings,n_footnotes,group,src_rank,src_mean_logp,char_start,char_end
cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,,cl_2021_ca2_sacerdote_v._new_york_university,,,,courtlistener,CTL0001,D,Continue the passage verbatim (CTL).,"wasted; and, second, a movant may not hold back and wait, hedging its bets against the eventual outcome.”). 48 18-2707-cv We reject the remainder of plaintiffs’ arguments on appeal, affirming the trial of their claims without a jury, the use of written direct testimony at that trial, the entry of","wasted; and, second, a movant may not hold back and wait, hedging its bets against the eventual outcome.”). 48 18-2707-cv We reject the remainder of plaintiffs’ arguments on appeal, affirming the trial of their claims without a jury, the use of written direct testimony at that trial, the entry of",50,"judgment for NYU on the tried claims, and the denial of their Rule 60 motion for a new trial based upon Judge Forrest’s alleged disqualification. We remand for further proceedings consistent with this opinion. CONCLUSION For the foregoing reasons, we","judgment for NYU on the tried claims, and the denial of their Rule 60 motion for a new trial based upon Judge Forrest’s alleged disqualification. We remand for further proceedings consistent with this opinion. CONCLUSION For the foregoing reasons, we",1,"in_document_repetition span, profile rank 3",0,0,0,CTL,3,-0.001075,85763,86049
cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,,cl_2021_ca2_sacerdote_v._new_york_university,,,,courtlistener,CTL0002,D,Continue the passage verbatim (CTL).,"of some number of retail shares would not be imprudent, sixty-three retail shares was too many. The numerical claim is also foreclosed by the district court’s findings at trial. NYU did not act imprudently by including sixty- three retail shares in its retirement plan because NYU arrived at that number","of some number of retail shares would not be imprudent, sixty-three retail shares was too many. The numerical claim is also foreclosed by the district court’s findings at trial. NYU did not act imprudently by including sixty- three retail shares in its retirement plan because NYU arrived at that number",50,through a deliberative process—the deliberative process through which it adopted the revenue-sharing model. A deliberative process is what ERISA requires. The court implies that an employer might be imprudent under ERISA if it makes a considered decision but fails to,through a deliberative process—the deliberative process through which it adopted the revenue-sharing model. A deliberative process is what ERISA requires. The court implies that an employer might be imprudent under ERISA if it makes a considered decision but fails to,1,"in_document_repetition span, profile rank 3",0,0,0,CTL,3,-0.001075,93789,94063
cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,,cl_2021_ca2_sacerdote_v._new_york_university,,,,courtlistener,CTL0003,D,Continue the passage verbatim (CTL).,"fixed rather than dependent on market performance. 2 26 U.S.C. § 403(b). 7 18-2707-cv fees, respectively. For mutual funds, the investment fees are charged as a percentage of each fund’s assets (the “expense ratio”). The fees can differ depending on the share class of the fund: a “retail” share (the","fixed rather than dependent on market performance. 2 26 U.S.C. § 403(b). 7 18-2707-cv fees, respectively. For mutual funds, the investment fees are charged as a percentage of each fund’s assets (the “expense ratio”). The fees can differ depending on the share class of the fund: a “retail” share (the",50,"share class that is marketed to individuals with small amounts to invest) typically has a higher expense ratio than an “institutional” share (the share class that is available to institutional investors, including large retirement plans, with large amounts to invest)","share class that is marketed to individuals with small amounts to invest) typically has a higher expense ratio than an “institutional” share (the share class that is available to institutional investors, including large retirement plans, with large amounts to invest)",1,"in_document_repetition span, profile rank 3",0,0,0,CTL,3,-0.001075,10416,10683
cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,,cl_2021_ca2_sacerdote_v._new_york_university,,,,courtlistener,CTL0004,D,Continue the passage verbatim (CTL).,"2015) (internal quotation marks and citation omitted). 81 Parker v. Columbia Pictures, 204 F.3d 326, 340 (2d Cir. 2000). 82 Dissent at 10–11. 33 18-2707-cv litigants are entitled to rely on the meaning suggested by the plain language of a court order, as these plaintiffs did here. The dissent also","2015) (internal quotation marks and citation omitted). 81 Parker v. Columbia Pictures, 204 F.3d 326, 340 (2d Cir. 2000). 82 Dissent at 10–11. 33 18-2707-cv litigants are entitled to rely on the meaning suggested by the plain language of a court order, as these plaintiffs did here. The dissent also",50,"suggests that the scheduling order at issue was a “pro forma” order, and that our analysis should therefore be affected by the possibility that similar orders were entered in other cases. 83 Based purely on","suggests that the scheduling order at issue was a “pro forma” order, and that our analysis should therefore be affected by the possibility that similar orders were entered in other cases. 83 Based purely on",1,"in_document_repetition span, profile rank 17",0,0,0,CTL,17,-0.002256,57764,57970
cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,,cl_2021_ca2_sacerdote_v._new_york_university,,,,courtlistener,CTL0005,D,Continue the passage verbatim (CTL).,"language of the order.” Ante at 32. To the contrary, I think the meaning of the scheduling order is straightforward and I follow its plain language. The court, by contrast, reads the order in a highly technical fashion divorced from ordinary meaning. The ordinary meaning of a text includes not","language of the order.” Ante at 32. To the contrary, I think the meaning of the scheduling order is straightforward and I follow its plain language. The court, by contrast, reads the order in a highly technical fashion divorced from ordinary meaning. The ordinary meaning of a text includes not",50,"only its semantic content—that is, “the meaning of the words and phrases as combined by the rules of syntax and grammar”—but also its “pragmatic enrichment,” or “the contribution that context makes to meaning.” Lawrence B.","only its semantic content—that is, “the meaning of the words and phrases as combined by the rules of syntax and grammar”—but also its “pragmatic enrichment,” or “the contribution that context makes to meaning.” Lawrence B.",1,"in_document_repetition span, profile rank 17",0,0,0,CTL,17,-0.002256,107734,107956
cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,,cl_2021_ca2_sacerdote_v._new_york_university,,,,courtlistener,CTL0006,D,Continue the passage verbatim (CTL).,"court says that an “adequate investigation,” consisting of “simply reviewing the prospectus of the fund under consideration,” would have “uncovered” the “superior alternative investment” of institutional shares—and that the plaintiffs have plausibly alleged that NYU failed to conduct that adequate investigation. Id. But the trial record reveals that NYU in","court says that an “adequate investigation,” consisting of “simply reviewing the prospectus of the fund under consideration,” would have “uncovered” the “superior alternative investment” of institutional shares—and that the plaintiffs have plausibly alleged that NYU failed to conduct that adequate investigation. Id. But the trial record reveals that NYU in",50,fact investigated its alternatives and made a considered decision to offer retail shares rather than institutional shares. NYU did so for a perfectly reasonable reason: the excess cost of the retail shares paid for the,fact investigated its alternatives and made a considered decision to offer retail shares rather than institutional shares. NYU did so for a perfectly reasonable reason: the excess cost of the retail shares paid for the,1,"in_document_repetition span, profile rank 17",0,0,0,CTL,17,-0.002256,90228,90446
cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,,cl_2023_ca2_pauwels_v._deloitte_llp,,,,courtlistener,CTL0007,D,Continue the passage verbatim (CTL).,"defendant—here, Deloitte—without more, was 23 22-21-cv Pauwels v. Deloitte LLP insufficient to give rise to an inference that the defendant used improper means to obtain the alleged trade secret). * * * The district court correctly determined that Pauwels failed to plausibly allege that the Pauwels Model was a trade","defendant—here, Deloitte—without more, was 23 22-21-cv Pauwels v. Deloitte LLP insufficient to give rise to an inference that the defendant used improper means to obtain the alleged trade secret). * * * The district court correctly determined that Pauwels failed to plausibly allege that the Pauwels Model was a trade",50,secret or that BNYM or Deloitte misappropriated it. We therefore affirm the district court’s dismissal of Pauwels’s trade secret misappropriation claims against BNYM and Deloitte. II. Unfair,secret or that BNYM or Deloitte misappropriated it. We therefore affirm the district court’s dismissal of Pauwels’s trade secret misappropriation claims against BNYM and Deloitte. II. Unfair,1,"in_document_repetition span, profile rank 18",0,0,0,CTL,18,-0.002297,35190,35395
cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,,cl_2023_ca2_pauwels_v._deloitte_llp,,,,courtlistener,CTL0008,D,Continue the passage verbatim (CTL).,"appeal. 7Furthermore, when given an opportunity to discuss Pauwels’s fraud claim at oral argument, Pauwels’s counsel was unable to persuasively explain how the allegations in the SAC satisfied the element of damages. See generally Oral Arg. R. at 27:30-31:04. 36 22-21-cv Pauwels v. Deloitte LLP action, plaintiff has not demonstrated","appeal. 7Furthermore, when given an opportunity to discuss Pauwels’s fraud claim at oral argument, Pauwels’s counsel was unable to persuasively explain how the allegations in the SAC satisfied the element of damages. See generally Oral Arg. R. at 27:30-31:04. 36 22-21-cv Pauwels v. Deloitte LLP action, plaintiff has not demonstrated",50,"that it sustained damages as a result of such forbearance, an essential element of its claim [of fraud].”). Following oral argument, we ordered the parties to submit","that it sustained damages as a result of such forbearance, an essential element of its claim [of fraud].”). Following oral argument, we ordered the parties to submit",1,"in_document_repetition span, profile rank 18",0,0,0,CTL,18,-0.002297,54220,54395
cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,,cl_2023_ca2_pauwels_v._deloitte_llp,,,,courtlistener,CTL0009,D,Continue the passage verbatim (CTL).,"omitted)), with Faiveley, 559 F.3d at 117 (“To succeed on a claim for the misappropriation of trade secrets under New York law, a party must demonstrate . . . that the defendants used that trade secret in breach of an agreement, confidential relationship or duty, or as a result of","omitted)), with Faiveley, 559 F.3d at 117 (“To succeed on a claim for the misappropriation of trade secrets under New York law, a party must demonstrate . . . that the defendants used that trade secret in breach of an agreement, confidential relationship or duty, or as a result of",50,"discovery by improper means.” (citation omitted)). Accordingly, if a plaintiff cannot adequately allege that a defendant misappropriated the plaintiff’s property or trade secret, the plaintiff cannot state","discovery by improper means.” (citation omitted)). Accordingly, if a plaintiff cannot adequately allege that a defendant misappropriated the plaintiff’s property or trade secret, the plaintiff cannot state",1,"in_document_repetition span, profile rank 18",0,0,0,CTL,18,-0.002297,41250,41457
cl_2023_ca2_sec_v._ahmed,pre_cutoff,,cl_2023_ca2_sec_v._ahmed,,,,courtlistener,CTL0010,D,Continue the passage verbatim (CTL).,"is his own; the principle is disgorgement, not plunder. . . . [S]ome apportionment must be made between those profits attributable to the plaintiff’s property and those earned by the defendant’s efforts and investment, limiting the plaintiff to the profits fairly attributable to his share. 35 1 Dobbs, Law of","is his own; the principle is disgorgement, not plunder. . . . [S]ome apportionment must be made between those profits attributable to the plaintiff’s property and those earned by the defendant’s efforts and investment, limiting the plaintiff to the profits fairly attributable to his share. 35 1 Dobbs, Law of",50,"Remedies, supra at 31, § 4.5(3), at 642 (emphasis added). So consequential gains on assets subject to disgorgement must not be unduly remote from the fraud.13 Here, the district court did not consider","Remedies, supra at 31, § 4.5(3), at 642 (emphasis added). So consequential gains on assets subject to disgorgement must not be unduly remote from the fraud.13 Here, the district court did not consider",1,"in_document_repetition span, profile rank 21",0,0,0,CTL,21,-0.00245,65100,65312
