case_id,model,model_cutoff,arm,date_filed,caption,court_level,prediction,refused,finish,error,temp_dropped,latency_s,in_tokens,out_tokens,served_by,ts
cl_2015_ca9_northstar_financial_advisors_v._sch,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2015-04-28,Northstar Financial Advisors v. Schwab Investments,circuit,UNKNOWN,0,stop,,0,2.55,244,5,Google,2026-08-07T10:02:17
cl_2017_iowa_amended_september_5_2017_state_of_i,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2017-06-23,"Amended September 5, 2017 State of Iowa v. Eddie Tipton",state,"I do not have specific knowledge of this Iowa state court case from 2017. 

UNKNOWN",0,stop,,0,2.71,247,24,Google,2026-08-07T10:02:17
cl_2017_pa_villani_v._seibert_appeal_of_seiber,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2017-04-26,Villani v. Seibert Appeal of: Seibert,state,"I do not have specific knowledge of the case Villani v. Seibert from the Pennsylvania courts decided on April 26, 2017.

UNKNOWN",0,stop,,0,3.04,234,38,Google,2026-08-07T10:02:17
cl_2014_ca9_john_loos_v._immersion_corporation,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2014-09-11,John Loos v. Immersion Corporation,circuit,"I do not have specific knowledge of the case John Loos v. Immersion Corporation from the Ninth Circuit decided on September 11, 2014.

UNKNOWN",0,stop,,0,3.34,240,40,Google,2026-08-07T10:02:18
cl_2015_ca9_steve_harris_v._amgen_inc.,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2015-05-26,"Steve Harris v. Amgen, Inc.",circuit,"I do not have specific knowledge of the outcome and reasoning in Steve Harris v. Amgen, Inc., 10-56014 (9th Cir. 2015).

UNKNOWN",0,stop,,0,3.49,240,45,Google,2026-08-07T10:02:18
cl_2018_ca9_united_states_v._jonathan_turner,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2018-07-27,United States v. Jonathan Turner,circuit,UNKNOWN,0,stop,,0,2.07,236,5,Google,2026-08-07T10:02:19
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2018-02-23,Jaclyn Santomenno v. Transamerica Life Ins. Co.,circuit,I do not have specific knowledge of this case. UNKNOWN,0,stop,,0,2.63,249,15,Google,2026-08-07T10:02:19
cl_2018_illappct_vt_investment_corp._v._west_columbi,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2018-08-24,V&T Investment Corp. v. West Columbia Condominium Ass'n,state,UNKNOWN,0,stop,,0,2.16,238,5,Google,2026-08-07T10:02:20
cl_2018_ca9_ussec_v._e._andrew_schooler,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2018-09-26,Ussec v. E. Andrew Schooler,circuit,"I do not have specific knowledge of a case titled ""Ussec v. E. Andrew Schooler"" from the Ninth Circuit decided on September 26, 2018 (Docket No. 16-55167).

UNKNOWN",0,stop,,0,3.3,242,57,Google,2026-08-07T10:02:21
cl_2019_ca9_ussec_v._hui_feng,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2019-08-23,Ussec v. Hui Feng,circuit,UNKNOWN,0,stop,,0,2.05,240,5,Google,2026-08-07T10:02:22
cl_2015_ca5_state_of_texas_v._usa,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2015-11-25,State of Texas v. USA,circuit,"This case involved Texas's challenge to the Obama administration's DAPA (Deferred Action for Parents of Americans) immigration program.

1. THE OUTCOME — The Fifth Circuit AFFIRMED the district court's preliminary injunction blocking implementation of DAPA. Texas prevailed.

2. THE REASONING — The court held that Texas had standing to sue based on the costs it would incur from issuing driver's licenses to DAPA beneficiaries. On the merits, the court found that DAPA was a substantive rule that required notice-and-comment rulemaking under the Administrative Procedure Act, which the administration had failed to conduct. The court also found that DAPA exceeded the executive's enforcement discretion because it granted affirmative benefits (work authorization and lawful presence) beyond mere forbearance from removal.",0,stop,,0,8.1,235,179,Google,2026-08-07T10:02:22
cl_2019_ca3_jennifer_sweda_v._university_of_pen,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2019-05-02,Jennifer Sweda v. University of Pennsylvania,circuit,"I do not have specific knowledge of the case Jennifer Sweda v. University of Pennsylvania, Third Circuit, decided May 2, 2019.

UNKNOWN",0,stop,,0,3.35,238,37,Google,2026-08-07T10:02:22
cl_2019_ca9_alexander_acosta_v._city_national_c,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2019-04-23,Alexander Acosta v. City National Corporation,circuit,"I do not have specific knowledge of the outcome and reasoning in Alexander Acosta v. City National Corporation (9th Cir. 2019). 

UNKNOWN",0,stop,,0,3.04,239,39,Google,2026-08-07T10:02:22
cl_2014_ca2_sec_v._contorinis,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2014-02-18,SEC v. Contorinis,circuit,"OUTCOME: Affirmed in part, vacated in part, and remanded. The Second Circuit affirmed Contorinis's insider trading conviction but vacated the forfeiture order and remanded for recalculation.

REASONING: The court held that for criminal forfeiture in insider trading cases, the defendant must forfeit only the profits he personally received, not the total profits gained by his employer or fund. The court found that Contorinis, who traded on inside information for his employer's fund but received only his regular salary and bonus (not a percentage of the trading profits), should not have to forfeit the full $7.2 million in profits the fund made. The forfeiture statute requires a nexus between the property forfeited and the defendant's personal gain from the offense.",0,stop,,0,8.38,226,173,Google,2026-08-07T10:02:23
cl_2014_ca2_city_of_pontiac_v._ubs_ag,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,circuit,"OUTCOME: Affirmed - the district court's dismissal was upheld, with UBS AG prevailing.

REASONING: The Second Circuit held that the City of Pontiac lacked statutory standing to bring securities fraud claims under Sections 10(b) and 20(a) of the Securities Exchange Act because it purchased its UBS shares in the aftermarket, not in the IPO itself. The court applied the bright-line rule from NECA-IBEW Health & Welfare Fund v. Goldman Sachs that only those who purchase securities in the offering itself have standing to sue under Section 11 of the Securities Act, and extended similar reasoning to the Exchange Act claims. The city could not establish the required tracing of its shares to the allegedly fraudulent offering documents since it bought shares in secondary market transactions.",0,stop,,0,8.9,229,178,Google,2026-08-07T10:02:23
cl_2019_calctapp_j.b.b._investment_partners_v._fair,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2019-07-02,J.B.B. Investment Partners v. Fair,state,UNKNOWN,0,stop,,0,2.06,231,5,Google,2026-08-07T10:02:24
cl_2018_cadc_phh_corporation_v._cfpb,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2018-01-31,PHH Corp. v. Consumer Financial Protection Bureau,circuit,"THE OUTCOME: The D.C. Circuit sitting en banc reversed the panel decision and upheld the CFPB's structure as constitutional. PHH Corp. lost on the constitutional challenge.

THE REASONING: The en banc court held that the CFPB's single-director structure, with a director removable only for cause, did not violate the separation of powers. The court reasoned that independent agencies with for-cause removal protection have been accepted since Humphrey's Executor, and the fact that the CFPB is headed by a single director rather than a multi-member commission did not create a constitutional problem. The court found no constitutional requirement that independent agencies must be headed by multi-member bodies.",0,stop,,0,6.85,242,156,Google,2026-08-07T10:02:24
cl_2019_dcd_taylor_v._federal_aviation_administ,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2019-08-09,Taylor v. Federal Aviation Administration,district,UNKNOWN,0,stop,,0,2.31,241,5,Google,2026-08-07T10:02:25
cl_2020_ca11_united_states_v._gerti_muho,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-10-22,United States v. Gerti Muho,circuit,UNKNOWN,0,stop,,0,2.18,241,5,Google,2026-08-07T10:02:25
cl_2019_dcd_state_of_new_york_v._united_states_,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2019-03-28,State of New York v. United States Department of Labor,district,"I do not have specific knowledge of this case from the D.D.C. in 2019.

UNKNOWN",0,stop,,0,2.8,244,28,Google,2026-08-07T10:02:25
cl_2020_ca2_abm_indus._groups_llc_v._intl_union,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-07-29,"ABM Indus. Groups, LLC v. Int'l Union of Operating Eng'rs",circuit,"I do not have specific knowledge of this case. 

UNKNOWN",0,stop,,0,2.55,250,17,Google,2026-08-07T10:02:26
cl_2020_ca2_gonnella_v._securities_and_exchange,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-04-02,Gonnella v. Securities and Exchange Commission,circuit,"I do not have specific knowledge of the case Gonnella v. Securities and Exchange Commission, Second Circuit, decided April 2, 2020.

UNKNOWN",0,stop,,0,3.1,239,38,Google,2026-08-07T10:02:27
cl_2020_ca2_xy_planning_network_llc_v._sec,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-06-26,"XY Planning Network, LLC v. SEC",circuit,I do not have specific knowledge of this case. UNKNOWN,0,stop,,0,2.82,238,15,Google,2026-08-07T10:02:28
cl_2020_ca3_jeffrey_norman_v._david_elkin,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-05-29,Jeffrey Norman v. David Elkin,circuit,UNKNOWN,0,stop,,0,2.5,237,5,Google,2026-08-07T10:02:28
cl_2020_ca3_jaroslawicz_v._mt_bank_corp,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-06-18,Jaroslawicz v. M&T Bank Corp,circuit,"I do not have specific knowledge of the Jaroslawicz v. M&T Bank Corp case from the Third Circuit decided on June 18, 2020.

UNKNOWN",0,stop,,0,2.88,231,41,Google,2026-08-07T10:02:28
cl_2020_ca3_united_states_v._steven_fishoff,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-01-30,United States v. Steven Fishoff,circuit,UNKNOWN,0,stop,,0,2.16,237,5,Google,2026-08-07T10:02:28
cl_2020_ca2_united_states_v._kosinski,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-09-22,United States v. Kosinski,circuit,"I do not have specific knowledge of United States v. Kosinski from the Second Circuit decided on September 22, 2020. 

UNKNOWN",0,stop,,0,3.48,236,35,Google,2026-08-07T10:02:28
cl_2019_cadc_the_robare_group_ltd._v._sec,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2019-04-30,"The Robare Group, LTD. v. SEC",circuit,"OUTCOME: The D.C. Circuit vacated the SEC's order and remanded the case. The Robare Group prevailed.

REASONING: The court found that the SEC had violated the Administrative Procedure Act by failing to provide adequate notice and opportunity to comment on its interpretation of Form ADV disclosure requirements. Specifically, the SEC had sanctioned Robare for inadequate disclosures about conflicts of interest related to revenue-sharing arrangements, but the court determined that the SEC's interpretation of what needed to be disclosed was not fairly implied from the Form ADV instructions and prior guidance. The court held that the SEC could not impose sanctions based on disclosure obligations that were not clearly established at the time of the alleged violations.",0,stop,,0,6.61,245,153,Google,2026-08-07T10:02:28
cl_2019_cadc_donald_trump_v._mazars_usa_llp,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2019-10-11,"Donald Trump v. Mazars USA, LLP",circuit,"OUTCOME: The D.C. Circuit affirmed the district court's denial of Trump's motion to quash the House Oversight Committee's subpoena to Mazars for Trump's financial records. The House Committee prevailed.

REASONING: The court held that the Committee's subpoena served a valid legislative purpose. The court applied the standard that Congress has broad investigative powers when pursuing a legitimate legislative objective, and found that the Committee's stated purposes - including potential legislation on government ethics, conflicts of interest, and presidential financial disclosure requirements - were legitimate legislative aims. The court rejected Trump's argument that the subpoena lacked a legislative purpose and was instead an impermissible law enforcement action, finding that courts must not look to the motives of individual legislators and that the potential for legislation was sufficient to support the subpoena's validity.",0,stop,,0,8.83,243,179,Google,2026-08-07T10:02:29
cl_2020_dcd_broidy_capital_management_llc_v._mu,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-03-31,Broidy Capital Management LLC v. Muzin,district,UNKNOWN,0,stop,,0,2.03,234,5,Google,2026-08-07T10:02:30
cl_2020_dcd_district_of_columbia_v._u.s._depart,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-03-13,District of Columbia v. U.S. Department of Agriculture,district,UNKNOWN,0,stop,,0,2.2,244,5,Google,2026-08-07T10:02:30
cl_2020_dcd_ghadami_v._united_states_department,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-03-19,Ghadami v. United States Department of Homeland Security,district,UNKNOWN,0,stop,,0,2.42,246,5,Google,2026-08-07T10:02:30
cl_2020_ca9_tamara_moore_v._mars_petcare_us_inc,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-07-28,"Tamara Moore v. Mars Petcare US, Inc.",circuit,I do not have specific knowledge of this case. UNKNOWN,0,stop,,0,2.77,244,15,Google,2026-08-07T10:02:30
cl_2020_ca6_nancy_goodman_v._j.p._morgan_invest,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-03-30,Nancy Goodman v. J.P. Morgan Investment Mgmt.,circuit,"I do not have specific knowledge of Nancy Goodman v. J.P. Morgan Investment Management from the Sixth Circuit (2020). 

UNKNOWN",0,stop,,0,2.99,246,36,Google,2026-08-07T10:02:30
cl_2020_ca9_dimitri_shivkov_v._artex_risk_solut,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-09-09,"Dimitri Shivkov v. Artex Risk Solutions, Inc.",circuit,"I do not have specific knowledge of this case. 

UNKNOWN",0,stop,,0,3.14,247,17,Google,2026-08-07T10:02:31
cl_2020_dcd_pca_integrity_associates_llp_v._nco,anthropic/claude-opus-4,2025-01-31,pre_cutoff,2020-02-11,"Pca Integrity Associates, LLP v. Nco Financial Systems Inc",district,UNKNOWN,0,stop,,0,2.5,246,5,Google,2026-08-07T10:02:31
