case_id,qid,work,arm,date_filed,jurisdiction,model,condition,trunc_n,n_prefix_tokens,n_suffix_tokens,logp_sum,logp_per_token,p_geomean,min_token_logprob,n_tokens_below_1e3,first_break_index,align_warning
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-8B,raw,10,13,10,-28.670761,-2.867076,0.05686495,-6.447712,0,9,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-8B,raw,25,13,11,-29.39529,-2.672299,0.06909319,-6.447712,0,9,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-8B,raw,50,13,11,-29.39529,-2.672299,0.06909319,-6.447712,0,9,
cl_2018_ca9_united_states_v._jonathan_turner,Q13,cl_2018_ca9_united_states_v._jonathan_turner,pre_cutoff,2018-07-27,federal,meta-llama/Llama-3.1-8B,raw,full,13,11,-29.39529,-2.672299,0.06909319,-6.447712,0,9,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B,raw,10,13,10,-46.535532,-4.653553,0.00952769,-8.618363,3,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B,raw,25,13,11,-48.153266,-4.37757,0.01255584,-8.618363,3,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B,raw,50,13,11,-48.153266,-4.37757,0.01255584,-8.618363,3,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q13,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B,raw,full,13,11,-48.153266,-4.37757,0.01255584,-8.618363,3,1,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B,raw,10,13,10,-18.951009,-1.895101,0.15030317,-5.350083,0,6,
cl_2022_dcd_united_states_v._garcia,Q08,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B,raw,25,13,11,-19.573033,-1.779367,0.168745,-5.350083,0,6,
