case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,recall,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q01,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,5,1.0,5,1.0,0.7143,0.7143,0.7229,,,,,,0,0,,5,9,0,attempt,0,United States Court of Appeals for the Second Circuit,United States Court of Appeals
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q02,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,1,1,1.0,1,1.0,1.0,1.0,1.0,,,,,,0,0,,1,1,0,attempt,0,2014,2014
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q04,A,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,0,0.0,0,0.0,0.0,0.0,0.3333,,,,,,0,0,,3,3,0,attempt,0,"March 10, 2015",2014-05-06
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q07,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,1,0.0455,1,0.0455,0.0488,0.0488,0.2867,,,,,,0,0,,22,19,0,attempt,0,"Suter, Raoul Weil, and Peter Wuffli (collectively, 'Defendants'). Pontiac alleges that Defendants violated federal securities laws by making materially","SUTER, WALTER STUERZINGER, RAMESH SINGH, HUW JENKINS, JAMES STEHLI, JOHN COSTAS, MICHAEL HUTCHINS, DEUTSCHE BANK AG, BNP PARIBAS, CREDIT SUISSE, J.P."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q08,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,2,0.0769,2,0.0769,0.2308,0.3077,0.3253,,,,,,0,0,,26,26,0,attempt,0,"we consider whether plaintiffs-appellants, purchasers of bonds from a variety of issuers on the secondary market, have antitrust standing to sue defendant-appellee banks for","we consider, as a matter of first impression, whether the bar on extraterritorial application of the United States securities laws, as set forth in Morrison v."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q09,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,0,0.0,1,0.0417,0.0833,0.125,0.301,,,,,,0,0,,24,24,0,attempt,0,"is not a model of drafting clarity, it is nonetheless sufficient to have placed a reasonable investor on notice of the probability of fraud.","which appears in Morrison and its progeny, taken in isolation, supports plaintiffs’ view, the “listing theory” is irreconcilable with Morrison read as a whole."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q10,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,0,0.0,1,0.0417,0.0816,0.1224,0.3958,,,,,,0,0,,24,25,0,attempt,0,"Value Master Fund Ltd., 693 F.3d 270 (2d Cir. 2012), for the proposition that a domestic transaction is required for § 10(b) claims.","in its briefs on appeal, and does not raise different or additional facts that would have established that the transactions in question were domestic."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q11,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,2,0.1176,2,0.1176,0.2286,0.2857,0.3984,,,,,,0,0,,17,18,0,attempt,0,"no requirement that plaintiffs plead the existence of a ""smoking gun"" document,' their allegations must be plausible.","no requirement under the Securities Act that a complaint specifically identify each misrepresentation in the Offering Materials,”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q12,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,0,0.0,1,0.0556,0.125,0.1875,0.3258,,,,,,0,0,,18,14,0,attempt,0,"not puffery, but rather material misrepresentations of fact that were demonstrably false when made.",material “[b]ecause [UBS] represented that the avoidance of asset concentrations was vital to [its] business and success.”
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q13,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,0,0.0,1,0.0476,0.1579,0.1579,0.2634,,,,,,0,0,,21,17,0,attempt,0,"a single overarching conspiracy, and that each defendant participated in it with knowledge of its broad scope.","uncertainty and disagreement within UBS and in the market at large, about the valuation and risk exposure of mortgage‐related assets."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q16,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,0,0.0,2,0.0625,0.2222,0.254,0.2857,0.0,8,0.0,6,8,0,0,,32,31,0,attempt,0,"BACKGROUND, A. The LIBOR-Setting Process, B. The Alleged LIBOR Manipulation, DISCUSSION, I. Antitrust Standing, A. Antitrust Injury, B. The Efficient-Enforcer Analysis, II. RICO Claims, III. State Law Claims, CONCLUSION",A. The CDO/RMBS Fraud | B. The Tax Fraud | C. Procedural History | B. Securities Act Claims | C. Claims Under Section 10(b) of the Exchange Act | D. Denial of Leave to Amend
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q17,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,1,0.0192,1,0.0192,0.0811,0.1081,0.2613,,,,,,0,1,,52,22,0,attempt,0,"Plaintiffs-appellants are municipalities, housing authorities, and private entities that entered into interest-rate swaps with the defendant banks or their affiliates.","Plaintiffs allege that UBS accumulated and overvalued $100 billion in residential mortgage backed securities (“RMBS”) and collateralized debt obligations (“CDOs” and, together with RMBS, “mortgage‐related assets”)7 between February 13, 2006 and April 21, 2008, without disclosing this to shareholders and in contravention of its representations regarding its risk management policies."
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q19,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,0,0.0,2,0.05,0.122,0.1951,0.2617,,,,,,0,0,,40,42,0,attempt,0,"and the judgment, but he “d[id] not join the Court’s opinion insofar as it impress[ed] a rigid pleading standard on plaintiffs.” Instead, he would have adopted a more flexible standard that would have allowed the case to proceed to discovery.","only insofar as “the purchased securities are listed only on a few foreign exchanges, none of which has registered with the [SEC]. . . [and] the relevant purchases of these unregistered securities took place entirely in Australia and involved only Australian investors.”"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q21,D,pre_cutoff,2014-05-06,federal,circuit,google/gemini-2.5-pro,2025-01-31,recalled,0,0,0.0,3,0.1429,0.2439,0.2439,0.5746,,,,,,0,0,,21,20,0,attempt,0,plaintiffs’ counsel stated that plaintiffs were not alleging that the defendants had a duty to disclose the information at issue.,"As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
