dataset,case_id,model_family,model,features_named,entropy,max_entropy,evenness
adversarial,1,anthropic,anthropic/claude-haiku-4.5,10,2.0208060603299782,2.302585092994046,0.8776249209979593
adversarial,1,anthropic,anthropic/claude-opus-4.8,8,1.91664948930702,2.0794415416798357,0.9217135711152008
adversarial,1,anthropic,anthropic/claude-sonnet-4.6,9,1.9555639970733298,2.1972245773362196,0.8900155301576572
adversarial,1,google,google/gemini-3.1-flash-lite,3,1.0296530140645737,1.0986122886681098,0.9372305632161295
adversarial,1,google,google/gemini-3.1-pro-preview,4,1.2798542258336676,1.3862943611198906,0.9232196723355078
adversarial,1,google,google/gemini-3.5-flash,5,1.5134058386196787,1.6094379124341003,0.9403319177008925
adversarial,1,openai,openai/gpt-5.4,8,1.9054124089606284,2.0794415416798357,0.9163096777519307
adversarial,1,openai,openai/gpt-5.4-mini,6,1.7055117036646523,1.791759469228055,0.9518642055227643
adversarial,1,openai,openai/gpt-5.5,9,2.0534025613361986,2.1972245773362196,0.9345437796921141
adversarial,1,qwen,qwen/qwen3.5-397b-a17b,5,1.458174899361326,1.6094379124341003,0.906015005671138
adversarial,1,qwen,qwen/qwen3.6-35b-a3b,4,1.207973687592232,1.3862943611198906,0.8713688243068336
adversarial,2,anthropic,anthropic/claude-haiku-4.5,6,1.7266140950842919,1.791759469228055,0.9636416744197089
adversarial,2,anthropic,anthropic/claude-opus-4.8,8,1.9457669837686713,2.0794415416798357,0.9357161260695128
adversarial,2,anthropic,anthropic/claude-sonnet-4.6,10,2.028890214482888,2.302585092994046,0.8811358245374232
adversarial,2,google,google/gemini-3.1-flash-lite,5,1.5148560404565352,1.6094379124341003,0.941232978764294
adversarial,2,google,google/gemini-3.1-pro-preview,3,0.7305880613711224,1.0986122886681098,0.6650099119652508
adversarial,2,google,google/gemini-3.5-flash,4,1.0627375681569962,1.3862943611198906,0.7666031096732476
adversarial,2,openai,openai/gpt-5.4,7,1.736050277373503,1.9459101490553132,0.8921533598127891
adversarial,2,openai,openai/gpt-5.4-mini,6,1.7144760339303518,1.791759469228055,0.956867293503966
adversarial,2,openai,openai/gpt-5.5,8,1.9961782346642183,2.0794415416798357,0.9599588132935178
adversarial,2,qwen,qwen/qwen3.5-397b-a17b,5,1.4737146012040094,1.6094379124341003,0.9156703652986377
adversarial,2,qwen,qwen/qwen3.5-9b,4,1.1421200429883351,1.3862943611198906,0.8238654610595805
adversarial,2,qwen,qwen/qwen3.6-35b-a3b,6,1.735433771585304,1.791759469228055,0.9685640295976682
adversarial,3,anthropic,anthropic/claude-haiku-4.5,7,1.7170076080002172,1.9459101490553132,0.8823673635875624
adversarial,3,anthropic,anthropic/claude-opus-4.8,9,2.022157744338938,2.1972245773362196,0.9203236506622724
adversarial,3,anthropic,anthropic/claude-sonnet-4.6,12,2.1299239603784628,2.4849066497880004,0.8571444567385166
adversarial,3,google,google/gemini-3.1-flash-lite,5,1.5444795210968603,1.6094379124341003,0.9596390821693783
adversarial,3,google,google/gemini-3.1-pro-preview,5,1.4702535277519118,1.6094379124341003,0.9135198794517726
adversarial,3,google,google/gemini-3.5-flash,7,1.8047484896412986,1.9459101490553132,0.9274572572209746
adversarial,3,openai,openai/gpt-5.4,7,1.8523603672522575,1.9459101490553132,0.9519249222023578
adversarial,3,openai,openai/gpt-5.4-mini,6,1.6516482172789977,1.791759469228055,0.921802421387832
adversarial,3,openai,openai/gpt-5.5,8,2.0121539319863726,2.0794415416798357,0.9676414997273228
adversarial,3,qwen,qwen/qwen3.5-397b-a17b,7,1.6474448225033176,1.9459101490553132,0.8466191634300831
adversarial,3,qwen,qwen/qwen3.5-9b,5,1.5134058386196787,1.6094379124341003,0.9403319177008925
adversarial,3,qwen,qwen/qwen3.6-35b-a3b,3,0.8568409950394724,1.0986122886681098,0.7799302846668992
adversarial,4,anthropic,anthropic/claude-opus-4.8,10,2.193243573821102,2.302585092994046,0.9525135815802719
adversarial,4,anthropic,anthropic/claude-sonnet-4.6,12,2.3780818462659656,2.4849066497880004,0.9570105365804593
adversarial,4,google,google/gemini-3.1-flash-lite,4,1.207973687592232,1.3862943611198906,0.8713688243068336
