rank,case_id,arm,mean_logp,n_tokens,char_start,char_end,text
1,cl_2025_scotus_cunningham_v._cornell_univ.,post_cutoff_control,-0.000606,50,251,491,"with this case, at the time the opinion is issued. The syllabus constitutes no part of the opinion of the Court but has been prepared by the Reporter of Decisions for the convenience of the reader. See United States v."
2,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.000773,50,397315,397418,"15(c)(2) and Rule 15c2-11 of the Exchange Act, 15 U.S.C. § 78o(c)(2), and 17 C.F.R. § 240.15c2-11"
3,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.001075,50,6014,6247,") the denial of leave to amend their complaint to name additional defendants, (3) the striking of their demand for a jury trial, (4) the use of written declarations rather than live examination for direct testimony in the bench trial"
4,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001158,50,425260,425378,"’s violations of Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-"
5,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001267,50,397632,397799,"lessly provided substantial assistance to Spartan Securities’ violations of Section 15(c)(2) and Rule 15c2-11 of the Exchange Act, 15 U.S.C. § 78o(c)(2), and 17 C"
6,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001356,50,424914,425029,", violated Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(c"
7,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.001393,50,6448,6703,"utions into the allegedly imprudently or disloyally managed investment options and thus did not allege any individual injury arising from Defendants’ management of those options. Moreover, because Plaintiffs did not plausibly allege that they personally s"
8,cl_2025_scotus_cunningham_v._cornell_univ.,post_cutoff_control,-0.001552,50,150,370,": Where it is feasible, a syllabus (headnote) will be released, as is being done in connection with this case, at the time the opinion is issued. The syllabus constitutes no part of the opinion of the Court"
9,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001555,50,407268,407429,"Eldred violated, and, unless enjoined, are reasonably likely to continue to violate, Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b"
10,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001592,50,424789,424987,"a fraud or deceit upon any person in connection with the purchase or sale of securities, and by reason of the foregoing, violated Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U"
11,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001601,50,422109,422284,"ley knowingly or recklessly provided substantial assistance to Mirman and Rose’s violations of Section 10(b) and Rule 10b-5(b) of the Exchange Act, 15 U.S.C. § 78j(b"
12,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.001645,50,6028,6316,"because they did not allege that they suffered any financial loss affecting their individual retirement accounts arising from Defendants’ allegedly imprudent share class selection and failure to investigate the availability of alternative funds, or from Defendants’ alleged breach of fid"
13,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.001661,50,423718,423853,"by reason of the foregoing, violated Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. §"
14,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.001777,50,6575,6838,"ising from Defendants’ management of those options. Moreover, because Plaintiffs did not plausibly allege that they personally suffered any injury, they also lack class standing to assert their share- class claim, alternative fund claim, and indirect compensation"
15,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002043,50,424657,424914,"the mails, knowingly or recklessly engaged in acts, practices and courses of business which operated or would have operated as a fraud or deceit upon any person in connection with the purchase or sale of securities, and by reason of the foregoing"
