case_id,model,model_cutoff,arm,date_filed,caption,court_level,prediction,refused,finish,error,temp_dropped,latency_s,in_tokens,out_tokens,served_by,ts
cl_2014_ca9_john_loos_v._immersion_corporation,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2014-09-11,John Loos v. Immersion Corporation,circuit,"**1. The Outcome:** The Ninth Circuit **affirmed** the district court's dismissal of the securities fraud class action. Immersion Corporation (the defendant) prevailed.

**2. The Reasoning:** The case turned on **loss causation** under Section 10(b) and Rule 10b-5. Loos alleged that Immersion had inflated its stock price through improper revenue recognition in its medical device business, and that the truth was revealed when the company (a) reported disappointing quarterly earnings and (b) subsequently announced an internal investigation into revenue practices in that business unit.

The court held that the plaintiff failed to adequately plead loss causation:

- **The earnings miss:** The disappointing financial results could not serve as a ""corrective disclosure"" because nothing in those announcements revealed or suggested that prior financial statements were fraudulent — poor performance alone doesn't disclose accounting fraud.

- **The internal investigation announcement:** This was the central holding. The court concluded that **the announcement of an internal investigation, standing alone, is insufficient to establish loss causation**. Such an announcement reveals only the *risk* or *possibility* that fraud occurred; the market's negative reaction to it reflects speculation about potential wrongdoing, not the revelation of actual fraud. To treat it as a corrective disclosure would allow plaintiffs to plead loss causation based on mere possibility rather than the actual disclosure of the truth.

The court (aligning with the Eleventh Circuit's decision in *Meyer v. Greene*) later **amended its opinion** to clarify a footnote: it was not categorically holding that an investigation announcement can *never* be relevant — such an announcement may form part of the loss causation analysis when combined with a later revelation of actual fraud — but by itself it cannot establish loss causation.

Because Loos could not connect his losses to any disclosure actually revealing fraudulent conduct, dismissal (with prejudice, after amendment) was proper.",0,stop,,0,13.53,319,834,Amazon Bedrock,2026-08-07T10:21:18
cl_2014_ca2_city_of_pontiac_v._ubs_ag,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2014-05-06,City of Pontiac v. UBS AG,circuit,"**City of Pontiac Policemen's & Firemen's Retirement System v. UBS AG, 752 F.3d 173 (2d Cir. 2014)**

**1. Outcome:** The Second Circuit **affirmed** the district court's dismissal of the securities-fraud class action in its entirety. UBS (defendants) prevailed.

**2. Reasoning:**

- **Extraterritoriality / Morrison issue (the case's most notable holding):** The court rejected plaintiffs' ""listing theory"" — the argument that because UBS shares were cross-listed on the NYSE, purchases of those shares on a *foreign* exchange fell within § 10(b) under *Morrison v. National Australia Bank*. The court held that *Morrison*'s reference to securities ""listed on a domestic exchange"" must be read together with its transactional focus: § 10(b) reaches only transactions *executed* on a domestic exchange or otherwise domestic transactions. A mere U.S. listing does not make foreign-exchange purchases domestic. The court also held that a U.S. purchaser's placement of a **buy order in the United States** for shares that were executed on a foreign exchange does not, by itself, establish a domestic transaction — it doesn't show that irrevocable liability was incurred in the United States.

- **Merits of the remaining (domestic) claims:** As to alleged misstatements concerning UBS's mortgage-related (RMBS/CDO) positions, plaintiffs failed to adequately plead material misrepresentation or scienter; statements about UBS's risk-management practices were non-actionable **puffery**. As to the U.S. cross-border tax business (the scheme to help U.S. clients evade taxes), UBS's generalized statements about compliance with law and reputational commitments were too general to be actionable, and plaintiffs did not adequately allege actionable fraud regarding the tax scheme's disclosure.

Dismissal was therefore affirmed on all claims.",0,stop,,0,15.36,307,1025,Amazon Bedrock,2026-08-07T10:21:19
cl_2015_ca5_state_of_texas_v._usa,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2015-11-25,State of Texas v. USA,circuit,"**The case:** This is the challenge by Texas and 25 other states to the Obama Administration's DAPA program (Deferred Action for Parents of Americans and Lawful Permanent Residents) and the expansion of DACA.

**1. The Outcome:** The Fifth Circuit (2-1, opinion by Judge Jerry Smith; Judge King dissenting) **affirmed** the district court's nationwide **preliminary injunction** blocking implementation of DAPA and expanded DACA. The plaintiff states prevailed; the federal government's appeal was rejected.

**2. The Reasoning:**

- **Standing:** Texas had Article III standing because DAPA would make beneficiaries eligible for state-subsidized driver's licenses, imposing millions of dollars in costs on the state. The court rejected the government's argument that Texas could avoid the injury by changing its license laws, calling that a forced choice that itself constitutes injury.

- **Reviewability:** DAPA was not unreviewable prosecutorial discretion committed to agency discretion by law—it did more than decline to remove aliens; it affirmatively conferred ""lawful presence"" and eligibility for benefits (work authorization, Social Security, etc.).

- **Procedural APA claim:** The states were likely to succeed on their claim that DAPA was a **substantive rule requiring notice-and-comment rulemaking**, not a mere general policy statement. The court pointed to evidence (including DACA's roughly 95% approval rate and its rule-like, criteria-driven application) suggesting agents lacked genuine case-by-case discretion.

- **Substantive APA claim (going beyond the district court):** The majority also held the states were likely to succeed on the merits argument that DAPA was **contrary to the INA**—Congress had established a detailed, intricate statutory scheme governing lawful presence and work authorization, and it had not delegated to DHS the authority to grant such a broad class-wide benefit to over four million people.

- **Scope:** The nationwide scope of the injunction was upheld given the constitutional and statutory need for uniform immigration policy.

(This decision was later affirmed by an equally divided Supreme Court, 4-4, in *United States v. Texas*, 2016.)",0,stop,,0,16.7,314,1112,Amazon Bedrock,2026-08-07T10:21:21
cl_2014_ca2_sec_v._contorinis,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2014-02-18,SEC v. Contorinis,circuit,"**Case identification:** SEC v. Contorinis, 743 F.3d 296 (2d Cir. 2014). Joseph Contorinis, a hedge fund manager (co-manager of the Jefferies Paragon Fund), traded Albertsons stock on inside information about an impending acquisition. After his criminal conviction, the SEC obtained a civil judgment ordering him to disgorge the roughly $7.2 million in profits (plus prejudgment interest) that the trades generated — even though those profits went to the fund, not to Contorinis personally.

**1. The Outcome:** The Second Circuit **affirmed** the district court's judgment. The SEC prevailed; Contorinis was required to disgorge the full trading profits plus prejudgment interest, despite never personally pocketing those gains.

**2. The Reasoning:** The central question was whether an insider trader can be ordered to disgorge illicit profits that flowed to third parties (his fund/investors) rather than to himself. The court held yes:

- Disgorgement is an **equitable remedy** committed to the district court's broad discretion, aimed at depriving wrongdoers of ill-gotten gains and deterring violations; it need not be limited to what the defendant personally received.
- The court analogized to the well-established rule that **tippers** may be required to disgorge the profits their **tippees** earn. A person who trades on inside information for another's account exercises even more control over the unlawful trades than a tipper does, so it would be anomalous to treat him more leniently.
- Contorinis realized a benefit in the form of enhanced reputation, compensation prospects, and standing with his employer/investors, and it was within the court's discretion to make him disgorge the gains he generated and controlled.
- The court **distinguished its earlier decision in the parallel criminal case** (United States v. Contorinis, 692 F.3d 136 (2d Cir. 2012)), where it had vacated a criminal forfeiture order covering the fund's profits. Criminal forfeiture is a statutory, punitive remedy construed more narrowly, whereas civil disgorgement is equitable and flexible; the two need not be coextensive.
- The court also upheld the award of prejudgment interest on the full amount as within the district court's discretion.

**Dissent:** Judge Chin dissented in part, arguing that disgorgement should be limited to what the defendant himself received or benefited from, and that requiring Contorinis to ""disgorge"" millions he never possessed transformed the remedy into a penalty.",0,stop,,0,18.22,303,1271,Amazon Bedrock,2026-08-07T10:21:22
cl_2017_pa_villani_v._seibert_appeal_of_seiber,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2017-04-26,Villani v. Seibert Appeal of: Seibert,state,"**Case:** Villani v. Seibert, Pa. Supreme Court (2017) — a direct appeal involving a constitutional challenge to the Dragonetti Act (Pennsylvania's statutory tort of wrongful use of civil proceedings) as applied to attorneys.

**1. The Outcome:** The Pennsylvania Supreme Court **reversed** the Chester County Court of Common Pleas, which had sustained preliminary objections and held the Dragonetti Act unconstitutional as applied to attorneys. The case was remanded for further proceedings. The **Villanis (the Dragonetti plaintiffs) prevailed**; the attorney-defendants (the Seibert side) lost their constitutional challenge.

**2. The Reasoning:** The legal question was whether the Dragonetti Act unconstitutionally encroaches on the Supreme Court's exclusive authority under Article V, Section 10(c) of the Pennsylvania Constitution to regulate the practice of law and the conduct of attorneys. The trial court had reasoned that by imposing liability on lawyers for pursuing litigation without probable cause or with gross negligence, the statute impermissibly regulated attorney conduct — a domain reserved to the judiciary.

The Supreme Court, in an opinion by Chief Justice Saylor, rejected that view. It held that the Dragonetti Act is fundamentally **substantive tort law** — creating a remedy in damages for persons injured by wrongful litigation — which lies within the General Assembly's legitimate policymaking authority. The statute is not, in essence, a rule governing attorney conduct or discipline, even though attorneys may be among those subject to liability. The Court emphasized the strong presumption of constitutionality attaching to legislation, principles of comity and restraint between coordinate branches, and the fact that the common law itself had long recognized a similar tort applicable to attorneys. It declined to declare the Act facially unconstitutional as applied to attorneys, noting that any genuine tensions with the Court's supervisory authority over lawyers could be addressed in the application of the statute in particular cases rather than by wholesale invalidation.",0,stop,,0,18.66,308,1205,Amazon Bedrock,2026-08-07T10:21:23
cl_2015_ca9_steve_harris_v._amgen_inc.,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2015-05-26,"Steve Harris v. Amgen, Inc.",circuit,"**Case identification:** This is the ERISA ""stock-drop"" class action brought by participants in Amgen's retirement plans, alleging that plan fiduciaries breached their duties by continuing to offer the Amgen Common Stock Fund as an investment option while they knew (or should have known) of undisclosed material information about safety problems with Amgen's anemia drugs (Aranesp/Epogen), which artificially inflated the stock price. The May 26, 2015 decision is the panel's amended opinion issued in connection with the denial of rehearing en banc (following the Supreme Court's GVR in light of *Fifth Third Bancorp v. Dudenhoeffer*).

**1. The Outcome:** The Ninth Circuit **reversed** the district court's dismissal of the complaint and **remanded**. The plaintiffs (plan participants) prevailed at this stage. Rehearing en banc was denied, over a notable dissent (Judge Kozinski, joined by several others) warning that the panel was putting fiduciaries in an impossible position vis-à-vis the securities laws.

**2. The Reasoning:**
- Under *Dudenhoeffer*, fiduciaries of plans holding employer stock are **not entitled to a presumption of prudence**; the district court had dismissed based on the now-defunct *Quan/Moench* presumption, so that basis was gone.
- The panel held plaintiffs plausibly alleged a breach of the **duty of prudence**: defendants allegedly knew or should have known material, non-public negative information about the drugs' safety and off-label marketing, yet continued to allow the plan to offer and purchase Amgen stock at an artificially inflated price.
- Applying *Dudenhoeffer*'s insider-information framework, the court concluded plaintiffs adequately alleged **alternative actions** a prudent fiduciary could have taken that would not have violated the securities laws and that a prudent fiduciary would not have viewed as more likely to harm than help the fund — e.g., removing the fund as an investment option or halting further purchases, and/or disclosing the adverse information (which the securities laws arguably required anyway).
- The court also held the defendants were acting in a **fiduciary capacity** with respect to the stock fund (rejecting the argument that offering the fund was merely a settlor function), and it revived the derivative claims (duty of loyalty, failure to monitor, co-fiduciary liability).

**Postscript:** The Supreme Court subsequently reversed this decision per curiam in *Amgen Inc. v. Harris* (Jan. 2016), holding the Ninth Circuit had failed to properly apply *Dudenhoeffer*'s pleading standard — the complaint did not contain sufficient facts to show that a prudent fiduciary ""could not have concluded"" that the alternative actions would do more harm than good.",0,stop,,0,22.08,322,1635,Amazon Bedrock,2026-08-07T10:21:26
cl_2015_ca9_northstar_financial_advisors_v._sch,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2015-04-28,Northstar Financial Advisors v. Schwab Investments,circuit,"**Case:** Northstar Financial Advisors, Inc. v. Schwab Investments, 779 F.3d 1036 (9th Cir. 2015) (Reinhardt, J.)

## 1. The Outcome

The Ninth Circuit **reversed the district court's dismissal of the plaintiffs' state-law claims and remanded**, allowing the case to proceed. The plaintiffs (Northstar, suing on behalf of investors in the Schwab Total Bond Market Fund) prevailed on appeal.

## 2. The Reasoning

The suit alleged that the Fund deviated from two ""fundamental investment objectives"" that shareholders had approved by proxy vote — (1) to track the Lehman Brothers U.S. Aggregate Bond Index and (2) not to concentrate more than 25% of assets in any one industry — by loading up on non-agency mortgage-backed securities and CMOs, causing losses during the 2007–08 financial crisis. The district court had dismissed the state-law contract and fiduciary-duty claims. The Ninth Circuit's principal holdings:

- **Standing/procedure:** Northstar's initial lack of standing (it was an investment adviser, not a shareholder) was cured when it obtained an assignment of a client's claims and filed a supplemental complaint; the court held it was proper to allow the supplemental pleading rather than require a whole new action.

- **Breach of contract:** The court held that the Fund's registration statement/prospectus, combined with the **shareholder vote adopting the fundamental investment objectives**, created a contract between the Fund/trust and its shareholders that could not be changed without another shareholder vote. Alternatively, shareholders were **third-party beneficiaries of the investment advisory agreement** between the trust and Schwab's investment adviser, since the agreement required managing the Fund in accordance with the stated objectives for the shareholders' benefit.

- **Direct vs. derivative:** Applying Massachusetts law (the trust's state of organization), the court held the breach of fiduciary duty claims against the trustees and adviser could be brought **directly** rather than derivatively, because the shareholders' injury — losses from deviation from promised investment policies — was distinct and the usual corporate demand rules did not bar the suit in this trust context.

- The claims were not precluded by SLUSA or the Investment Company Act, since they sounded in contract and fiduciary duty rather than alleging misrepresentations in connection with the purchase or sale of securities.

The decision was controversial — it drew a vigorous dissent from the denial of rehearing en banc (Judge Bea) arguing the panel had improperly created contract rights from a mutual fund prospectus — but the panel's disposition stood: **reversed and remanded in the shareholders' favor.**",0,stop,,0,27.14,325,1907,Amazon Bedrock,2026-08-07T10:21:31
cl_2018_ca9_united_states_v._jonathan_turner,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2018-07-27,United States v. Jonathan Turner,circuit,"UNKNOWN

I don't have reliable memory of this specific Ninth Circuit decision (United States v. Jonathan Turner, No. 14-50238, decided July 27, 2018). 

My best tentative guess, given the docket year (2014) and decision date (2018), is that it may have been an appeal held in abeyance pending the Supreme Court's decisions in Johnson v. United States and/or Sessions v. Dimaya, possibly involving whether an offense qualified as a ""crime of violence"" — but I cannot recall the actual disposition or reasoning with any confidence, so I won't purport to describe the court's actual holding.",0,stop,,0,14.77,317,768,Amazon Bedrock,2026-08-07T10:21:34
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2018-02-23,Jaclyn Santomenno v. Transamerica Life Ins. Co.,circuit,"**Outcome:** The Ninth Circuit **reversed** the district court (which had denied Transamerica's motion to dismiss) and remanded — **Transamerica prevailed**. The plan participants' ERISA breach-of-fiduciary-duty claims failed.

**Reasoning:** The case turned on whether Transamerica, a 401(k) plan service provider, acted as an ERISA fiduciary with respect to the fees it charged. The court held it did not, for essentially three reasons:

1. **Arm's-length negotiation:** A service provider is not acting as a fiduciary when it negotiates its compensation with the employer/plan sponsor before entering the service contract. At that stage it has no fiduciary relationship with the plan, so claims that the negotiated fees were excessive fail — the plaintiffs' remedy lies against the employer-fiduciary that agreed to the fees, not the provider.

2. **Collecting preset fees is ministerial:** Once the contract was in place, Transamerica's withdrawal of its previously agreed-upon, contractually fixed compensation was a ministerial act, not an exercise of fiduciary discretion. Merely adhering to the terms of the bargain does not make the provider a fiduciary as to its own compensation.

3. **No fiduciary control over its compensation via investment selection:** Although Transamerica could change investment options or fees, it had to give notice, and the employer retained final authority to reject changes or terminate the contract. Because Transamerica did not exercise unilateral discretion over the amount of its own compensation, and its revenue-sharing arrangements were fully disclosed, it was not a fiduciary with respect to those fees.

The court relied heavily on the parallel Third Circuit decision in *Santomenno v. John Hancock* and similar case law from other circuits, aligning the Ninth Circuit with the view that service providers do not become fiduciaries merely by charging disclosed, contractually agreed fees.",0,stop,,0,19.2,332,1194,Amazon Bedrock,2026-08-07T10:21:37
cl_2018_cadc_phh_corporation_v._cfpb,anthropic/claude-fable-5,2026-01-31,pre_cutoff,2018-01-31,PHH Corp. v. Consumer Financial Protection Bureau,circuit,"**Outcome:** The en banc D.C. Circuit produced a split result. It **rejected PHH's constitutional challenge**, holding that the CFPB's structure—a single Director removable by the President only for cause—was constitutional (a win for the CFPB on that question, and a reversal of the 2016 panel decision written by then-Judge Kavanaugh). However, the en banc court **reinstated the original panel's rulings on the statutory (RESPA) issues**, which went in PHH's favor: the Bureau's $109 million disgorgement order was vacated and the case was remanded to the CFPB. So the CFPB won the constitutional battle, but PHH prevailed on the merits of the enforcement action.

**Reasoning:**

1. *Constitutional question:* Writing for the en banc majority, Judge Pillard held that a for-cause removal restriction on the CFPB Director does not violate Article II or the separation of powers. The court relied heavily on *Humphrey's Executor v. United States* and *Morrison v. Olson*, reasoning that Congress has long been permitted to give a degree of independence to financial regulators (e.g., the FTC, Federal Reserve, OCC, FHFA), and that the modest ""inefficiency, neglect of duty, or malfeasance"" removal standard leaves the President ample authority to oversee the executive branch. The court found no constitutionally significant distinction between a multimember independent commission and a single independent director—if anything, a single director is easier for the President to hold accountable. (Judge Kavanaugh dissented, reprising his panel view that the single-director structure was unconstitutional; other separate opinions concurred or dissented in part.)

2. *Statutory (RESPA) rulings:* The en banc court left intact the panel's holdings that the CFPB (through Director Cordray) had misinterpreted RESPA Section 8—captive mortgage reinsurance arrangements are lawful where payments reflect reasonable market value for services actually provided—and that the Bureau's retroactive application of its novel interpretation, departing from long-standing HUD guidance, violated due process/fair notice principles. The panel had also held that RESPA's statute of limitations applies to CFPB administrative enforcement proceedings. On those grounds the disgorgement order against PHH was vacated and the matter remanded.",0,stop,,0,17.39,328,1136,Amazon Bedrock,2026-08-07T10:21:40
